COMPANY NAME,PETRONET LNG LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,295.95,,,,,,,,,
Market Capitalization,44349.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,37747.58,39500.95,27133.43,24616.03,30598.62,38395.43,35452,26022.9,43168.57,59899.35
Raw Material Cost,35849.49,37610.86,25075.65,21416.92,26690.19,34416.95,30495.94,20700.28,37077.47,53952.35
Change in Inventory,,,,,,,,,,
Power and Fuel,186.46,192.27,174.04,154.98,182.2,214.66,231.36,181.12,210.84,201.24
Other Mfr. Exp,40.61,25.17,30.82,93.45,86.05,75.39,78.72,101.61,112.13,96.76
Employee Cost,46.86,57.31,71.47,74.28,91.39,125.99,126,147.76,182.85,184.03
Selling and admin,64.45,84.36,82.5,72.97,85.34,79.03,72.96,68.67,64.92,62.21
Other Expenses,61.05,91.93,112.7,211.05,149.8,189.2,457.5,123.34,266.42,546.87
Other Income,83.54,154.72,173.34,346.53,316.1,449.53,300.46,387.57,305.66,573.5
Depreciation,308.1,315.38,321.6,369.07,411.65,411.24,776.13,784.09,768.45,764.34
Interest,219.58,293.49,238.75,209.65,162.99,98.92,403.2,335.95,317.33,330.51
Profit before tax,1054.52,984.9,1199.24,2360.19,3055.11,3233.58,3110.65,3967.65,4473.82,4334.54
Tax,342.6,102.38,285.98,654.52,977.26,1078.15,413.05,1018.28,1121.46,1094.6
Net profit,711.92,882.52,913.26,1705.67,2077.85,2155.43,2697.6,2949.37,3352.36,3239.94
Dividend Amount,150,150,187.5,375,675,1500,1875,1725,1725,1500
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,10813.08,12597.22,11160.37,14263.82,15985.73,15775.87,13873.93,11656.05,12532.01,14747.21
Expenses,9516.23,10865.07,9991.31,13199.43,14812.78,14100.51,12930.86,10474.27,11317.28,13041.22
Other Income,81.64,71.85,85.24,141.76,94.24,183.87,153.75,146.74,156.73,156.47
Depreciation,193.58,193.64,189.63,191.24,192.21,192.32,188.57,191.85,194.81,195.48
Interest,79.44,77.57,80.29,77.85,81.1,81.35,90.21,74.55,74.7,69.67
Profit before tax,1105.47,1532.79,984.38,937.06,993.88,1585.56,818.04,1062.12,1101.95,1597.31
Tax,282.45,389.27,234.24,236.16,249.63,405.02,203.79,272.27,283.85,406.64
Net profit,823.02,1143.52,750.14,700.9,744.25,1180.54,614.25,789.85,818.1,1190.67
Operating Profit,1296.85,1732.15,1169.06,1064.39,1172.95,1675.36,943.07,1181.78,1214.73,1705.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,750,750,750,750,1500,1500,1500,1500,1500,1500
Reserves,4236.12,4938.63,5863.97,7343.89,8220.47,8566.07,9452.97,10149.5,11925.48,13434.74
Borrowings,3266.94,2654.11,2614.55,2218,1453.05,733.4,3689.71,3652.93,3438.5,3345.01
Other Liabilities,3659.62,2780.83,3197.61,3517.21,4480.19,4285.36,4056.27,3630.21,4258.11,4164.04
Total,11912.68,11123.57,12426.13,13829.1,15653.71,15084.83,18698.95,18932.64,21122.09,22443.79
Net Block,6265.04,6942.59,6810.54,8423.04,8029.62,7665.08,11188.19,10313.14,9557.19,8790.31
Capital Work in Progress,879.93,746.9,1550.48,48.55,220.27,348.21,4.68,25.48,192.63,1125.88
Investments,139.88,90,90,2935.11,4122.22,989.27,349.05,1549.57,1050.22,1044.49
Other Assets,4627.83,3344.08,3975.11,2422.4,3281.6,6082.27,7157.03,7044.45,10322.05,11483.11
Total,11912.68,11123.57,12426.13,13829.1,15653.71,15084.83,18698.95,18932.64,21122.09,22443.79
Receivables,2015.69,1342.77,988.52,1210.79,1600.78,1382.45,1602.57,1874.53,2684.44,3839.7
Inventory,955.69,882.63,246.1,540.52,491.1,569.44,480.89,337.18,579.69,1174.25
Cash & Bank,1232.73,362.09,2182.89,327.34,862.52,2960.28,4432.01,4342.34,4319.55,5680.03
No. of Equity Shares,750000044,750000044,750000044,750000044,1500000088,1500000088,1500000088,1500000088,1500000088,1500000088
New Bonus Shares,,,,,750000044,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,963.57,829.76,3374.03,2067.58,2995.63,2141.42,2863.11,3559.23,3472.1,2519.89
Cash from Investing Activity,-802.77,-665.38,-853.77,-3175.07,-1277.62,-71.53,940.98,-927.31,-1063.31,-1136.71
Cash from Financing Activity,-196.52,-1034.02,-699.38,-748.23,-1334.7,-2547.61,-3054.65,-2758.61,-2210.92,-2368.06
Net Cash Flow,-35.72,-869.64,1820.88,-1855.72,383.31,-477.72,749.44,-126.69,197.87,-984.88
,,,,,,,,,,
