COMPANY NAME,GENERAL INSURANCE CORPORATION OF INDIA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,321,,,,,,,,,
Market Capitalization,56272.91,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,13616.05,13559.14,15210.62,31300.53,43489.31,44296.6,50128.06,48686.75,48855.69,46402
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,12142.01,11920.62,12921.12,27050.81,39323.7,39872.27,50563.62,44838.13,43589.64,38853.9
Employee Cost,77.41,68.62,86,96.44,102.57,117.39,198.85,138.95,209.76,218.59
Selling and admin,2490.3,2831.99,3549.07,66.11,72.61,57.14,91.71,28.7,48.37,48.17
Other Expenses,283.61,298.47,202.61,439.79,272.28,1579.71,1390.05,301.78,1958.42,549.06
Other Income,3824.69,4432.59,4545.96,-13.84,-42.49,803.79,1688.01,-202.13,522.48,1024.9
Depreciation,5.2,8.54,9.22,9.68,7.4,13.99,17.81,13.68,11.84,7.74
Interest,137.75,32.59,1.93,,,26.07,,,,
Profit before tax,2304.46,2830.9,2986.63,3623.86,3668.26,3433.82,-445.97,3163.38,3560.14,7749.44
Tax,-17.38,28.22,331.71,496.18,434.67,1209.52,-86.88,1242.95,1554.4,1436.94
Net profit,2321.84,2802.69,2654.92,3127.67,3233.58,2224.31,-359.09,1920.44,2005.74,6312.5
Dividend Amount,586.95,331.1,539.99,1001.9,1184.22,1184.22,,,394.74,1263.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,13079.98,11178.13,11448.57,12626.59,11970.3,11248.79,10556.32,11087.49,13059.08,10851.3
Expenses,11887.79,11306.43,8113.85,12090.69,9977.59,10268.25,7340.94,10332.79,11591.61,9404.94
Other Income,21.56,26.64,280.06,452.81,468.66,314.54,-211.12,180.47,380.13,477.46
Depreciation,,,,,,,,,,
Interest,,,,,,,,,,
Profit before tax,1213.75,-101.66,3614.78,988.71,2461.37,1295.08,3004.26,935.17,1847.6,1923.82
Tax,203.2,-73.18,1819.38,298.99,601.44,96.09,440.42,203.4,242.51,405.86
Net profit,1010.55,-28.48,1795.4,689.72,1859.93,1198.99,2563.84,731.77,1605.09,1517.96
Operating Profit,1192.19,-128.3,3334.72,535.9,1992.71,980.54,3215.38,754.7,1467.47,1446.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,430,430,430,430,438.6,877.2,877.2,877.2,877.2,877.2
Reserves,32770.59,42668.62,40207.58,28051.34,30673.86,22483.86,21045.76,29326.3,32436.07,41099.59
Borrowings,,,,,,,,,,
Other Liabilities,29801.62,30356.55,33539.86,66467.28,78559.94,95522.51,94273.24,104457.72,111574.11,115147.82
Total,63002.21,73455.17,74177.44,94948.62,109672.4,118883.57,116196.2,134661.22,144887.38,157124.61
Net Block,118.12,142.1,175.22,163.62,171.18,196.69,180.81,169.28,170.37,294.27
Capital Work in Progress,,,,,,,,,,
Investments,45687.74,55725.09,54441.21,64744.92,71921.57,79612.94,68525.82,91095.59,101105.51,110682.93
Other Assets,17196.35,17587.98,19561.01,30040.08,37579.65,39073.94,47489.57,43396.35,43611.5,46147.41
Total,63002.21,73455.17,74177.44,94948.62,109672.4,118883.57,116196.2,134661.22,144887.38,157124.61
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,8263.92,7728.09,9761.4,12190.77,14171.62,12847.91,15853.78,18294.09,21083.12,23284.29
No. of Equity Shares,43000000,43000000,4300000000,4300000000,877200000,1754400000,1754400000,1754400000,1754400000,1754400000
New Bonus Shares,,,,,,877200000,,,,
Face value,100,100,1,1,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,2571.37,5802.05,7781.78,8662.05,7016.01,8224.59,12823.66,8419.89,11349.12
Cash from Investing Activity,,-2719.83,-3118.8,-4317.33,-5475.22,-6912.07,-3791.07,-10383.36,-5630.86,-8753.22
Cash from Financing Activity,,-387.37,-649.93,-1035.08,-1205.99,-1427.65,-1427.65,,,-394.74
Net Cash Flow,,-535.83,2033.31,2429.36,1980.85,-1323.71,3005.88,2440.31,2789.03,2201.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,367.05,241.65,105.2,199.4,113.85,133.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,8.6,8.6,860,860,175.44,175.44,175.44,175.44,175.44,175.44
