COMPANY NAME,LANDMARK CARS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,742.95,,,,,,,,,
Market Capitalization,3075.59,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,1611.47,2826.52,2218.61,1956.1,2976.52,3382.35
Raw Material Cost,,,,,1435.5,2477.64,1780.85,1710.43,2552.84,2896.83
Change in Inventory,,,,,11.51,15.1,-114.03,63.06,41.1,115.17
Power and Fuel,,,,,3.44,8.26,8.13,6.08,8.06,10.39
Other Mfr. Exp,,,,,2.32,30.89,32.48,31.28,46.34,61.61
Employee Cost,,,,,59.56,152.26,136.74,107.67,153.29,187.72
Selling and admin,,,,,58.57,71.3,54.12,37.39,66.07,84.46
Other Expenses,,,,,13.04,19.49,15.38,12.48,14.67,18.22
Other Income,,,,,4.28,6.84,6.32,6.24,10.94,4.22
Depreciation,,,,,12.56,53.42,62.95,62.48,69.79,87.31
Interest,,,,,16.88,52.76,44.89,37.81,35.22,51.1
Profit before tax,,,,,25.39,-17.56,-24.64,19.78,82.28,104.1
Tax,,,,,7.55,6.87,4.3,8.63,16.09,19.01
Net profit,,,,,17.67,-25.26,-28.73,11.33,65.48,84.49
Dividend Amount,,,,,0.47,,,,,8.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,837.07,726.61,800.27,852.15,876.14,853.8,693.98,770.69,959.25
Expenses,,785.23,674.46,749.07,791.18,811.2,792.99,649.62,716.24,894.01
Other Income,,2.1,3.55,1.63,-0.36,2.1,1.23,0.09,2.7,1.27
Depreciation,,17.21,21.49,20.83,21.83,21.93,22.72,23.4,24.57,26.22
Interest,,8.76,8.24,12.33,14.82,13.77,10.18,11.1,13.91,14.81
Profit before tax,,27.97,25.97,19.67,23.96,31.34,29.14,9.95,18.67,25.48
Tax,,8.83,6.88,1.53,7.09,5.51,4.88,2.69,-1.83,7
Net profit,,18.93,18.77,17.82,16.72,25.9,24.06,7.03,20.16,18.24
Operating Profit,,51.84,52.15,51.2,60.97,64.94,60.81,44.36,54.45,65.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,7.91,18.31,18.31,18.31,18.31,19.81
Reserves,,,,,133.19,169.65,150.81,163.46,228.63,449.92
Borrowings,,,,,120.51,409.39,327.17,345.06,475.75,429.99
Other Liabilities,,,,,343.21,408.36,334.08,360.21,362.11,361.04
Total,,,,,604.82,1005.71,830.37,887.04,1084.8,1260.76
Net Block,,,,,142.89,391.51,370.17,326,497.36,508.53
Capital Work in Progress,,,,,42.94,0.44,0.67,1.57,4.74,5.75
Investments,,,,,,,10.25,12.97,16.51,16.28
Other Assets,,,,,418.99,613.76,449.28,546.5,566.19,730.2
Total,,,,,604.82,1005.71,830.37,887.04,1084.8,1260.76
Receivables,,,,,42.49,78.35,23.65,55.78,64.16,103.56
Inventory,,,,,227.68,339.8,225.76,288.82,329.92,448.4
Cash & Bank,,,,,30.71,36.57,33.33,22.72,30,39.96
No. of Equity Shares,,,,,7912590,18312810,18312810,18312810,36625620,39624746
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,13.28,54.89,209.66,76.44,76.44,70.99
Cash from Investing Activity,,,,,-57.38,-37.94,-65.91,-33.92,-33.92,-72.16
Cash from Financing Activity,,,,,60.18,-27.56,-148.29,-37.54,-37.54,0.54
Net Cash Flow,,,,,16.08,-10.62,-4.54,4.98,4.98,-0.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,543.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.79,0.79,1.83,1.83,3.66,3.96
