COMPANY NAME,AMARA RAJA ENERGY & MOBILITY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1092.8,,,,,,,,,
Market Capitalization,20009.84,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3436.65,4210.86,4617.76,5317.15,6059.15,6793.11,6839.46,7149.68,8695.82,10385.91
Raw Material Cost,2312.56,2824.12,3029.11,3659.59,4143.42,4773.24,4394.96,4812.53,6443.19,7126.01
Change in Inventory,29.21,48,118.6,171.1,27.17,129.14,-52.17,67.85,321.86,-60.68
Power and Fuel,92.26,122.92,144.51,161.55,180.91,206.48,222.82,212.98,249.58,318.55
Other Mfr. Exp,62.39,72.3,81.39,84.33,85.53,145.02,130.08,137.77,180.1,208.18
Employee Cost,175.92,195.09,242.91,277.75,308.99,345.23,385.18,426.04,498.76,591.03
Selling and admin,246.04,249.85,302.01,341.99,365.32,393.39,416.32,372.6,510.19,585.48
Other Expenses,16.33,91.04,111.46,110.48,117.19,103.66,139.37,139.04,106.26,125.39
Other Income,41.6,40.55,43.89,46.59,64.64,43.29,55.05,86.45,71.02,26.29
Depreciation,64.57,133.99,140.69,191.17,230.34,261.2,300.74,319.16,395.72,427.23
Interest,0.72,0.24,5.53,5.77,5.06,6.95,12.19,10.53,15.1,22.08
Profit before tax,536.67,609.86,722.64,702.21,714.2,730.37,840.68,873.33,689.8,947.57
Tax,169.23,199,231.01,223.72,242.88,246.88,179.86,226.52,178.55,253.16
Net profit,367.44,410.86,491.63,478.49,471.32,483.49,660.82,646.81,511.25,694.41
Dividend Amount,55.17,61.66,72.59,72.59,70.88,120.93,187.88,187.88,76.86,104.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2264.19,2365.07,2180.7,2620,2699.46,2637.24,2429.21,2769.94,2810.76,2881.06
Expenses,1995.28,2081.07,1960.83,2359.11,2339.26,2240.38,2091.96,2416.47,2423.78,2471.15
Other Income,26.44,18.95,15.97,16.99,23.67,26.07,-25.05,21.57,27.54,23.71
Depreciation,98.57,102.13,98.73,96.34,101.92,114.52,114.45,111.05,114.84,114.42
Interest,3.56,3.77,4.62,4.58,5.43,5.84,6.23,5.63,6.22,5.88
Profit before tax,193.22,197.05,132.49,176.96,276.52,302.57,191.52,258.36,293.46,313.32
Tax,49.1,52.4,33.95,45.51,74.35,79.76,53.54,65.88,79.14,73.68
Net profit,144.12,144.65,98.54,131.45,202.17,222.81,137.98,192.48,214.32,239.64
Operating Profit,268.91,284,219.87,260.89,360.2,396.86,337.25,353.47,386.98,409.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,17.08,17.08,17.08,17.08,17.08,17.08,17.08,17.08,17.08,17.08
Reserves,1345.62,1682.49,2098.79,2575.99,2920.31,3318.24,3638.53,4193.18,4534.31,5280.76
Borrowings,85.69,75.95,74.14,72.46,63.53,58.43,83.9,92.32,125.89,106.81
Other Liabilities,535.16,610.76,760.75,919.04,1167.63,1102.19,1261.08,1494.5,1698.57,1694.43
Total,1983.55,2386.28,2950.76,3584.57,4168.55,4495.94,5000.59,5797.08,6375.85,7099.08
Net Block,623.19,944.26,1352.01,1492.14,1703.25,1812.76,1829.22,2454.76,2492.3,2896.9
Capital Work in Progress,144.67,86.32,122.85,240.25,226.38,314.74,827.02,399.28,829.65,233.66
Investments,16.08,16.08,20,146.66,35.14,20.46,156.17,280.54,77.78,486.01
Other Assets,1199.61,1339.62,1455.9,1705.52,2203.78,2347.98,2188.18,2662.5,2976.12,3482.51
Total,1983.55,2386.28,2950.76,3584.57,4168.55,4495.94,5000.59,5797.08,6375.85,7099.08
Receivables,452.79,554.1,592.15,570.49,782.45,768.58,636.28,787.46,792.56,779.67
Inventory,335.01,418.13,601.64,816.95,1049.71,1061.42,1142.69,1438.24,1803.78,1643.42
Cash & Bank,294.57,222.17,150.25,170.92,111.28,71.75,84.51,175.81,53.57,99.83
No. of Equity Shares,170812500,170812500,170812500,170812500,170812500,170812500,170812500,170812500,170812500,170812500
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,278.75,395.03,554.71,552.9,321.66,541.34,1176.91,802.03,632.95,925.94
Cash from Investing Activity,-342.26,-294.18,-387.23,-528.61,-235.51,-448.3,-830.67,-616.4,-481.89,-770.41
Cash from Financing Activity,-53.1,-74.54,-163.66,-1.97,-138.16,-91.62,-363.79,-121.5,-213.48,-100.4
Net Cash Flow,-116.61,26.31,3.82,22.32,-52.01,1.42,-17.55,64.13,-62.42,55.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
