COMPANY NAME,TILAKNAGAR INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,222.1,,,,,,,,,
Market Capitalization,4273.16,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,824.17,748.23,457.79,515.03,577.77,661.33,652.83,548.75,783.37,1164.36
Raw Material Cost,389.2,198.08,259.66,149.3,147.87,159.24,159.19,145.24,179.44,296.32
Change in Inventory,-1.47,3.84,-16.9,-16.49,5.89,17.75,-31.12,13.94,-4.43,16.98
Power and Fuel,4.87,4.93,5.43,4.68,3.6,6.53,3.79,3.63,4.75,5.82
Other Mfr. Exp,42.98,226.1,15.36,198.46,170.21,218.77,192.47,181.69,241.24,403.14
Employee Cost,34.49,21.31,34.11,28.31,22.03,33.3,29.64,25.62,32.59,37.93
Selling and admin,171.49,194.42,162.03,161.2,162.66,128.64,133.52,131.14,185.97,275.43
Other Expenses,9.78,12.16,86.34,50.68,74.33,76.46,155.05,21.16,22.83,25.47
Other Income,4.25,2.23,2.74,1.61,33.45,5.2,485.13,11.31,23.68,85.2
Depreciation,25.48,27.68,38.55,38.14,37.31,36.75,32.98,33.12,32.74,32.35
Interest,64.12,97.46,125.03,157.24,151.94,184.21,128.93,70.97,61.87,40.19
Profit before tax,84.54,-27.84,-282.88,-287.86,-152.84,-159.62,271.27,-38.57,41.19,149.89
Tax,26.29,12.32,-1.14,-8.29,-1.72,-0.1,1.54,-0.18,-4,-0.01
Net profit,58.26,-40.16,-281.74,-279.58,-151.13,-159.51,269.73,-38.4,45.19,149.9
Dividend Amount,9.9,0.62,,,,,,,1.59,4.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,201.11,205.9,241.06,229.55,274.5,302.87,357.45,304.1,354.39,376.69
Expenses,170.57,173.48,215.27,207.84,243.07,262.31,313.98,265.7,306.97,325.3
Other Income,1.33,1.12,21.04,0.67,0.59,52.5,31.49,1.17,5.61,8.43
Depreciation,8.25,8.22,8.08,8.05,8.22,8.16,7.92,7.81,8.25,8
Interest,15.83,15.53,15.5,13.3,9.91,9.02,7.95,6.02,7.74,8.05
Profit before tax,7.79,9.79,23.25,1.03,13.89,75.88,59.09,25.74,37.04,43.77
Tax,-3.52,-0.48,,,,,-0.01,,,
Net profit,11.3,10.27,23.25,1.04,13.88,75.88,59.1,25.75,37.04,43.77
Operating Profit,30.54,32.42,25.79,21.71,31.43,40.56,43.47,38.4,47.42,51.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,123.77,124.76,124.76,124.76,124.76,125.13,125.13,125.43,158.62,185.34
Reserves,459.1,417.46,131.02,-104.32,-254.8,-412.35,-142.51,-181.15,-37.36,288.78
Borrowings,831.84,825.02,884.89,1072.12,1031.49,1110.89,578.61,702.46,585.18,255.54
Other Liabilities,249.9,349.12,387.33,257.79,382.65,457.39,518.83,364.78,306.84,281.88
Total,1664.61,1716.36,1528,1350.35,1284.1,1281.06,1080.06,1011.52,1013.28,1011.54
Net Block,460.87,608.4,579.35,541.58,587.48,551.59,501.72,468.57,439.28,420.03
Capital Work in Progress,233.75,123.13,124.41,124.13,113.25,114.28,100.36,100.1,100.22,0.11
Investments,1.73,2.7,0.04,0.04,0.04,3.48,0.04,0.04,0.04,22.61
Other Assets,968.26,982.13,824.2,684.6,583.33,611.71,477.94,442.81,473.74,568.79
Total,1664.61,1716.36,1528,1350.35,1284.1,1281.06,1080.06,1011.52,1013.28,1011.54
Receivables,222.43,148.5,114.72,149.66,173.14,240.99,243.38,181.1,236.77,338.81
Inventory,132.56,126.2,101.68,88.22,79.98,97.8,60.1,72.08,72.32,116.21
Cash & Bank,18.73,33.48,10.5,6.01,68.33,53.06,39.71,48.11,70.62,44.17
No. of Equity Shares,123769640,124756120,124756120,124756115,124756115,125133765,125133765,125434603,158621804,185339999
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,55.99,213.1,13.42,25.92,174.75,90.77,190.79,85.47,65.11,71.29
Cash from Investing Activity,-122.51,-85.08,-3.44,-2.35,-7.83,-3.13,4.64,-0.32,-25.89,-11.77
Cash from Financing Activity,54.56,-112.68,-27.06,-28.19,-104.96,-104.31,-208.26,-77.62,-41.34,-67.45
Net Cash Flow,-11.96,15.34,-17.09,-4.62,61.96,-16.67,-12.83,7.53,-2.12,-7.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,55.6,19.8,16.05,13.7,18.75,14.5,15.1,29.45,66.65,112.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
