COMPANY NAME,BAJAJ HINDUSTHAN SUGAR LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,31.6,,,,,,,,,
Market Capitalization,4037.68,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,6645.36,4535.35,4690.5,4399.3,5846.72,6806.39,6669.34,6665.97,5575.65,6338.03
Raw Material Cost,7815.33,3704.54,3127.29,4037.88,4900.53,5658.63,5363.34,5297.32,4609.93,5074.48
Change in Inventory,2075.88,-432.75,-281.23,1032.8,2.6,-106.42,-60.17,-193.31,209.67,-104.53
Power and Fuel,28.77,12.28,12.76,17.4,14.72,16.87,28.6,25.95,21.74,24.45
Other Mfr. Exp,401.9,220.48,162.41,161.95,205.14,292.1,324.38,522.31,484.05,342.47
Employee Cost,316.73,179.91,199.22,234.01,249.9,275.49,299.99,328.87,343.2,379.68
Selling and admin,98.58,55.15,58.1,71.08,92.83,90.54,69.2,71.36,79.94,72.66
Other Expenses,156.95,98.44,64.72,58.44,114.05,69.81,69.98,63.53,74.08,76.89
Other Income,95.57,123.57,89.63,96.2,100.94,95.54,11.24,22.2,24.75,22.29
Depreciation,555.74,257.67,241.71,243.18,197.45,204.23,216.41,215.71,214.66,213.2
Interest,1128.58,889.01,848.39,802.08,680.17,321.78,300.87,263.52,253.99,210.12
Profit before tax,-1685.77,-1191.31,-215.7,-97.72,-504.53,-133.94,-52.36,-293.71,-271.52,-138.16
Tax,24.91,0.98,-3.5,-5.74,-4.89,2.63,-2.36,-2.89,-3.98,-3.42
Net profit,-1624.68,-1192.45,-212.1,-91.98,-499.64,-136.56,-49.99,-290.82,-267.54,-134.73
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1344.14,1257.23,1621.67,1529.92,1323.4,1430.84,2053.87,1360.13,1133.29,1740.63
Expenses,1343.42,1309.9,1467.49,1496.79,1406.39,1343.12,1828.88,1338.02,1188.58,1629.97
Other Income,3.21,4.1,13.48,7.79,6.59,2.7,5.23,3.23,30.01,4.27
Depreciation,54.04,54.25,52.89,53.17,53.75,53.75,52.53,55.33,55.93,56
Interest,62.9,61.71,59.03,32.66,32.14,94.98,50.34,44.71,41.67,38.86
Profit before tax,-113.01,-164.53,55.74,-44.91,-162.29,-58.31,127.35,-74.7,-122.88,20.07
Tax,,,-3.98,,0.08,0.06,-3.56,-0.01,-0.01,-0.01
Net profit,-113.01,-164.53,59.72,-44.91,-162.37,-58.36,130.91,-74.34,-123.14,20.28
Operating Profit,0.72,-52.67,154.18,33.13,-82.99,87.72,224.99,22.11,-55.29,110.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,63.94,81.02,108.39,110.07,110.07,110.07,110.07,110.07,124.45,124.45
Reserves,2304.62,1439.37,3470.06,3355.49,2831.9,2682.33,2587.05,2262.17,2134.66,4299.95
Borrowings,6274.67,7284.85,6913.97,7010.1,6795.78,6026.48,5493.39,5409.4,4816.63,4292.39
Other Liabilities,3707.13,3001.22,3095.09,3861.21,4311.63,4987.39,5357.85,5354.12,5974,7222.55
Total,12350.36,11806.46,13587.51,14336.87,14049.38,13806.27,13548.36,13135.76,13049.74,15939.34
Net Block,5059.14,4944.41,7974.03,7735.98,7543.04,7396.83,7194.06,6993.46,6804.93,7800.35
Capital Work in Progress,17.25,17.97,28.61,45.83,75.41,26.35,52.81,35.24,8.35,5.25
Investments,2333.58,2450.93,1302,1277.81,1225.43,1190.91,1136.32,1084.88,1918.47,4479.97
Other Assets,4940.39,4393.15,4282.87,5277.25,5205.5,5192.18,5165.17,5022.18,4317.99,3653.77
Total,12350.36,11806.46,13587.51,14336.87,14049.38,13806.27,13548.36,13135.76,13049.74,15939.34
Receivables,215.67,163.34,286.8,150.05,169.33,196.63,168.96,213.14,214.3,140.85
Inventory,2673.5,2179.29,1924.12,3009.52,2847.88,2764.98,2711.39,2541.34,2745.56,2612.72
Cash & Bank,131.78,89.36,130.47,85.27,63.64,67.37,114.95,74.05,52.01,23.4
No. of Equity Shares,639399900,810241177,1116817774,1133559942,1133559942,1133559942,1133559942,1133559942,1277359942,1277359942
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1063.39,-365.03,379.31,699.89,953.23,1117.71,910.28,331.69,619.11,792.31
Cash from Investing Activity,-4185.01,-179.11,-2.11,-13.52,-28.73,-3.72,-21.39,22.37,13.15,12.33
Cash from Financing Activity,2741.34,476.04,-386.04,-706.76,-918.2,-1098.38,-838.77,-384.29,-654.31,-833.2
