COMPANY NAME,ANANT RAJ LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,365.8,,,,,,,,,
Market Capitalization,12504.63,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,484.08,431.34,465.95,480.13,349.55,276.19,249.66,461.86,956.94,1483.3
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,2.51,7.61,4.02,3.31,2.88,2.94,3.7,3.08,3.04,
Other Mfr. Exp,182.05,245.91,277.39,310.13,238.69,183.94,182,351,714.98,
Employee Cost,16.65,16.97,17.21,19.41,13.31,11.78,12.98,14.18,15.67,19.2
Selling and admin,22.11,23.66,22.84,29.52,18.62,24.82,15.31,17,24.58,
Other Expenses,9.86,0.41,3.69,7.48,0.56,0.37,0.29,0.72,1.61,1130.29
Other Income,7.66,24.41,28.65,49.19,14.59,9.5,19.96,39.38,47.92,37.44
Depreciation,28.46,27.46,27.39,26.04,21.86,17.73,17.18,16.67,16.51,18.06
Interest,54.65,46.48,54.5,54.91,27.9,15.06,30.55,27.07,31.76,34.61
Profit before tax,175.45,87.25,87.56,78.52,40.32,29.05,7.61,71.52,196.71,318.58
Tax,33.38,23.7,20.73,18.33,11.03,12.26,7.38,23.05,52.3,54.04
Net profit,142.37,69.35,77.07,67.72,42.69,26.74,10.65,54.89,151.12,260.91
Dividend Amount,7.08,7.08,7.08,7.08,7.08,2.36,2.95,3.54,16.2,24.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,97.37,215.92,159.39,251.62,265.78,280.15,316.16,332.28,392.27,442.59
Expenses,74.83,190.91,127.31,213.09,213,206.48,256.64,252.42,302.19,338.24
Other Income,6.09,14.73,9.55,14.25,14.38,9.74,9.61,8.55,8.75,10.53
Depreciation,4.16,4.2,3.98,4.09,4.23,4.21,4.19,4.23,4.83,4.81
Interest,5.85,8.19,8.24,6.66,6.38,10.48,7.47,8.03,7.7,11.41
Profit before tax,18.62,27.35,29.41,42.03,56.55,68.72,57.47,76.15,86.3,98.66
Tax,8.61,6.31,8.13,9.41,12.33,22.43,9.22,17.41,16.52,10.89
Net profit,11.82,22.66,24.66,33.54,45.63,49.4,50.65,60.1,71.83,78.33
Operating Profit,22.54,25.01,32.08,38.53,52.78,73.67,59.52,79.86,90.08,104.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,64.82,68.38
Reserves,4074.87,4057.94,4186.9,4127.7,2442.05,2426.37,2440.49,2580.08,2760.26,3587.98
Borrowings,1356.09,1488.87,1720.53,2600.44,1591.17,1690.59,1662.93,1282.96,1103.71,626.74
Other Liabilities,600.63,643.04,725.87,685.95,509.31,411.72,448.13,462.95,429.18,585.17
Total,6090.61,6248.87,6692.32,7473.11,4601.55,4587.7,4610.57,4385.01,4357.97,4868.27
Net Block,2554.84,379.75,2627.12,2788.85,1350.68,1341.63,1326.11,1310.05,1305.29,1313.78
Capital Work in Progress,169.03,168.98,144.87,191.81,145.74,140.01,90.37,47.56,76.99,21.5
Investments,662.69,2875.94,648.66,593.74,402.38,461.4,422.54,460.25,460.26,301.84
Other Assets,2704.05,2824.2,3271.67,3898.71,2702.75,2644.66,2771.55,2567.15,2515.43,3231.15
Total,6090.61,6248.87,6692.32,7473.11,4601.55,4587.7,4610.57,4385.01,4357.97,4868.27
Receivables,94.35,97.11,111.22,104.63,62.13,71.59,43.57,21.78,51.28,99.64
Inventory,1145.85,1136,1122.31,1146.47,962.22,1387.79,1456.64,1134.91,1196.72,1415.85
Cash & Bank,103.18,87.35,135.49,266.25,64.89,18.1,37.36,30.82,69.06,321.24
No. of Equity Shares,295096335,295096335,295096335,295096335,295096335,295096335,295096335,295096335,324096335,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,248.78,-72.88,-127.21,-304.6,810.1,-83.88,-149.88,423.33,-6.36,24.14
Cash from Investing Activity,-123.06,-50.24,-32.54,-229.47,1706.53,-4.86,85.34,30.51,49.8,132.2
Cash from Financing Activity,-82.44,108.95,192.73,674.64,-2678.91,42.94,83.01,-461.28,-28.81,114.61
Net Cash Flow,43.28,-14.17,32.99,140.57,-162.28,-45.8,18.47,-7.44,14.63,270.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,22.01,18.21,26.34,25.71,18.54,10.92,54.35,65.9,122.15,311.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
