COMPANY NAME,AMI ORGANICS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1193.4,,,,,,,,,
Market Capitalization,4394.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,160.26,187.87,238.51,239.61,340.61,520.14,616.73
Raw Material Cost,,,,94.75,114.72,151.95,137.96,174.87,282.33,345.85
Change in Inventory,,,,-0.24,1.77,3.62,8.99,-4.81,9.5,14.96
Power and Fuel,,,,1,1.27,4.14,4.54,5.26,21.4,22.28
Other Mfr. Exp,,,,15.42,19.87,17.04,34.54,40.65,49.53,46.71
Employee Cost,,,,7.38,9.89,11.8,17.87,21.11,41.68,49.44
Selling and admin,,,,17.6,12.56,11.51,10.46,12.03,27.03,36.09
Other Expenses,,,,0.73,0.81,3.61,1.44,1.39,2.49,7.97
Other Income,,,,0.21,2.96,0.38,2.07,1.04,2.76,3.57
Depreciation,,,,1.37,1.91,2.6,3.52,4.19,10.08,12.34
Interest,,,,3.3,3.23,4.75,5.59,5.62,6.41,2.41
Profit before tax,,,,18.68,28.34,35.11,34.75,71.72,91.45,112.17
Tax,,,,6.63,9.86,11.81,7.29,17.72,19.5,28.88
Net profit,,,,12.05,18.5,23.3,27.47,54,71.95,83.29
Dividend Amount,,,,,,,,,10.93,10.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,122.31,141.15,143.54,131.01,146.99,152.36,186.38,153.72,172.36,166.44
Expenses,94.94,111.22,117.76,108.09,118.86,121.56,145.53,119.71,147.54,139.93
Other Income,0.16,1.39,0.18,0.62,0.85,3.02,-0.17,1.15,-30.25,3.49
Depreciation,2.32,2.42,3.11,3.04,2.82,3.06,3.43,3.71,3.69,3.76
Interest,2.69,0.34,0.59,0.18,0.45,1.19,0.59,0.51,0.82,2.54
Profit before tax,22.52,28.56,22.26,20.32,25.71,29.57,36.66,30.94,-9.94,23.7
Tax,5.06,9.09,0.98,5.46,6.67,7.28,9.47,8.7,7.08,5.89
Net profit,17.47,19.47,21.28,14.86,19.04,22.28,27.2,19.72,-18.85,16.75
Operating Profit,27.37,29.93,25.78,22.92,28.13,30.8,40.85,34.01,24.82,26.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,1.5,1.5,10.5,10.5,31.5,36.44,36.44
Reserves,,,,37.49,56.18,71.72,101.31,135.43,485.84,557.52
Borrowings,,,,26.53,43.83,53.91,59.42,136.63,0.84,3.6
Other Liabilities,,,,43.42,53.94,77.02,60.66,109.71,135.76,169.38
Total,,,,108.94,155.45,213.15,231.89,413.27,658.88,766.94
Net Block,,,,27.76,31.54,78.78,85.19,186.31,204.53,258.95
Capital Work in Progress,,,,11.42,30.33,1.96,11.71,0.2,2.96,29.8
Investments,,,,1.43,2.55,1.64,1.73,1.43,1.71,1.65
Other Assets,,,,68.33,91.03,130.77,133.26,225.33,449.68,476.54
Total,,,,108.94,155.45,213.15,231.89,413.27,658.88,766.94
Receivables,,,,36.49,49.97,76.09,56.4,120.69,163.7,230.26
Inventory,,,,19.72,27.39,38.67,52.34,60.36,112.17,119.17
Cash & Bank,,,,3.58,1.17,0.49,3.82,2.68,99.55,58.67
No. of Equity Shares,,,,1500000,1500000,10500000,10500000,31500000,36437062,36437062
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,28.54,8.46,14.84,27.08,27.96,-11.93,65.53
Cash from Investing Activity,,,,-18.61,-25.32,-20.87,-23.94,-101.21,-120.72,-33.04
Cash from Financing Activity,,,,-7.11,14.62,5.62,0.19,72.11,140.26,-12.25
Net Cash Flow,,,,2.82,-2.24,-0.41,3.33,-1.14,7.61,20.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,1002.25,889.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.15,0.15,1.05,1.05,3.15,3.64,3.64
