COMPANY NAME,VOLTAMP TRANSFORMERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,9773.9,,,,,,,,,
Market Capitalization,9887.73,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,516.89,563.3,610.93,638.79,828.83,858.58,692.31,1127.21,1385.1,1616.22
Raw Material Cost,440.17,455.15,474.96,370.64,479.27,466.23,366.47,652.5,760.94,1191.64
Change in Inventory,14.64,11.85,-3.33,1.26,12.32,15.13,-11.51,32.83,-3.54,61.29
Power and Fuel,3.82,3.57,3.99,4.52,4.45,4.59,3.14,4.81,6.15,
Other Mfr. Exp,24.18,27.02,13.41,140.1,199.42,215.46,167.62,277.65,292.37,
Employee Cost,21.22,21.24,22.06,24.48,29.45,33.29,33.23,38.88,40.13,53.87
Selling and admin,22.19,29.81,28.51,27.01,29.82,32.48,26.7,36.93,40.16,
Other Expenses,0.2,0.92,4.5,5.98,4.57,7.19,6.2,10.28,10.94,109.65
Other Income,21.16,28.27,38.98,39.38,36.25,8.61,72.47,42.95,40.08,88.98
Depreciation,7.22,5.98,5.82,6,7.15,8.99,8.85,7.93,9.69,11.37
Interest,0.3,0.44,0.51,0.56,0.59,0.73,0.6,0.8,0.89,2.08
Profit before tax,33.39,59.29,92.82,100.14,122.68,113.36,140.46,173.21,260.37,397.88
Tax,4.98,15.31,20.62,26.66,37.84,23.97,28.24,40.37,60.42,90.52
Net profit,28.41,43.98,72.21,73.48,84.84,89.38,112.22,132.84,199.94,307.36
Dividend Amount,10.12,12.65,15.18,15.18,22.77,25.3,25.3,35.42,60.72,91.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,314.95,387.2,270.14,317.63,357.47,439.86,322.19,381.39,408.48,504.16
Expenses,280.57,320.49,233.86,271.26,302.06,347.04,274.2,312.61,303.65,403.42
Other Income,7.66,7.81,-0.41,15.92,13.73,10.83,23.03,17.91,24.8,23.24
Depreciation,1.98,2.21,2.2,2.41,2.51,2.57,2.32,2.74,2.96,3.35
Interest,0.24,0.23,0.24,0.2,0.22,0.23,0.24,0.31,0.28,1.25
Profit before tax,39.82,72.08,33.43,59.68,66.41,100.85,68.46,83.64,126.39,119.38
Tax,9.71,20.22,6.75,13.74,15.66,24.28,17.68,15.2,31.78,25.85
Net profit,30.11,51.86,26.68,45.94,50.76,76.57,50.78,68.44,94.61,93.53
Operating Profit,34.38,66.71,36.28,46.37,55.41,92.82,47.99,68.78,104.83,100.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12
Reserves,430.7,459.46,554.9,610.01,676.61,738.1,824.04,932.03,1097.11,1343.5
Borrowings,,,,,,,,,,3.21
Other Liabilities,54.51,51.08,47.69,49.84,63.87,68.67,81.96,119.08,115.29,164.25
Total,495.33,520.66,612.71,669.97,750.6,816.89,916.12,1061.23,1222.52,1521.08
Net Block,41.09,38.97,38.18,42.99,48.13,57.72,52.68,61.51,67.33,76.67
Capital Work in Progress,1.39,0.49,1.23,2.93,0.22,1.22,8.29,7.78,0.23,0.68
Investments,210.65,219.63,312.8,351.9,381.29,453.92,492.26,561.27,717.61,921.74
Other Assets,242.2,261.57,260.5,272.15,320.96,304.03,362.89,430.67,437.35,521.99
Total,495.33,520.66,612.71,669.97,750.6,816.89,916.12,1061.23,1222.52,1521.08
Receivables,144.45,148.93,153.83,144.41,176.58,150.28,170.72,190.45,226.42,238.75
Inventory,81.63,94.57,82.53,96.98,107.68,115.55,127.31,209.37,174.77,226.22
Cash & Bank,3.32,1.83,4.22,8.03,11.39,6,25.47,13.47,17.91,29.42
No. of Equity Shares,10117120,10117120,10117120,10117120,10117120,10117120,10117120,10117120,10117120,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-10.17,-1.19,78.09,42.55,32.48,107.79,19.61,65.57,167.97,216.28
Cash from Investing Activity,24.02,11.87,-59.97,-20.2,-10.91,-85.73,20.75,-46.3,-127.25,-141.44
Cash from Financing Activity,-11.84,-12.19,-15.75,-18.23,-18.28,-27.45,-25.89,-26.09,-36.3,-63.33
Net Cash Flow,2.01,-1.51,2.37,4.11,3.29,-5.4,14.48,-6.82,4.42,11.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,639.65,784.45,1051.05,1066.4,1147.75,880.05,1095.05,1960.1,2692.45,9670.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
