COMPANY NAME,BOMBAY BURMAH TRADING CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1511.15,,,,,,,,,
Market Capitalization,10554.62,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,7271.16,8196.71,8761.8,9434.11,10237.91,11423.2,11889.34,13396.18,14507.25,16622.92
Raw Material Cost,4319.88,4871.76,5172.05,5756.45,6230.49,6784.64,6998.75,7764,8977.14,9828.38
Change in Inventory,-0.2,46.36,1.8,0.08,-4.28,78.74,-61.25,35.98,57.64,76.3
Power and Fuel,123.87,123.21,109.58,116.53,138.81,187.45,187.63,190.84,229.04,284.49
Other Mfr. Exp,547.05,595.14,549.48,544.02,517.42,653.74,637.77,697.26,770.89,927.16
Employee Cost,368.18,405.55,455.3,467.14,530.53,578.58,615.93,629.32,643.19,769.78
Selling and admin,1074.97,1173.55,988.06,956.54,990.49,1147.06,1155.88,1211.34,1239.98,1517.67
Other Expenses,208.18,212.55,285.36,323.35,506.65,467.92,481.07,789.77,1109.55,1645.19
Other Income,87.69,295.1,160.6,186.07,200.98,391.45,440.37,338.16,383.82,-781.32
Depreciation,94.21,155,125.87,130.84,153.49,172.5,199.97,212.71,212.59,239.28
Interest,43.17,40.66,43.95,43.42,55.05,60.37,123.86,150.8,252.16,425.25
Profit before tax,579.14,960.75,1194.55,1281.97,1311.68,1841.13,1867.6,2124.28,1514.17,280.7
Tax,176.93,264.96,402.57,423.5,539.02,651.67,587.26,846.53,705.52,814.21
Net profit,207.11,356.87,386.23,421.76,277.4,620.94,598.27,369.53,63.41,-1675.87
Dividend Amount,6.98,6.98,6.98,6.98,6.98,6.98,8.38,8.38,8.38,8.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3697.62,3661.58,3712.12,3775.53,4459.04,4280.2,4108.16,4086.62,4523.93,4336.73
Expenses,3267.83,3285.18,3313.46,3654.2,4056.41,3755.99,3430.57,3747.78,3736.86,3537.64
Other Income,136.87,59.13,85.44,150.04,117.52,483.19,-1546.5,97.35,66.35,269.44
Depreciation,53.7,53.97,54.11,54.57,54.92,61.1,68.68,73.72,74.7,81.22
Interest,65.07,65.74,63.38,88.87,111.95,110.47,113.36,127.42,154.56,52.89
Profit before tax,447.89,315.82,366.61,127.93,353.28,835.83,-1050.95,235.05,624.16,934.42
Tax,144.19,136.49,232.43,127.45,172,217.49,297.23,167.01,212.59,203.26
Net profit,116.12,-2.23,-51.86,-164.77,-60.19,157.71,-1623.22,-156.17,122.04,456.7
Operating Profit,429.79,376.4,398.66,121.33,402.63,524.21,677.59,338.84,787.07,799.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96
Reserves,1280.1,1552.28,1899.44,3664.5,3949.68,4403.21,5080.3,5462.41,5482.61,4019.55
Borrowings,786.93,883.19,792.61,1013.81,1023.54,956.47,2045.07,2669.97,5880.36,6541.6
Other Liabilities,1600.68,2043.12,2441.75,2699.22,3344.34,4053.71,4189.93,4271.39,3874.21,5102.84
Total,3681.67,4492.55,5147.76,7391.49,8331.52,9427.35,11329.26,12417.73,15251.14,15677.95
Net Block,1875.22,1878.02,1989.43,2217.34,2372.58,2717.19,2889.22,2802.33,2762.81,3637.81
Capital Work in Progress,113.58,49.29,90.83,33.21,207.39,108.05,50.97,130.97,561.32,108.39
Investments,430.01,779.38,1070.85,2364.92,2831.82,3221.15,4998.41,4637.65,3817.61,4796.13
Other Assets,1262.86,1785.86,1996.65,2776.02,2919.73,3380.96,3390.66,4846.78,8109.4,7135.62
Total,3681.67,4492.55,5147.76,7391.49,8331.52,9427.35,11329.26,12417.73,15251.14,15677.95
Receivables,170.91,202.3,231.81,230.74,361.06,459.37,367.75,312.72,392.21,390.46
Inventory,514.94,515.83,546.51,733.89,727.37,881.41,835.21,1182.59,1434.72,1266.64
Cash & Bank,153.52,315.21,135.41,222.42,254.72,191.88,221.93,1527.76,4567.06,3658.09
No. of Equity Shares,69813400,69813400,69813400,69854900,69854900,69813400,69813400,69813400,69813400,69813400
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,648.55,656.27,785.78,410.58,1213.05,1104.18,1409.4,1692.05,1447.37,2473.66
Cash from Investing Activity,-298.63,-435.37,-667.44,-357.05,-966.84,-771.87,-1642.9,-393.37,-2993.49,-1323.83
Cash from Financing Activity,-390.91,-59.21,-303.7,-26.17,-220.56,-367.77,266.7,-866.03,1494.15,-1161.43
