COMPANY NAME,MOIL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,399.95,,,,,,,,,
Market Capitalization,8142.23,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1020.23,821.64,632.47,977.59,1314.11,1438.02,1034.31,1172.14,1432.73,1339
Raw Material Cost,25.84,24.07,17.34,26.47,29.85,38.4,38.42,32.01,35.33,39.6
Change in Inventory,-6.62,94.81,13.9,-48.42,-19.44,0.86,68.33,-67.1,-14.54,62.74
Power and Fuel,37.37,40.77,38.4,40.51,44.79,49.03,47.76,45.46,53.75,59.88
Other Mfr. Exp,130.93,147.95,134.45,140.88,148.92,177.68,187.71,179.16,200.02,225.62
Employee Cost,256.2,262.89,301.34,307.8,406.28,428.37,462.76,444.45,443.18,570.27
Selling and admin,46.61,43.53,48.85,84.58,103.78,112.31,74.79,88.09,104.95,94.84
Other Expenses,15.47,18.2,35.43,30.67,28.4,37.32,35.66,25.37,39.49,42.43
Other Income,303.32,316.61,252.16,221.13,177.72,190.81,181.11,48.79,85.68,79.69
Depreciation,35.18,45.08,52.47,54.71,62.45,66.82,96.16,99.17,103.11,114.34
Interest,,,,2.78,,,,,0.74,
Profit before tax,769.33,650.57,270.25,461.9,647.92,719.76,340.49,240.12,523.3,334.45
Tax,259.76,222.56,97.28,156.07,225.93,245.86,92.27,63.48,146.31,83.86
Net profit,509.56,428.01,172.98,305.83,421.99,473.89,248.22,176.63,376.98,250.59
Dividend Amount,126,142.8,84,146.51,141.69,154.57,142.4,175.62,122.09,75.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,311.73,363.36,467.89,375.59,235.99,302,428.06,379.71,347.53,306.31
Expenses,230.56,200.8,253.92,227.59,202.74,246.65,295.55,256,251.21,216.87
Other Income,22.36,27.86,14.6,15.19,23.64,20.86,19.99,25.66,20.48,23.42
Depreciation,24.99,26.4,27.98,25.69,27.08,30.09,31.47,33.25,35.22,36.51
Interest,,,0.74,,,,,,,
Profit before tax,78.54,164.02,199.85,137.5,29.81,46.12,121.03,116.12,81.58,76.35
Tax,18.31,40.13,68.79,34.72,2.46,6.59,40.09,29.54,20.05,22.25
Net profit,60.24,123.88,131.07,102.78,27.35,39.52,80.95,86.57,61.52,54.1
Operating Profit,81.17,162.56,213.97,148,33.25,55.35,132.51,123.71,96.32,89.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,168,168,168,133.19,257.61,257.61,237.33,237.33,203.49,203.49
Reserves,2959.33,3213.7,3285.37,2672.16,2541.59,2825.1,2526.06,2582.57,1938.03,2040.83
Borrowings,,,,,,,,,,
Other Liabilities,344.53,266.27,274.65,286.84,441.35,526.31,538.07,570.43,438.29,447.88
Total,3471.86,3647.97,3728.02,3092.19,3240.55,3609.02,3301.46,3390.33,2579.81,2692.2
Net Block,232.34,293.91,310.89,326.2,347.77,430.36,587.34,662.91,676.45,852.12
Capital Work in Progress,68.97,52.9,80.4,116.16,238.49,296.87,242.03,202.57,314.24,270.39
Investments,4.21,0.21,0.21,0.21,23.51,114.74,7.25,331.23,231.52,151.59
Other Assets,3166.34,3300.95,3336.52,2649.62,2630.78,2767.05,2464.84,2193.62,1357.6,1418.1
Total,3471.86,3647.97,3728.02,3092.19,3240.55,3609.02,3301.46,3390.33,2579.81,2692.2
Receivables,113.18,107.24,142.05,241.25,190.02,131.85,134.04,226.55,172.86,143.34
Inventory,49.14,144.24,163,122.19,97.3,102.64,177.94,110.08,100.17,170.75
Cash & Bank,2792.83,2829.89,2850.1,2091.13,2139.13,2261.92,1804.68,1596.59,840.65,812.5
No. of Equity Shares,168000000,168000000,168000000,133187804,257608888,257608888,237327879,237327879,203485211,203485210
New Bonus Shares,,,,,133187804,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,500.19,27.62,-23.89,117.84,528.62,423.78,57.98,290.68,360.06,212.07
Cash from Investing Activity,163.73,180.79,145.41,-587.67,-397.25,-253.89,687.32,-360.09,692.97,-101.65
Cash from Financing Activity,-147.87,-171.35,-101.31,-80.54,-213.41,-172.81,-561.57,-130.58,-1033.29,-122.11
Net Cash Flow,516.05,37.06,20.21,-550.37,-82.04,-2.91,183.74,-199.99,19.74,-11.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,125.73,138.3,108.85,156.88,195.65,158.7,102.45,150.55,184.35,142.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,33.6,33.6,33.6,26.64,25.76,25.76,23.73,23.73,20.35,20.35
