COMPANY NAME,LAURUS LABS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,427.35,,,,,,,,,
Market Capitalization,23030.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1326.59,1777.58,1904.65,2056.17,2291.92,2831.72,4813.51,4935.57,6040.55,5040.83
Raw Material Cost,912.82,1033.24,1031.67,1088.41,1267.63,1629.55,2455.2,2414.94,2752.28,2533.3
Change in Inventory,84.45,25.08,34.9,24.7,31.99,216.15,297.01,221.17,-22.04,100.88
Power and Fuel,49.86,57.96,66.27,94.21,109.37,136.77,157.75,204.47,324.1,
Other Mfr. Exp,73.38,99.27,127.81,144.27,156.57,195.36,299.26,353.61,454.53,
Employee Cost,132.82,188.52,223.39,258.04,289.2,344.87,434.09,501.53,580.64,639.93
Selling and admin,41.57,54.91,73.59,76.17,128.12,165.28,202.83,244.17,267.79,
Other Expenses,0.4,6.26,8.74,5.93,16.25,10.66,9.86,14.38,46.77,1190.98
Other Income,34.07,4.06,31.94,28.67,15.36,5.09,22.81,14.09,5.79,26.34
Depreciation,61.53,86.41,105.98,125.45,164.19,187.27,205.07,251.49,324.08,384.58
Interest,106.16,111.11,99.9,79.64,88.19,89.59,68.16,102.39,165.17,182.9
Profit before tax,66.57,169.04,234.14,237.42,119.75,293.61,1301.11,1083.85,1108.94,236.36
Tax,-1.55,34.9,43.86,69.81,25.99,38.34,317.29,251.42,312.3,68.15
Net profit,68.37,133.74,190.28,167.61,93.76,255.27,983.58,827.52,790.11,160.55
Dividend Amount,,3.15,15.86,15.9,15.97,26.73,107.32,107.47,107.73,21.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1028.76,1424.83,1538.94,1575.89,1544.82,1380.9,1181.79,1224.45,1194.92,1439.67
Expenses,743.47,1028.12,1084.77,1126.98,1141.25,1095.36,1015.07,1036.58,1013.5,1198.18
Other Income,5.33,1.29,1.75,1.11,1.43,1.71,3.6,1.78,2.43,18.53
Depreciation,64.02,65.74,70.79,81.84,84.44,87.01,90.55,93.37,98.41,102.25
Interest,23.1,30.55,29.25,40.11,42.71,53.1,39.19,42.39,50.82,50.5
Profit before tax,203.5,301.71,355.88,328.07,277.85,147.14,40.58,53.89,34.62,107.27
Tax,48.53,69.81,103.34,94.27,74.79,39.9,12.18,14.57,9.45,31.95
Net profit,153.73,230.5,251.28,232.81,203.04,102.98,24.85,36.95,23.14,75.61
Operating Profit,285.29,396.71,454.17,448.91,403.57,285.54,166.72,187.87,181.42,241.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,15.51,15.77,105.76,106.03,106.44,106.91,107.32,107.47,107.73,107.79
Reserves,639.98,774.42,1224.69,1376.61,1451.97,1662.86,2490.23,3243.72,3929.8,4003.16
Borrowings,821.11,1027.71,841.75,979.91,1035.93,1079.42,1481.69,1776.66,2015.09,2577.4
Other Liabilities,411.72,405.63,481.23,554.17,736.85,901.13,1671.45,1840.19,1607.78,1698.68
Total,1888.32,2223.53,2653.43,3016.72,3331.19,3750.32,5750.69,6968.04,7660.4,8387.03
Net Block,801.01,1021.03,1229.94,1480.8,1629.07,1726.34,2170.62,2652.47,3408.62,3890.01
Capital Work in Progress,109.67,69.6,143.26,163.18,109.63,67.18,362.17,813.22,550.78,422.84
Investments,7.45,7.05,3.41,3.41,3.41,3.41,3.41,30.81,49.9,123.98
Other Assets,970.19,1125.85,1276.82,1369.33,1589.08,1953.39,3214.49,3471.54,3651.1,3950.2
Total,1888.32,2223.53,2653.43,3016.72,3331.19,3750.32,5750.69,6968.04,7660.4,8387.03
Receivables,285.07,444.86,567.61,570.59,709.94,791.42,1306.06,1354.18,1580.44,1662.92
Inventory,475.5,487.09,509.05,584.78,681.94,905.22,1575.45,1760.3,1684.81,1845.41
Cash & Bank,58.89,28.77,4.09,3.06,3.02,1.74,48.46,75.94,48.46,141.65
No. of Equity Shares,15512000,15767255,105756249,106029749,106436749,106914499,536602385,537359335,538650925,
New Bonus Shares,,,,,,,,295885212,295885212,
Face value,10,10,10,10,10,10,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-64.71,181.97,331.99,342.49,297.66,347.42,733,911.1,993.9,665.69
Cash from Investing Activity,-396.96,-312.01,-288.76,-384.16,-252.93,-221.04,-940.93,-914.47,-996.94,-822.42
Cash from Financing Activity,486.08,103.32,-53.61,42.24,-44.77,-127.66,254.7,30.26,-26.64,249.83
Net Cash Flow,24.42,-26.72,-10.38,0.58,-0.04,-1.28,46.77,26.89,-29.68,93.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
