COMPANY NAME,ITI LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,277.3,,,,,,,,,
Market Capitalization,26663.87,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,708.72,574.33,1251.55,1528.12,1475.14,1668.37,2058.87,2362.18,1860.73,1395.45
Raw Material Cost,136.95,185.09,669.58,604.77,545.42,605.35,507.72,444.58,740.63,437.79
Change in Inventory,-1.98,-2.06,-0.44,17.62,-11.77,11.29,40.29,8.55,19.28,33.23
Power and Fuel,23.34,21.5,17.36,17.78,16.54,15.32,16.68,19.08,20.42,21.83
Other Mfr. Exp,413.08,228.13,336.28,663.97,560.93,805.68,1146.42,1512.21,739.97,811.61
Employee Cost,337.32,321.19,315.13,300.87,225.5,204.22,231.01,290.44,222.18,228.87
Selling and admin,87.49,26.62,85.12,52.14,30.25,32.37,35.69,41.07,36.96,54.49
Other Expenses,-47.59,0.07,0.01,10.83,3.35,117.09,15.5,12.08,11.1,27.66
Other Income,39.12,85.78,593.61,540.58,327.45,336.47,183.89,161.37,254.57,52.55
Depreciation,17.22,15.32,12.9,16.94,24.86,37.09,41.89,41.85,51.01,49.5
Interest,122.31,157.25,157.15,152.62,153.41,106.47,140.66,159.59,192.23,209.58
Profit before tax,-344.26,-297.12,251.19,266.4,230.56,92.54,147.48,11.2,120.08,-360.1
Tax,,,,,,,,,,
Net profit,-344.26,-297.13,251.19,266.39,230.56,92.54,147.48,11.2,120.08,-360.1
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,352.49,137.32,1141.5,166.28,197.55,256.35,775.26,157.04,246.47,258.84
Expenses,359.13,175.06,944.22,230.17,246.35,291.02,781.48,205.98,299.26,302.33
Other Income,10.34,6.7,225.54,21.98,10.46,10.19,9.93,12.99,9.61,12.64
Depreciation,14.53,11.85,13.05,11.96,11.87,12.24,13.42,12.03,13.32,13.59
Interest,44.95,49.7,52.39,45.6,50.13,50.68,63.17,54.62,69.3,57.25
Profit before tax,-55.78,-92.59,357.38,-99.47,-100.34,-87.4,-72.88,-102.6,-125.8,-101.69
Tax,,,,,,,,,,
Net profit,-55.78,-92.59,357.38,-99.47,-100.34,-87.4,-72.88,-102.6,-125.8,-101.69
Operating Profit,-6.64,-37.74,197.28,-63.89,-48.8,-34.67,-6.22,-48.94,-52.79,-43.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,288,288,288,560,760,897,925.12,933.52,933.52,949.58
Reserves,230.79,124.55,389.19,499.35,867.84,896.7,1357.48,1474.7,1639.96,1390.02
Borrowings,875.93,1220.83,1138.91,1523.55,1226.32,1258.71,1215.58,1465.26,1612.87,1876.59
Other Liabilities,3726.27,3740.68,4052.03,2964.73,4189.47,3942.64,4224.9,5043.47,5393.98,5280.47
Total,5120.99,5374.06,5868.13,5547.63,7043.63,6995.05,7723.08,8916.95,9580.33,9496.66
Net Block,2452.86,2423.44,2458.44,2506.39,2619.68,2694.52,2692.77,2702.11,2729.43,2752.36
Capital Work in Progress,21.15,33.02,91.68,101.59,149.29,164.85,188.63,168.87,149.65,138.63
Investments,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
Other Assets,2646.57,2917.19,3317.6,2939.24,4274.25,4135.27,4841.27,6045.56,6700.84,6605.26
Total,5120.99,5374.06,5868.13,5547.63,7043.63,6995.05,7723.08,8916.95,9580.33,9496.66
Receivables,1943.52,1840.81,1713.59,2195.95,3079.94,2657.4,2761.14,2552.1,2729.9,2429.28
Inventory,129.61,126.77,137.15,177.08,191.97,184.83,213.37,233.73,233.42,289.78
Cash & Bank,32.34,271.22,121.19,166.31,324.75,203.53,245.07,547.61,306.5,214.84
No. of Equity Shares,288000000,288000000,288000000,560000000,760000000,897000000,925119508,933522869,933522869,949577352
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-127.11,-148.56,-318.85,-347.45,-109.44,21.75,-196.88,95.8,-436.09,-293.78
Cash from Investing Activity,-18.91,-10.06,-104.28,-75.08,-95.84,-123.88,-74.88,-306.11,176.87,46.45
Cash from Financing Activity,161.49,397.51,273.1,467.64,363.72,-19.09,284.84,198.47,246.84,241.12
Net Cash Flow,15.47,238.89,-150.03,45.12,158.44,-121.22,13.08,-11.84,-12.37,-6.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,15.95,20.15,24.1,71.25,113.25,95.8,62.75,114.95,96.45,90.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
