COMPANY NAME,SENCO GOLD LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,880.25,,,,,,,,,
Market Capitalization,6814.79,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,2214.52,2484.26,2420.34,2660.38,3534.64,4075.56
Raw Material Cost,,,,,2079.29,2116.65,2248.46,2131.74,3397.91,3812.89
Change in Inventory,,,,,179.64,5.59,252.34,-153.66,417.37,391.13
Power and Fuel,,,,,3.66,4.06,4.59,4.3,5.44,6.98
Other Mfr. Exp,,,,,3.87,8.15,8.78,61.58,89.21,89.78
Employee Cost,,,,,40.15,46.13,47.02,52.18,74.3,91.52
Selling and admin,,,,,78.34,78.14,64.06,51.52,82.13,120.94
Other Expenses,,,,,49.06,70.95,76.42,23.65,15.56,14.56
Other Income,,,,,28.25,9.45,8.7,14.51,12.92,31.7
Depreciation,,,,,18.74,16.35,37.16,39.57,42.08,44.94
Interest,,,,,37.26,43.07,62.87,73,80.31,98.2
Profit before tax,,,,,112.04,115.8,132.02,83.69,177.99,218.58
Tax,,,,,39.7,41.16,41.1,22.18,47.84,57.68
Net profit,,,,,72.34,74.64,90.93,61.51,130.15,160.91
Dividend Amount,,,,,,,,7.98,5.32,8.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,1007.24,911.05,1344.47,813.93,1304.08,1144.4,1651.24
Expenses,,,,952.21,878.36,1181.59,747.21,1236.34,1105.25,1468.41
Other Income,,,,5.09,9.09,9.93,7.38,9.52,11.22,9.03
Depreciation,,,,9.89,9.91,11.41,14.04,12.38,13.07,15.65
Interest,,,,19.22,19.6,22.72,24.52,26.62,23.33,28.24
Profit before tax,,,,31.01,12.27,138.68,35.54,38.26,13.97,147.97
Tax,,,,8.46,3.14,34.75,9.51,9.79,1.96,36.54
Net profit,,,,22.55,9.13,103.93,26.03,28.47,12.02,111.43
Operating Profit,,,,55.03,32.69,162.88,66.72,67.74,39.15,182.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,17.73,66.48,53.19,53.19,53.19,55.85
Reserves,,,,,376.1,402.78,485.33,549.47,673.87,893.19
Borrowings,,,,,583.79,562.94,575.31,679.81,1025.93,1386.92
Other Liabilities,,,,,195.21,144.79,408.53,276.85,347.81,566.86
Total,,,,,1172.83,1176.99,1522.36,1559.32,2100.8,2902.82
Net Block,,,,,86.33,81.49,202.22,211.84,219.26,275.63
Capital Work in Progress,,,,,4.04,4.67,4.4,2.44,6.51,13.06
Investments,,,,,0.03,0.03,0.03,2.03,2.03,4.13
Other Assets,,,,,1082.43,1090.8,1315.71,1343.01,1873,2610
Total,,,,,1172.83,1176.99,1522.36,1559.32,2100.8,2902.82
Receivables,,,,,40.26,18.42,27.71,27.56,39.54,45.44
Inventory,,,,,836.83,868.39,1087.11,1039.47,1388.66,1877.77
Cash & Bank,,,,,139.12,115.04,91.99,126.36,278.6,435.23
No. of Equity Shares,,,,,17728704,66482265,53186112,53186112,53186112,55849653
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,-48.32,48.5,,181.86,-72.12,-74.83
Cash from Investing Activity,,,,,-34.56,-55.66,,-56.35,-156.06,-198.82
Cash from Financing Activity,,,,,113.14,-59.2,,-122.37,230.76,271.46
Net Cash Flow,,,,,30.25,-66.36,,3.13,2.57,-2.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,1.77,5.32,5.32,5.32,5.32,5.58
