COMPANY NAME,DISHMAN CARBOGEN AMCIS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,197.5,,,,,,,,,
Market Capitalization,3098.71,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2011-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,1031.35,1713.69,1694.79,2058.6,2043.6,1912.03,2140.69,2412.92
Raw Material Cost,,,392.01,329.58,402.19,378.01,476.38,434.77,460.5,624.99
Change in Inventory,,,29.04,0.28,65.26,-25.77,17.66,-33.38,13.08,113.58
Power and Fuel,,,34.75,49.47,48.33,56.14,60.26,41.87,62.73,87.83
Other Mfr. Exp,,,61.67,90.72,78.45,103.31,107.27,109.2,131.35,152.43
Employee Cost,,,280.35,596.02,625.4,714.64,762.27,872.91,981.49,1035.27
Selling and admin,,,71.74,147.69,136.29,190.73,124.58,113.81,147.71,197.65
Other Expenses,,,18.49,48.03,24.04,38.1,27.08,31.74,38.62,96.13
Other Income,,,13.89,26.13,45.69,53.82,38.6,16.17,28.78,-20.38
Depreciation,,,68.76,213.5,211.42,240.38,282.87,307.94,307.59,280.72
Interest,,,55.73,49.01,48.83,56.55,61.95,47.61,56.81,85.69
Profit before tax,,,90.78,216.08,230.79,308.79,197.2,-65.03,-4.25,-54.59
Tax,,,10.76,70.65,76.22,98.46,38.69,100.1,-22.26,-24.79
Net profit,,,80.01,145.43,154.57,210.33,158.51,-165.13,18.01,-29.8
Dividend Amount,,,,,,3.23,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,458.9,562.08,568.99,540.61,613.96,639.79,618.56,723.38,586.59,651.09
Expenses,359.67,452.58,547,452.32,535.36,525.92,567.12,601.52,525.74,609.98
Other Income,7.1,19.04,-7.77,5.67,8.85,3.97,-38.87,6.53,5.42,6.05
Depreciation,74.05,74.95,83.88,75.08,79.57,50.33,75.74,70.45,75.04,80.37
Interest,13.69,15.11,15.64,19.18,20.17,21.91,24.43,28.45,27.49,33.08
Profit before tax,18.59,38.48,-85.3,-0.3,-12.29,45.6,-87.6,29.49,-36.26,-66.29
Tax,7.4,3.1,-40.68,-4.31,-2.24,-1.36,-16.88,12.49,4.64,-6.66
Net profit,11.19,35.38,-44.62,4.01,-10.05,46.96,-70.72,17,-40.9,-59.63
Operating Profit,99.23,109.5,21.99,88.29,78.6,113.87,51.44,121.86,60.85,41.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2011-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,16.14,,32.28,32.28,31.38,31.36,31.36,31.36
Reserves,,,863.02,4813.98,5075.05,5346.81,5683.68,5667.46,5517.58,5778.31
Borrowings,,,868.49,949.71,1094.83,1042.17,1357.44,1588.85,1829.89,2208.85
Other Liabilities,,,333.76,810.61,966.85,899.25,1120.91,1068.19,1255.37,1420.97
Total,,,2081.41,6574.3,7169.01,7320.51,8193.41,8355.86,8634.2,9439.49
Net Block,,,1012.04,4851.88,5065.87,5097.57,5677.92,5698.28,5772.7,6187.73
Capital Work in Progress,,,306.95,132.88,150.71,175.25,234.17,485.78,779.51,1043.25
Investments,,,1.41,39.62,195.78,167.13,190.63,172.22,324.36,249.07
Other Assets,,,761.01,1549.92,1756.65,1880.56,2090.69,1999.58,1757.63,1959.44
Total,,,2081.41,6574.3,7169.01,7320.51,8193.41,8355.86,8634.2,9439.49
Receivables,,,170.07,285.55,444.4,445.3,577.43,420.71,473.42,589.91
Inventory,,,270.22,426.58,484.56,548.62,580.87,515.65,645.12,803.8
Cash & Bank,,,42.51,87.39,69.06,95.67,160.98,307.74,172.09,189.17
No. of Equity Shares,,,80697136,,161394272,161394272,156863095,156783095,156783095,156783095
New Bonus Shares,,,,,,,,,,
Face value,,,2,,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2011-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,202.78,302.64,226.45,282.02,585.14,512.66,354.85,220.34
Cash from Investing Activity,,,-231.18,-106.95,-297.16,-169.02,-441.74,-380.02,-618.53,-448.46
Cash from Financing Activity,,,25.45,-137.08,77.62,-102.2,-97.78,-11.04,130.38,249.67
Net Cash Flow,,,-2.95,58.61,6.91,10.8,45.62,121.6,-133.3,21.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,320.35,208.35,53.35,109,184.75,124.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,16.14,16.14,15.69,15.68,15.68,15.68
