COMPANY NAME,KAVERI SEED COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,832.8,,,,,,,,,
Market Capitalization,4298.57,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1010.21,1159.37,743.15,703.09,818.35,808.1,928.87,1033.21,967.61,1067.89
Raw Material Cost,381.08,429.16,375.09,391.24,397.33,544.9,579.54,690.17,478.63,547.87
Change in Inventory,5.96,-9.52,-23.06,-18.05,-20.88,120.89,99.03,149.58,-58.18,-16.67
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,0.91,0.6,0.85,0.87,1.56,2.7,2.1,2.62,1.92,2.34
Employee Cost,28.18,30.94,38.3,39.98,54.45,55.12,67.98,84.63,91.31,98.52
Selling and admin,384.58,376.67,100.1,86.67,105.36,101.12,108.19,96.81,114.44,130.33
Other Expenses,0.19,2.79,18.23,26.73,16.94,13.5,16.88,10.54,20.6,20.44
Other Income,9.75,15.39,13.1,-24.82,23.65,42.99,45.59,45.75,41.28,54.91
Depreciation,16.42,14.91,27.44,30.24,25.08,22.95,25.66,22.25,20.93,20.55
Interest,0.24,0.17,0.24,0.24,0.6,0.55,0.48,0.51,0.13,0.19
Profit before tax,214.32,310,172.94,84.25,219.8,231.14,272.66,321.01,222.75,285.89
Tax,5.16,9.23,5.47,6.97,8.4,13.73,12.74,9.81,9.95,13.25
Net profit,208.96,300.96,167.88,77.83,211.24,217.45,259.04,310.5,212.45,271.73
Dividend Amount,33,51.68,17.26,,19.83,18.94,18.1,24.14,23.32,22.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,147.57,126.05,66.58,685.59,167.08,144,73.68,736.1,171.32,142.63
Expenses,141.15,118.65,77.48,438.96,158.55,130.76,90.36,458.26,160.05,134.05
Other Income,15.14,6.75,4.29,7.46,7.49,31.98,7.98,11.65,13.51,13.05
Depreciation,4.99,5.46,5.7,4.76,5.02,5.28,5.5,5.67,5.98,6.71
Interest,0.04,0.03,0.03,0.02,0.06,0.06,0.05,0.02,0.07,0.1
Profit before tax,16.53,8.66,-12.34,249.31,10.94,39.88,-14.25,283.8,18.73,14.82
Tax,3.69,1.61,-0.52,4.38,5.49,1.73,1.64,8.56,4.77,3.75
Net profit,12.83,7.64,-11.77,243.82,5.3,38.09,-15.49,273.52,13.72,11.78
Operating Profit,6.42,7.4,-10.9,246.63,8.53,13.24,-16.68,277.84,11.27,8.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,13.75,13.78,13.81,13.81,13.22,12.63,12.07,12.07,11.66,11.18
Reserves,501.78,740.99,913.38,1000.53,999.18,994.24,946.6,1232.36,1269.1,1353.87
Borrowings,0.94,1.44,1.65,4.64,2.88,7.11,6.26,1.56,1.09,0.61
Other Liabilities,511.83,402.19,431.83,508.78,449.49,536.5,612.31,714.42,595.51,682.54
Total,1028.3,1158.4,1360.67,1527.76,1464.77,1550.48,1577.24,1960.41,1877.36,2048.2
Net Block,143.64,160.84,201.54,200.23,189.48,240.13,249.7,245.65,242.39,260.93
Capital Work in Progress,11.66,61.66,19.7,33.97,37.35,38.15,18.21,30.82,43.23,133.06
Investments,278.28,294.99,506.38,656.89,622.6,509.56,383.86,598.98,516.6,561.94
Other Assets,594.72,640.91,633.05,636.67,615.34,762.64,925.47,1084.96,1075.14,1092.27
Total,1028.3,1158.4,1360.67,1527.76,1464.77,1550.48,1577.24,1960.41,1877.36,2048.2
Receivables,65.32,118.06,80.36,85.4,85.93,84.62,118.02,105.68,110.71,133.35
Inventory,497.15,494.35,504.45,447.82,442.82,561.23,639.05,719.51,760.62,717.87
Cash & Bank,6.66,6.56,9.49,20.97,13.91,8.7,8.05,14.09,20.14,21.61
No. of Equity Shares,68742205,68896195,69055095,69055095,66092133,63129133,60329133,60329133,58321660,55921829
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,193.21,144.91,246.32,218.22,148.32,127.94,191.73,251.86,110.23,296.55
Cash from Investing Activity,-162.41,-83.73,-201.96,-150.25,70.84,82.4,112.48,-217.34,66.1,-118.85
Cash from Financing Activity,-38.41,-61.28,-41.57,-56.48,-226.23,-219.11,-301.43,-29.06,-169.77,-176.23
Net Cash Flow,-7.61,-0.1,2.79,11.49,-7.07,-8.77,2.78,5.47,6.57,1.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,639.7,984.85,377.6,558.2,483.4,459.85,341.9,513.05,547,477.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
