COMPANY NAME,TEXMACO RAIL & ENGINEERING LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,163.85,,,,,,,,,
Market Capitalization,6547.2,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,446.39,438.58,1076.64,1154.15,1135.19,1858.16,1831.8,1688.74,1814.42,2600.24
Raw Material Cost,274.86,272.03,826.88,777.63,811.1,1361.54,1305.51,1013.2,1117.25,1739.09
Change in Inventory,4.34,6.3,36.51,-70.52,53.93,64.45,85,-168.44,23.02,123.25
Power and Fuel,30.77,35.02,42.23,43.25,45.12,62.05,71.67,55.15,55.45,70.37
Other Mfr. Exp,52.9,50.53,77.56,87.43,107.47,142.33,193.95,167.62,148.5,208.17
Employee Cost,44.02,45.59,77.77,80.41,97.78,113.55,128.16,116.5,126.45,130.47
Selling and admin,14.2,7.22,13.02,12.9,42.89,42.04,24.12,21.83,19.44,23.18
Other Expenses,16.38,14.95,24.94,23.63,24.17,34.42,36.64,25.88,233.37,410.06
Other Income,22.89,23.69,44.93,47.31,50.64,21.13,-122.66,31.7,31.49,37.77
Depreciation,11.74,14.94,14.55,16.16,24.82,28.96,35.91,37.26,35.81,35.03
Interest,9.99,12.07,46.99,47.52,60.86,70.64,96.89,102.97,100.24,116.17
Profit before tax,18.76,16.22,34.14,42.01,25.55,88.21,-98.71,11.59,32.42,28.72
Tax,1.79,2.49,6.94,8.44,12.17,12.93,-32.87,-0.27,14.13,8.88
Net profit,16.97,13.74,27.2,33.57,13.39,75.28,-65.84,11.87,18.29,19.84
Dividend Amount,4.55,5.25,5.26,5.48,5.5,7.87,2.25,2.5,3.22,4.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,373.74,470.47,446.68,298.7,484.42,624.89,835.27,656.82,805.05,896.44
Expenses,335.71,434.59,419.41,308.71,441.94,569.72,780.77,635.66,730.36,813.72
Other Income,6.02,9.25,10.46,6.39,12.73,7.32,11.33,38.76,8.47,12.31
Depreciation,9.01,8.95,8.82,8.66,8.69,8.82,8.86,8.73,8.78,8.93
Interest,25.87,25.48,22.99,22.44,30.43,31.85,31.45,34.53,36.62,33.84
Profit before tax,9.17,10.7,5.92,-34.72,16.09,21.82,25.52,16.66,37.76,52.26
Tax,3.32,9.13,-0.24,-12.19,2.55,10.52,8,2.1,15.99,22.89
Net profit,5.85,1.58,6.16,-22.53,13.54,11.3,17.53,14.57,21.76,29.37
Operating Profit,38.03,35.88,27.27,-10.01,42.48,55.17,54.5,21.16,74.69,82.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,18.2,21.01,21.03,21.94,21.98,22.48,22.49,25.03,32.19,32.19
Reserves,573.87,872.41,987.05,1023.29,1050.07,1117.77,1005.42,1114.63,1294.41,1313.15
Borrowings,101.64,107.07,335.48,324.1,521.79,587.07,760.36,779.26,709.8,984.01
Other Liabilities,323.9,347.75,521.18,453.69,656.79,978.71,1098.29,722.67,625.5,1011.13
Total,1017.61,1348.24,1864.74,1823.02,2250.63,2706.03,2886.56,2641.59,2661.9,3340.48
Net Block,160.09,206.36,228.07,245.78,344.34,364.51,408.56,378.28,361.35,367.15
Capital Work in Progress,47.89,4.82,3.93,1.64,5.35,9.79,3.6,3.96,2.49,9.28
Investments,317.13,609.64,544.48,502.17,253.48,143.13,99.56,127.61,71.35,92.49
Other Assets,492.5,527.42,1088.26,1073.43,1647.46,2188.6,2374.84,2131.74,2226.71,2871.56
Total,1017.61,1348.24,1864.74,1823.02,2250.63,2706.03,2886.56,2641.59,2661.9,3340.48
Receivables,191.51,149.77,412.17,437.37,679.7,815.46,644.54,611.35,569.94,784.89
Inventory,210.15,239.36,341.16,226.96,290.75,450.06,537.05,309.28,361.04,676.27
Cash & Bank,13.72,39.94,56.42,42.26,34.41,46.55,83.43,105.09,172.21,152.68
No. of Equity Shares,182026590,210063973,210283723,219414993,219828443,220049482,224859382,250343252,321869895,321869895
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,53.76,40.85,-64.65,-23.03,-208.35,-44.86,41.73,40.23,23.95,-106.04
Cash from Investing Activity,-37.5,-331.73,66.15,63.32,162.86,44.87,-95.5,-23.42,21.59,-73.49
Cash from Financing Activity,-31.35,282.01,8.17,-51.72,51.32,-5.57,59.81,-11,-12.31,154.34
Net Cash Flow,-15.09,-8.88,9.67,-11.43,5.82,-5.56,6.04,5.81,33.22,-25.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,43.02,134.48,94.24,83.53,75.07,62.1,17.71,24.24,41.7,42.45
