COMPANY NAME,SONA BLW PRECISION FORGINGS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,605.5,,,,,,,,,
Market Capitalization,35489.2,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,345.58,365.33,503.3,608.86,699.22,538.69,1400.04,1939.05,2468.62,2891.83
Raw Material Cost,144.12,155.34,197.47,186.04,192.84,149.23,616.15,864.82,1065.91,1266.36
Change in Inventory,-5.17,5.17,11.57,8.47,-12.22,-3.7,63.65,29.46,-27.09,36.71
Power and Fuel,20.85,21.99,23.9,32,39.32,27.97,38.81,47.95,64.79,
Other Mfr. Exp,26.37,27.3,39.15,107.27,159.46,123.13,208.02,288.46,348.21,
Employee Cost,29.14,33.42,44.43,60.94,48.2,50.68,142.63,163.46,174.83,211.15
Selling and admin,36.96,38.68,45.7,64.68,46.76,29.64,60.27,81.75,117.86,
Other Expenses,0.75,22.14,59.09,2.39,2.39,3.74,11.28,21.88,32.1,626.57
Other Income,1.82,-37.9,2.06,6.99,2.91,0.45,22.68,63.36,39.7,32.73
Depreciation,18.71,17.25,17.18,22.34,29.35,34.22,86.07,129.54,166.55,202.59
Interest,21.83,18.13,19.42,18.1,16.02,23.18,31.8,17.24,16.36,25.39
Profit before tax,43.5,-1.65,70.59,130.56,155.57,93.65,291.34,416.77,494.62,629.21
Tax,14.61,14.32,25.72,44.58,55,9.57,75.3,63.24,106.53,144.73
Net profit,28.88,-15.96,44.87,85.99,100.57,84.08,216.04,353.54,388.09,484.48
Dividend Amount,,,,,,199.92,1084.82,89.99,164.5,179.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,439.14,493.66,533.2,599.22,616.27,698.98,673.83,716.27,708.33,793.4
Expenses,323.53,377.59,411.66,452.7,456.33,510.11,487.63,515.7,493.76,570.29
Other Income,4.97,47.98,6.02,7.13,12.51,35,3.75,23.54,-0.92,6.38
Depreciation,32.86,34.61,37.13,40.05,44.14,45.23,48.24,49.94,51.14,53.27
Interest,3.05,3.19,2.66,4.05,4.87,4.78,5.25,5.99,7.03,7.12
Profit before tax,84.67,126.25,87.77,109.55,123.44,173.86,136.46,168.18,155.48,169.1
Tax,8.56,1.84,22.14,26.29,27.85,30.24,34.83,37.68,33.71,38.52
Net profit,76.11,124.42,65.62,83.26,95.59,143.62,101.63,130.5,121.77,130.59
Operating Profit,115.61,116.07,121.54,146.52,159.94,188.87,186.2,200.57,214.57,223.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,27.72,27.72,27.72,27.72,27.72,47.15,572.98,584.35,585.41,586.45
Reserves,183.07,167.1,211.97,297.96,398.55,1084.3,787.97,1388.8,1664.41,1987.58
Borrowings,155.88,148.52,157.87,161.32,145.26,329.6,442.86,146.73,291.37,387.81
Other Liabilities,61.39,72.55,91.22,127.37,166.86,104.94,318.1,385.8,435.04,623.45
Total,428.06,415.89,488.78,614.37,738.39,1565.99,2121.91,2505.68,2976.23,3585.29
Net Block,124.63,124.49,105.24,164.57,274.69,363.94,1085.27,1261.11,1472.74,1642.53
Capital Work in Progress,7.68,4.03,5.66,12.2,13.17,50.04,83.21,146.88,91.1,94.52
Investments,199.65,158.88,161.89,173.53,172.78,860.4,155.23,162.55,370.03,541.27
Other Assets,96.1,128.49,215.99,264.07,277.75,291.61,798.2,935.14,1042.36,1306.97
Total,428.06,415.89,488.78,614.37,738.39,1565.99,2121.91,2505.68,2976.23,3585.29
Receivables,54.76,66.45,119.5,141.81,152.1,133.44,398.64,437.49,586.45,582.14
Inventory,31.59,38.67,54.49,72.38,67.78,61.41,256.5,300.68,268.37,311.59
Cash & Bank,0.89,1.15,2.47,2.07,25.61,58.49,5.04,39.46,54.11,197.79
No. of Equity Shares,27718376,27718376,27718376,27718376,27716376,47153944,572980560,584352710,585404582,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,38.03,22.83,112.44,142.6,160.85,121.21,395.38,500.24,639.34
Cash from Investing Activity,,-12.01,-11.8,-97.85,-113.18,-886.06,-117.43,-317.73,-512.24,-452.51
Cash from Financing Activity,,-25.37,-9.71,-14.97,-31.29,759.5,-78.62,-62.35,20.17,-190.61
Net Cash Flow,,0.64,1.32,-0.39,-1.88,34.29,-74.84,15.3,8.17,-3.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,679.45,413.5,705.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.77,2.77,2.77,2.77,2.77,4.72,57.3,58.44,58.54,58.64
