COMPANY NAME,KPIT TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1496.35,,,,,,,,,
Market Capitalization,41032.46,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,641.26,2156.17,2035.74,2432.39,3365.04,4871.54
Raw Material Cost,,,,,11.55,7.82,0.05,,65.88,72
Change in Inventory,,,,,1.15,-0.67,,,25.44,13.64
Power and Fuel,,,,,1.9,8.74,7.15,7.82,9.32,
Other Mfr. Exp,,,,,109.89,226.18,66.24,74.46,153.35,
Employee Cost,,,,,356.75,1428.73,1341.47,1610.6,2155.3,3112.03
Selling and admin,,,,0.27,48.12,144.77,232.36,224.72,308.86,
Other Expenses,,,,,22.54,49.48,81.33,63.62,64.88,710.36
Other Income,,,,,1.25,18.7,20.91,32.39,42.59,60.27
Depreciation,,,,,18.77,108.05,133.17,119.61,146.38,195.79
Interest,,,,,6.94,19.82,17.25,19.4,32.31,54.83
Profit before tax,,,,-0.27,67.2,180.61,177.63,344.55,496.79,800.44
Tax,,,,,12.18,32.84,30.52,68.3,109.93,201.92
Net profit,,,,-0.27,54.19,147.58,146.14,274.23,381,594.53
Dividend Amount,,,,,20.14,26.89,40.36,83.71,110.84,181.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,622.37,651.77,685.72,744.83,917.12,1017.37,1097.62,1199.16,1256.96,1317.8
Expenses,507.74,530.37,552.55,606.67,747.26,835.02,883.74,959.23,998.45,1045.45
Other Income,8.55,13.58,16.28,10.74,18.2,6.72,21.51,9.47,18.79,16.63
Depreciation,31.16,30.72,31.02,32.74,40.41,42.21,45.04,48.09,49.96,52.7
Interest,4.48,7.05,6.34,7.03,8.28,10.66,13.71,13.57,15.75,11.8
Profit before tax,87.54,97.21,112.09,109.13,139.37,136.2,176.64,187.74,211.59,224.48
Tax,17.24,16.63,24.43,25.56,35.32,24.62,42.2,46.33,54.83,58.56
Net profit,70.01,78.88,85.43,83.48,100.49,111.6,134,140.85,155.33,164.35
Operating Profit,114.63,121.4,133.17,138.16,169.86,182.35,213.88,239.93,258.51,272.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,0.1,268.5,268.88,269.04,270.02,270.35,271.22
Reserves,,,,-0.27,691.06,780.23,937.8,1039.55,1381.19,1874.64
Borrowings,,,,,132.33,203.68,229.98,227.23,286.53,328.76
Other Liabilities,,,,0.26,582.2,384.43,530.71,799.34,1402.49,1693.28
Total,,,,0.09,1674.09,1637.22,1967.53,2336.14,3340.56,4167.9
Net Block,,,,,419.78,526.42,576.91,640.85,1684.44,1972.91
Capital Work in Progress,,,,,0.51,5.18,12.07,0.41,32.52,0.52
Investments,,,,,49.75,9.27,127.2,129.22,64.22,94.47
Other Assets,,,,0.09,1204.05,1096.35,1251.35,1565.66,1559.38,2100
Total,,,,0.09,1674.09,1637.22,1967.53,2336.14,3340.56,4167.9
Receivables,,,,,592,448.68,308.35,371.45,592.44,748.95
Inventory,,,,,17.99,11.53,,,58.75,90.25
Cash & Bank,,,,0.1,220.66,381.04,700.8,892.8,549.13,770.53
No. of Equity Shares,,,,100000,268502435,268879735,269043560,270016575,270346390,
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,-0.01,151.14,388.74,627.6,474.99,462.45,1001.77
Cash from Investing Activity,,,,,15.87,-136.38,-502.95,-292.03,-167.2,-563.7
Cash from Financing Activity,,,,0.1,33.77,-177.35,-114.77,-126.67,-183.1,-239.98
Net Cash Flow,,,,0.1,200.78,75.01,9.89,56.29,112.15,198.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,35.25,177.55,601.05,925.1,1486.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.01,27.41,27.41,27.41,27.41,27.41,27.41
