COMPANY NAME,PARADEEP PHOSPHATES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,65.4,,,,,,,,,
Market Capitalization,5334.23,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,3619.84,3791.03,4357.91,4192.86,5164.73,7858.72,13340.72
Raw Material Cost,,,,2500.49,2587.88,3686.75,2685.55,3645.33,6674.5,10621.96
Change in Inventory,,,,,-17.54,562.45,,-225.83,393.24,8.78
Power and Fuel,,,,81.16,82.25,82.06,72.94,62.58,70.16,626.1
Other Mfr. Exp,,,,52.61,61.45,54.39,59.14,445.2,505.36,788.45
Employee Cost,,,,113.06,118.92,130.58,131.93,139.19,138.5,213.2
Selling and admin,,,,20.98,351.94,24.42,21.02,51.87,51.81,109.98
Other Expenses,,,,472.7,146.6,500.63,762.53,45.59,127.62,173.7
Other Income,,,,52.64,20.13,39.3,34.91,12.32,26.37,75.95
Depreciation,,,,58.3,61.82,70.1,72.48,83.33,90.46,175.15
Interest,,,,242,159.23,159.25,191.79,111.43,85.54,291.24
Profit before tax,,,,131.18,223.53,251.48,230.39,366.7,534.38,425.67
Tax,,,,44.26,72.94,92.44,36.34,143.24,136.53,121.98
Net profit,,,,86.91,150.59,159.05,194.05,223.46,397.84,303.69
Dividend Amount,,,,,,,,,,40.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1934.66,2709.32,1898.75,2434.66,2863.69,4398.43,3643.94,3054.33,3683.02,2595.03
Expenses,1666.66,2500.91,1806.37,2277.42,2682.3,4026.68,3553.33,3092.89,3427.02,2312.54
Other Income,2.95,6.34,25.55,9.73,6.12,5.54,69.68,19.18,10.99,8.64
Depreciation,22.5,23.18,23.38,30.83,46.77,47.08,50.47,47.02,50.68,55.16
Interest,14.58,21.37,42.47,51.39,72.74,87.35,79.76,92.36,95.94,82.46
Profit before tax,233.87,170.2,52.08,84.75,68,242.86,30.06,-158.76,120.37,153.51
Tax,59.01,42.39,16.42,22.1,17.26,62.04,20.59,-39.35,30.94,44.59
Net profit,174.86,127.81,35.66,62.65,50.74,180.82,9.47,-119.41,89.43,108.92
Operating Profit,268,208.41,92.38,157.24,181.39,371.75,90.61,-38.56,256,282.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,575.45,575.45,575.45,575.45,575.45,575.45,814.5
Reserves,,,,669.93,819.99,907.35,1028.62,1252.93,1650.31,2690.71
Borrowings,,,,2511.12,1860.59,3053.77,2218.49,1251.17,2954.3,4647.92
Other Liabilities,,,,827.76,875.47,1091.18,1188.29,1344.48,2748.88,2504.38
Total,,,,4584.26,4131.5,5627.75,5010.85,4424.03,7928.94,10657.51
Net Block,,,,932.32,1007.89,1024.34,1214.03,1226.21,1260.6,2871.75
Capital Work in Progress,,,,243.41,214.58,254.81,149.04,220.06,336.29,696.86
Investments,,,,,,0.09,3.66,125.7,554.02,3.66
Other Assets,,,,3408.53,2909.03,4348.51,3644.12,2852.06,5778.03,7085.24
Total,,,,4584.26,4131.5,5627.75,5010.85,4424.03,7928.94,10657.51
Receivables,,,,2232.49,1915.47,2342.15,2148.9,1155.59,902.48,3689.74
Inventory,,,,724.47,659.7,1421.82,1078.54,899.05,2293.22,2237.68
Cash & Bank,,,,15.12,29.82,20.11,5.82,93.2,597.71,109.85
No. of Equity Shares,,,,5754500,5754500,5754500,5754500,5754500,575450000,814497619
New Bonus Shares,,,,,,,,,,
Face value,,,,1000,1000,1000,1000,1000,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,700.82,803.98,-920.36,1269.74,1501.15,-43.88,-2376.67
Cash from Investing Activity,,,,-132.47,72.65,-103.27,-143.16,-289.32,-1098.78,-418.7
Cash from Financing Activity,,,,-588.77,-867.83,1018.45,-1141.23,-1124.38,1588.97,2300.57
Net Cash Flow,,,,-20.41,8.79,-5.18,-14.65,87.44,446.32,-494.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,50.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.58,0.58,0.58,0.58,0.58,57.54,81.45
