COMPANY NAME,ROSSARI BIOTECH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,714,,,,,,,,,
Market Capitalization,3923.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,516.22,600.09,709.35,1482.97,1655.88,1830.56
Raw Material Cost,,,,,355.23,369.26,470.62,1128.08,1183.96,1357.05
Change in Inventory,,,,,15.96,-2.44,8.42,20.29,12.64,63.52
Power and Fuel,,,,,1.26,1.74,2.4,11.92,20.4,
Other Mfr. Exp,,,,,27.82,26.64,31.67,61.26,72.97,
Employee Cost,,,,,27.52,37.21,41.98,67.93,98.62,103.13
Selling and admin,,,,,38.07,50.79,36.7,37.93,52.24,
Other Expenses,,,,,4.46,7.41,10.86,12.64,17.3,184.14
Other Income,,,,,0.64,3.65,9.12,13.49,6.44,7.62
Depreciation,,,,,12.19,16.85,22.83,48.06,62.93,60.39
Interest,,,,,2.88,3.56,2.99,12.66,22.32,19.37
Profit before tax,,,,,63.39,87.84,106.84,136.27,144.22,177.62
Tax,,,,,17.71,22.58,26.79,38.58,36.96,46.93
Net profit,,,,,45.68,65.25,80.22,97.67,107.26,130.69
Dividend Amount,,,,,,2.54,2.6,2.75,2.76,2.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,428.42,438.93,434.71,425.44,389.27,406.47,410.61,483.47,463.77,472.72
Expenses,380.68,386.62,376.97,368.89,335.1,351.88,352.91,419.9,400.1,409.13
Other Income,5.51,3.3,1.36,0.94,1.13,3.01,2.19,1.38,3.52,0.57
Depreciation,15.67,16.54,15.33,15.63,15.96,16.02,14.11,15.11,15.09,16.07
Interest,4.84,4.8,5.08,8.23,4.67,4.35,6.32,5.03,4.32,2.52
Profit before tax,32.74,34.27,38.69,33.63,34.67,37.23,39.46,44.81,47.78,45.57
Tax,9.94,10.19,10.01,9.7,8.99,8.26,10.24,11.86,13.39,11.44
Net profit,22.8,24.08,28.68,23.92,25.68,28.98,29.22,32.95,34.39,34.13
Operating Profit,47.74,52.31,57.74,56.55,54.17,54.59,57.7,63.57,63.67,63.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,4.4,10.15,10.39,11.01,11.03,11.05
Reserves,,,,,119.41,276.53,398.39,794.15,904.14,1036.68
Borrowings,,,,,7.54,66.93,,8.43,73.93,118.79
Other Liabilities,,,,,118.45,117.85,152.25,441.79,375.27,405.63
Total,,,,,249.8,471.46,561.03,1255.38,1364.37,1572.15
Net Block,,,,,74,93.54,181.25,607.14,583.61,602.62
Capital Work in Progress,,,,,2.83,21.75,0.32,1.34,16.08,47.21
Investments,,,,,,17.91,,35.92,51.17,37.79
Other Assets,,,,,172.97,338.26,379.46,610.98,713.51,884.53
Total,,,,,249.8,471.46,561.03,1255.38,1364.37,1572.15
Receivables,,,,,85.92,94.14,144.07,304.85,353.66,425.13
Inventory,,,,,54.9,58.17,95.35,189.93,188.48,282.33
Cash & Bank,,,,,6.01,127.23,88.26,52.35,124.57,30.21
No. of Equity Shares,,,,,22000000,50752920,51929390,55056386,55155486,
New Bonus Shares,,,,,,,,,,
Face value,,,,,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,71.18,56.83,47.77,29.36,152.39,43.26
Cash from Investing Activity,,,,,-36.91,-190.3,-37.18,-298.88,-180.89,-103.21
Cash from Financing Activity,,,,,-29.15,156.94,-24.59,291.79,60.86,16.19
Net Cash Flow,,,,,5.12,23.47,-14,22.27,32.36,-43.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,1035.55,911.6,596.1,676.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.44,5.08,5.19,5.51,5.52,5.52
