COMPANY NAME,CHOICE INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,322.65,,,,,,,,,
Market Capitalization,6427.16,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,61.89,187.43,133.57,151.6,121.01,132.13,175.55,285.23,392.94,750.68
Raw Material Cost,12.96,86.73,17.96,30.83,,,,,,
Change in Inventory,6.22,-2.97,1.49,8.34,,,,,,
Power and Fuel,0.3,0.41,0.67,0.84,0.86,0.91,0.54,0.63,1.04,
Other Mfr. Exp,0.86,1.16,2.16,3.2,23.16,27.3,77.51,109.84,120.27,
Employee Cost,12.56,18.17,27.64,40.16,43.97,47.51,42.01,57.07,109.88,221.05
Selling and admin,15.42,49.76,54.59,43.01,12.94,10.98,10.56,20.64,43.02,310.51
Other Expenses,0.2,0.72,1.88,2.98,4.49,6.61,3.77,5.35,12.12,
Other Income,-0.02,0.08,1.48,0.28,0.3,0.17,0.22,0.73,2.23,8.65
Depreciation,2.27,2.07,2.23,2.77,3.17,3.46,3.09,3.38,4.8,6.6
Interest,17.24,18.74,19.13,20.67,20.46,17.33,15.48,15.42,22.09,40.37
Profit before tax,6.28,6.78,10.28,15.76,12.26,18.2,22.81,73.63,81.95,180.8
Tax,1.57,2.65,4.26,3.73,3.45,5.77,6.1,20.03,21.88,49.94
Net profit,5.1,4.3,6.29,12.24,5.89,12.43,16.71,53.58,60.38,128.86
Dividend Amount,1,1,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,67.34,92.1,76.93,76.71,96.34,137.24,137.91,190.95,207.28,214.55
Expenses,45.28,66.02,61.14,61.12,72.11,92.13,101.66,142.29,140.56,147.06
Other Income,0.38,1.29,1.78,1.79,2.09,2.3,1.35,2.92,2.51,1.87
Depreciation,0.95,0.96,1.01,1.09,1.33,1.37,1.48,1.75,1.65,1.73
Interest,3.39,5.24,4.85,4.73,6.58,5.77,6.73,9.84,11.37,12.43
Profit before tax,18.1,21.17,11.71,11.56,18.41,40.27,29.39,39.99,56.21,55.2
Tax,4.52,5.81,4.03,3.35,4.51,10,8.12,10.08,15.93,15.8
Net profit,13.59,15.29,7.74,8.26,14.07,30.3,21.53,29.4,39.42,38.51
Operating Profit,22.06,26.08,15.79,15.59,24.23,45.11,36.25,48.66,66.72,67.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,10,10,10,20,20,20,28.57,49.76,99.51,199.38
Reserves,50.39,53.48,59.77,146.18,153.53,193.2,234.47,360.21,377.78,432.04
Borrowings,121.18,119.25,146.93,177.35,166.04,142.96,151.34,219.74,205.66,455.46
Other Liabilities,45.65,49.17,69.96,84.42,133.39,145.83,240.2,346.49,424.16,719.2
Total,227.22,231.9,286.66,427.95,472.96,501.99,654.58,976.2,1107.11,1806.08
Net Block,31.52,34.22,36.78,77.79,98.38,87.5,85.53,88.35,126.29,140.55
Capital Work in Progress,,0.38,1.07,4.2,0.46,0.14,0.17,0.38,5.02,
Investments,22.39,22.34,26.36,46.64,21.68,19.59,6.62,10.57,11.09,23.2
Other Assets,173.31,174.96,222.45,299.32,352.44,394.76,562.26,876.9,964.71,1642.33
Total,227.22,231.9,286.66,427.95,472.96,501.99,654.58,976.2,1107.11,1806.08
Receivables,97.04,87,114.44,116.72,66.74,91.04,76.13,81.6,115.51,187.44
Inventory,10.78,7.81,9.29,17.47,36.37,30.61,8.72,23.7,7.63,1.37
Cash & Bank,39.49,45.22,41.28,62.02,24.23,50.98,48.18,139.01,251.97,386.07
No. of Equity Shares,10004800,10004800,10004800,20004800,20004800,20004800,28568273,49756000,99512000,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-21.68,27.89,-19.65,4.06,-36.25,26.21,-44.75,-34.28,263.47,-148.31
Cash from Investing Activity,12.83,4.65,-10.6,-22.48,54.04,12.59,15.04,-122.68,-180.48,-17.87
Cash from Financing Activity,6.09,-21.72,20.92,39.18,-28.47,-15.08,22.63,152.33,-21.28,223.92
Net Cash Flow,-2.76,10.81,-9.33,20.76,-10.68,23.72,-7.08,-4.63,61.71,57.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,6.09,9,11.45,26.16,14.59,15.92,25.66,57.08,141.15,273.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,5,5,5,10,10,10,14.28,19.9,19.9,19.94
