COMPANY NAME,INDOCO REMEDIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,328.65,,,,,,,,,
Market Capitalization,3037.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,730.72,854.21,1004.77,1071.12,1041.35,968.4,1106.58,1241.53,1540.75,1668.61
Raw Material Cost,273.03,319.69,361.13,362.83,344.53,306.93,338.48,366.23,483.09,514.74
Change in Inventory,1.05,19.25,11.12,1.56,-3.3,-13.32,8.05,12.13,26.3,-6.55
Power and Fuel,18.26,20.39,21.72,23.12,26.62,28.49,34.75,36.89,42.78,50.61
Other Mfr. Exp,19.78,22.36,27.71,30.11,36.2,39.54,44.41,46.09,60.66,62.79
Employee Cost,129.59,140.1,181.95,216.79,221.09,231.87,256.68,274.24,296.56,322.86
Selling and admin,152.07,173.23,216.73,255.77,246.13,241,287.09,257.6,292.39,339.15
Other Expenses,18.63,32.18,35.9,27.27,28.38,30.4,29.76,48.09,63.7,84.37
Other Income,1.73,1.7,1.23,3.64,4.52,5.95,2.18,2.86,1.8,0.89
Depreciation,30.9,47.09,60.66,63.28,67.71,71.57,70.82,73.13,78.96,70.61
Interest,18.92,10.58,12.39,6.21,23.51,20.54,26.25,22.26,14.14,25.03
Profit before tax,72.32,109.54,98.93,90.94,48.4,-9.31,28.57,131.99,236.57,192.79
Tax,14.29,26.74,16.99,13.87,7.23,-6.41,4.46,38.95,81.77,50.55
Net profit,57.98,82.81,81.94,77.06,41.16,-2.9,24.12,93.05,154.8,142.25
Dividend Amount,12.9,14.74,14.74,14.74,9.22,2.76,2.76,13.82,20.73,20.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,386.87,358,409.13,408.22,433.04,399.2,428.16,426.5,481.73,459.42
Expenses,300.43,284.55,328.59,336.77,345.19,337.16,363.4,365.33,410.36,396.52
Other Income,1.01,0.16,0.3,1.13,0.35,0.36,0.5,0.41,4.43,-5.85
Depreciation,19.45,19.22,18.05,20.1,15.65,17.17,17.69,19.88,21.41,24.35
Interest,3.05,3.81,3.04,4.13,5.25,7.01,8.64,7.79,8.11,10.07
Profit before tax,64.95,50.58,59.75,48.35,67.3,38.22,38.93,33.91,46.28,22.63
Tax,23.26,17.59,19.3,9.78,17.57,10.07,13.12,9.73,11.04,7.07
Net profit,41.69,32.99,40.45,38.57,49.73,28.15,25.81,24.39,35.08,16.3
Operating Profit,86.44,73.45,80.54,71.45,87.85,62.04,64.76,61.17,71.37,62.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.43
Reserves,438.72,500.37,558.09,632.91,656.55,642.19,661.14,750.56,886.21,1009.82
Borrowings,92,96.55,139.82,279.54,282,296.31,261.71,266.74,256.67,332.85
Other Liabilities,180.26,230.22,224.24,265.87,280.94,301.12,330.31,279.34,324.79,297.1
Total,729.41,845.57,940.58,1196.75,1237.92,1258.05,1271.59,1315.07,1486.1,1658.2
Net Block,325.43,339.8,373.64,439.89,488.86,467.65,589.74,570.03,555.1,678.25
Capital Work in Progress,44.12,62.71,54.8,90.63,135.56,185.43,50.7,68.1,121.53,113.6
Investments,0.17,0.17,15.7,0.02,0.02,0.02,0.02,0.02,0.02,2.46
Other Assets,359.69,442.89,496.44,666.21,613.48,604.95,631.13,676.92,809.45,863.89
Total,729.41,845.57,940.58,1196.75,1237.92,1258.05,1271.59,1315.07,1486.1,1658.2
Receivables,138.13,155.38,188.83,215.68,209.51,195.84,210.14,233.82,297.25,350.94
Inventory,110.22,149.12,166.69,186.95,193.38,183.45,208.32,237.85,310.52,325.99
Cash & Bank,13.39,15.4,12.63,62.59,11.9,36.26,37.93,14.34,19.77,13.35
No. of Equity Shares,92150355,92150355,92150355,92150355,92150355,92150355,92150355,92150355,92150355,92150355
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,98.81,109.04,112.23,88.64,122.72,132.11,122.85,82.22,173.83,178.84
Cash from Investing Activity,-40.98,-88.41,-110.72,-170.55,-135.43,-103.76,-55.93,-66.69,-121.41,-208.17
Cash from Financing Activity,-58.98,-19.92,-1.62,131.57,-38.77,-16.14,-63.95,-29.87,-44.37,22.8
Net Cash Flow,-1.15,0.7,-0.11,49.66,-51.48,12.22,2.97,-14.34,8.05,-6.53
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,140.6,363.8,290.5,249.15,212.15,202.3,210.4,287.55,377.05,325.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
