COMPANY NAME,POLY MEDICURE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1590.3,,,,,,,,,
Market Capitalization,15252.83,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,321.75,389.72,411.16,454.34,519.25,610.15,686.59,785.3,922.46,1114.75
Raw Material Cost,111.19,146.55,147.68,119.62,176.07,165.66,178.89,214.22,296.55,345.37
Change in Inventory,3.32,3.98,-0.21,2.9,10.44,0.8,8.88,1.77,14.95,23.65
Power and Fuel,10.75,13.16,15.22,16.78,19.04,24.74,25.62,25.27,29.84,38.59
Other Mfr. Exp,37.09,43.11,42.9,88.01,61.95,109.23,117.82,125.73,154.17,190.77
Employee Cost,52.89,65.64,75.43,87.86,99.75,117.21,139.49,142.78,164.56,204.16
Selling and admin,31.88,36.07,38.57,46.48,44.62,57.45,60.3,55.18,66.03,76.37
Other Expenses,5.57,3.1,3.4,5.03,6.3,5.43,7.22,7.4,11.25,15.73
Other Income,10.97,27.7,8.27,13.94,15.62,19.67,20.6,21.73,40.35,38.11
Depreciation,14.06,18.77,21.03,23.73,29.24,37.29,40.53,47.52,53.95,57.17
Interest,9.47,10.25,9.95,8.49,11.58,13.53,20.48,10.64,6.16,10.86
Profit before tax,63.14,84.75,65.04,75.18,96.76,100.08,125.72,180.06,195.25,237.49
Tax,19.12,23.1,17.57,20.06,26.16,34.67,29.85,44.18,48.74,58.21
Net profit,45.09,62.32,48.27,55.13,70.59,65.4,95.88,135.87,146.51,179.28
Dividend Amount,8.81,11.03,13.24,22.06,17.64,17.65,17.65,23.97,23.98,28.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,223.37,230.24,257.52,248.85,274.7,284.83,306.85,320.83,337.29,339.6
Expenses,172.49,179.09,201.77,202.38,210.02,213.8,223.64,233.63,253.06,249.37
Other Income,13.24,7.7,8.48,4.97,9.27,14.79,9.08,13.86,14.93,17.28
Depreciation,13.5,13.59,13.99,13.93,14.25,14.19,14.79,15.52,15.99,16.21
Interest,0.2,-0.58,1.45,1.21,0.45,4.83,2.35,2.49,2.22,3.47
Profit before tax,50.42,45.84,48.79,36.3,59.25,66.8,75.15,83.05,80.95,87.83
Tax,12.18,11.33,12.62,9.33,15.75,16.78,16.34,20.34,18.75,22.81
Net profit,38.23,34.51,36.17,26.96,43.5,50.01,58.81,62.7,62.19,65.02
Operating Profit,50.88,51.15,55.75,46.47,64.68,71.03,83.21,87.2,84.23,90.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,22.03,22.06,22.06,44.11,44.11,44.12,44.12,47.94,47.95,47.97
Reserves,124.42,174.12,206.57,227.43,294.18,337.25,390.7,917.63,1039.53,1193.65
Borrowings,66.96,78.81,82.46,100.74,132.86,160.72,206.62,137.43,126.71,149.02
Other Liabilities,72.66,89.02,76.27,84.67,93.67,111.86,125.89,120.73,162.64,186.57
Total,286.07,364.01,387.36,456.95,564.82,653.95,767.33,1223.73,1376.83,1577.21
Net Block,123.09,165.47,182.35,206.71,265.28,306.26,362.95,425.74,488.1,635.26
Capital Work in Progress,19.66,9.8,13.72,20,18.25,19.42,24.71,21.21,43.4,78.16
Investments,3.43,3.95,4.42,3.28,17.41,7.54,25.39,354.42,346.37,126.23
Other Assets,139.89,184.79,186.87,226.96,263.88,320.73,354.28,422.36,498.96,737.56
Total,286.07,364.01,387.36,456.95,564.82,653.95,767.33,1223.73,1376.83,1577.21
Receivables,45.75,62.81,82.98,95.53,112.54,128.38,127.12,155.86,206.63,235.43
Inventory,42.01,57.62,46,61.95,72.99,83.79,112.09,126.48,168.36,208.65
Cash & Bank,13.83,19.98,21.73,22.68,20.39,54.59,25.36,29.56,15.44,183.06
No. of Equity Shares,22033211,44113440,44113440,88226880,88226880,88236930,88246980,95880567,95900342,95944342
New Bonus Shares,11012500,,,44113440,,,,,,
Face value,10,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,66.14,63.3,63.2,56.07,74.96,106.48,128.3,118.73,123.47,190.83
Cash from Investing Activity,-58.45,-59.33,-31.38,-55.67,-88.03,-100.74,-107.26,-435.58,-85.33,-179.02
Cash from Financing Activity,5.4,-5.89,-30.77,-0.28,15.71,-5.13,-20.51,316.95,-35.34,-12.51
Net Cash Flow,13.09,-1.91,1.06,0.11,2.64,0.62,0.54,0.1,2.8,-0.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,113,252.4,141.95,271.55,251.1,219.5,233.05,822.35,949.5,952.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
