COMPANY NAME,INGERSOLL-RAND (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,4304.45,,,,,,,,,
Market Capitalization,13521.53,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,524.64,655.53,621.13,620.44,614.79,739.07,705.62,617.73,909.92,1150.79
Raw Material Cost,397,422.82,399.69,381.59,344.96,426,394.02,360.23,584.67,678.14
Change in Inventory,20.11,-13.65,-1.32,6.7,-3.26,4.07,-0.34,-3.88,26.27,-1.44
Power and Fuel,4.23,4.22,3.85,4.03,4.23,4.51,4.49,2.6,2.78,3.18
Other Mfr. Exp,10.88,16.58,10.18,15.65,17.7,18,16.71,19.77,50.01,57.32
Employee Cost,65.54,77.24,85.46,93.74,106.58,120.22,126.77,84.78,105.07,111.4
Selling and admin,2.78,54.83,60.06,55.81,54.87,58.1,53.42,25.82,31.48,39.83
Other Expenses,18.78,42.84,16.12,20.21,12.43,10.79,11.1,9.97,10.64,13.66
Other Income,62.19,89.84,46.96,70.87,73.53,33.79,36.13,13.05,13.47,19.22
Depreciation,8.11,11.56,9.78,11.8,12.6,11.37,18.26,14.26,14.1,16.33
Interest,1.19,2.08,0.47,0.79,0.05,0.49,2.6,1.69,2.55,2.41
Profit before tax,98.43,99.55,81.16,114.39,131.64,127.45,114.04,107.78,148.36,246.3
Tax,31.48,33.4,20.32,37.11,42.76,46.52,29.44,35.43,38.21,63.67
Net profit,66.96,66.15,60.83,77.27,88.89,80.93,84.6,72.35,110.14,182.64
Dividend Amount,18.94,18.94,18.94,18.94,656.66,18.94,88.4,9.47,63.14,157.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,248.92,244.99,221.78,273.23,253.94,319.22,304.4,304.53,276.31,329.21
Expenses,212.83,205.77,181.73,229.18,208.19,253.74,213.92,233.12,210.65,254.41
Other Income,3.09,3.39,4.2,3.69,6.62,4.63,4.34,5.67,6.47,4.5
Depreciation,3.42,3.64,3.73,3.83,3.98,4.21,4.31,4.35,4.59,4.53
Interest,0.37,0.39,1.39,0.57,0.52,1.12,0.2,0.4,0.59,0.47
Profit before tax,35.39,38.58,39.13,43.34,47.87,64.78,90.31,72.33,66.95,74.3
Tax,9.36,9.98,9.9,11.23,12.41,16.82,23.2,18.6,17.24,19.22
Net profit,26.03,28.6,29.23,32.11,35.46,47.96,67.11,53.73,49.71,55.08
Operating Profit,36.09,39.22,40.05,44.05,45.75,65.48,90.48,71.41,65.66,74.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,31.57,31.57,31.57,31.57,31.57,31.57,31.57,31.57,31.57,31.57
Reserves,883.04,925.65,976.09,1029.99,1096.91,386.99,349.56,419.1,520.32,546.47
Borrowings,,,,,,,7.93,9.54,7.75,4.62
Other Liabilities,178.77,173.93,153.17,150.8,160.33,180.88,163.15,212.08,276.26,276.42
Total,1093.38,1131.15,1160.83,1212.36,1288.81,599.44,552.21,672.29,835.9,859.08
Net Block,108.54,109.31,77.55,126.15,121.28,117.47,117.49,111.7,110.77,110.4
Capital Work in Progress,7.78,45.64,35,1.9,0.68,1.64,1.14,4.12,6.18,4
Investments,,,,,,,,,,
Other Assets,977.06,976.2,1048.28,1084.31,1166.85,480.33,433.58,556.47,718.95,744.68
Total,1093.38,1131.15,1160.83,1212.36,1288.81,599.44,552.21,672.29,835.9,859.08
Receivables,174.29,178.4,136.33,97.74,110.05,167.64,142.25,182.16,219.35,267.91
Inventory,135.25,112.44,95.2,87.38,77.79,90.42,78.86,95,160.73,162.09
Cash & Bank,417,417.6,476.41,673.02,770.56,117.41,160.52,231.36,293.75,275.23
No. of Equity Shares,31568000,31568000,31568000,31568000,31568000,31568000,31568000,31568000,31568000,31568000
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-64.19,29.29,66.77,121.47,77.13,36.63,109.45,76.5,80.9,148.06
Cash from Investing Activity,30.82,-4.08,112.56,140.73,93.49,99.95,58.97,-1.33,-5.33,-5.1
Cash from Financing Activity,-22.63,-24.1,-23.03,-23.09,-23.09,-791.48,-125.06,-4.45,-13.05,-161.7
Net Cash Flow,-56,1.11,156.3,239.11,147.53,-654.91,43.35,70.72,62.52,-18.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,464.35,1015.15,647.5,773.15,654.95,624.95,617.6,682.95,1597.65,2618.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16
