COMPANY NAME,SCHNEIDER ELECTRIC INFRASTRUCTURE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,794.95,,,,,,,,,
Market Capitalization,19006.1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1215.65,1310.48,1402.61,1263.09,1313.98,1390.31,1384.41,1297.13,1530.34,1777.19
Raw Material Cost,906.42,963.42,1022.48,873.8,984,965.25,945.16,912.53,1065.52,1271.23
Change in Inventory,33.64,-12.09,14.48,-2.22,47.65,-35.8,-37.88,16.25,-15.9,62.69
Power and Fuel,6.71,6.75,7.58,8.12,7.73,7.97,6.87,6.49,8.56,8.06
Other Mfr. Exp,20.33,20.18,17.87,16.96,22.83,13.92,16.69,14.46,15.68,15.75
Employee Cost,143.51,151.98,168.43,172.9,184.84,199.99,209.77,185.09,210.72,236.11
Selling and admin,92.1,117.02,101.73,97.71,99.51,98.69,106.1,97.81,113.62,127.58
Other Expenses,164.14,62.36,57.36,217.08,81.72,38.34,35.01,33.24,14.23,13.3
Other Income,7.73,69.57,8.75,19.23,24.75,15.45,13.4,5.51,7.28,27.35
Depreciation,22.71,24.86,25.78,27.4,26.88,25.79,21.83,22.09,17.27,18.54
Interest,26.03,38.5,42.8,42.04,43.55,44.38,48.08,48.2,48.49,53.04
Profit before tax,-124.93,-17.11,-18.19,-175.91,-64.68,-24.37,-29.58,-1.02,27.63,123.62
Tax,,11.42,,,,,,,,
Net profit,-124.93,-28.54,-18.2,-175.91,-64.67,-24.37,-29.58,-1.01,27.62,123.62
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,301.67,600.46,340.02,371.48,420.81,574.38,410.51,495.25,495.81,743.87
Expenses,297.95,533.16,323.06,342.56,401.94,515.42,349.55,445.79,433.18,633.42
Other Income,3.47,1.98,0.48,13.13,8.32,2.7,3.34,2.32,-1.7,1.63
Depreciation,4.19,4.49,4.34,4.85,3.99,4.58,5.12,5.09,5.69,5.76
Interest,11.75,12.41,13.03,10.68,14.46,13.57,14.34,11.77,12.38,12.36
Profit before tax,-8.75,52.38,0.07,26.52,8.74,43.51,44.84,34.92,42.86,93.96
Tax,,,,,,,,,,2.99
Net profit,-8.74,52.38,0.07,26.52,8.74,43.52,44.84,34.92,42.86,90.97
Operating Profit,3.72,67.3,16.96,28.92,18.87,58.96,60.96,49.46,62.63,110.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,47.82,47.82,47.82,47.82,47.82,47.82,47.82,47.82,47.82,47.82
Reserves,65.76,37.22,19.02,66.59,-79.81,-108.95,-130.94,-128.8,-96.22,18.74
Borrowings,259.66,333.27,175.29,479.73,303.52,339.51,366.36,410.54,360.42,317.95
Other Liabilities,809.67,928.85,1047.85,680.17,1012.88,869.31,836.17,819.52,857.7,970.47
Total,1182.91,1347.16,1289.98,1274.31,1284.41,1147.69,1119.41,1149.08,1169.72,1354.98
Net Block,175.56,194.55,183.79,346.67,353.71,308.45,314.06,299.8,308.53,319.92
Capital Work in Progress,19.08,1.01,7.47,16.42,5.19,5.68,2.94,7.71,4.75,13.98
Investments,,,,,,,,,,
Other Assets,988.27,1151.6,1098.72,911.22,925.51,833.56,802.41,841.57,856.44,1021.08
Total,1182.91,1347.16,1289.98,1274.31,1284.41,1147.69,1119.41,1149.08,1169.72,1354.98
Receivables,607.37,690.94,667.93,477.85,397.07,413.75,421.1,426.39,454.04,545.93
Inventory,201.5,211.83,228.76,220.05,271.65,242.12,218.45,220.25,225.75,297.39
Cash & Bank,1.12,54.48,1.27,20.97,50.97,18.45,13.33,22.95,36.11,19.56
No. of Equity Shares,239104040,239104035,239104035,239104035,239104035,239104035,239104035,239104035,239104035,239104035
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,18.39,25.23,5.24,-134.71,156.32,-51.62,4.38,7.6,120.36,94.56
Cash from Investing Activity,-29.44,-28.5,-21.26,-30.81,-16.16,17.2,-11.5,-8.78,-25.42,-40.5
Cash from Financing Activity,7.78,56.63,-37.2,185.21,-110.16,1.9,2,10.8,-81.78,-70.61
Net Cash Flow,-3.27,53.36,-53.21,19.7,30,-32.52,-5.12,9.62,13.16,-16.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,86.3,217.3,146.05,141.9,111.4,112.3,65.7,94.4,118.55,155.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91
