COMPANY NAME,CAPRI GLOBAL CAPITAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,221.5,,,,,,,,,
Market Capitalization,18299.88,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,198.23,189.03,229,350.52,588.77,716.73,737.08,980.61,1463.98,2312.86
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.39,0.48,0.64,0.83,1.21,1.29,0.9,1.31,5.14,
Other Mfr. Exp,0.31,0.18,0.42,4.16,2.49,6.24,,19.08,26.54,
Employee Cost,26.51,32.95,54.82,81.57,118.21,119.4,100.15,175.39,407.23,623.69
Selling and admin,8.22,16.08,25.17,30.98,45.97,33.52,31.96,56.59,92.57,
Other Expenses,13.01,69.91,16.15,22.24,22.79,42.6,68.27,115.2,89.17,401.1
Other Income,7.84,1.54,6.08,0.56,2.53,2.46,0.04,1.05,0.91,1.34
Depreciation,3.83,3.48,4.3,6.22,6.64,10.78,10.51,9.88,43.91,87.87
Interest,4.7,11.85,38.04,96.84,207.3,283.37,289.62,331.59,532.04,835.9
Profit before tax,149.1,55.64,95.54,108.24,186.69,221.99,235.71,272.62,268.29,365.64
Tax,53.86,11.99,37.42,43.33,51.03,60.75,58.75,67.59,63.63,86.24
Net profit,95.24,43.65,58.12,64.9,135.66,161.23,176.96,205.04,204.65,279.41
Dividend Amount,5.25,5.25,5.25,5.25,6.31,3.5,8.76,8.78,10.31,12.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,255.94,291.41,279,345.59,384.8,454.51,501.08,557.21,605.41,648.63
Expenses,87.17,145.94,113.16,132.5,182.05,192.74,225,252.4,270.49,276.37
Other Income,2.89,5.31,0.63,0.83,0.04,0.16,0.07,0.2,0.51,0.57
Depreciation,3.38,3.71,3.35,6.82,14.6,19.15,15.58,23.15,25.28,23.87
Interest,82.22,91.56,102.13,126.49,139.95,164.34,176.69,195.84,220.92,242.45
Profit before tax,86.06,55.51,60.99,80.61,48.24,78.44,83.88,86.02,89.23,106.51
Tax,21.18,13.73,14.91,24.35,10.83,13.53,20.27,20.78,21.25,23.93
Net profit,64.89,41.77,46.08,56.26,37.42,64.9,63.61,65.24,67.98,82.59
Operating Profit,168.77,145.47,165.84,213.09,202.75,261.77,276.08,304.81,334.92,372.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,35.03,35.03,35.03,35.03,35.03,35.03,35.06,35.13,41.23,82.49
Reserves,1030.18,1067.5,1125.63,1216.62,1347.65,1504.16,1682.24,1887.34,3524.24,3754.08
Borrowings,50,141.17,727.86,1566.14,2768.71,2836.61,3773.59,4832.2,7511.28,10406.91
Other Liabilities,48.94,76.7,97.61,153.3,125.62,65.69,322.19,398.1,717.87,906.22
Total,1164.15,1320.4,1986.13,2971.09,4277.01,4441.49,5813.08,7152.77,11794.62,15149.7
Net Block,8.56,8.03,12.62,15.43,13.67,32.24,27.81,34.37,290.96,368.6
Capital Work in Progress,,,0.27,,0.14,0.36,0.07,2.32,17.33,0.08
Investments,117.27,110.49,68.08,55.61,9.33,360.73,807.45,377.48,215.04,216.23
Other Assets,1038.32,1201.88,1905.16,2900.05,4253.87,4048.16,4977.75,6738.6,11271.29,14564.79
Total,1164.15,1320.4,1986.13,2971.09,4277.01,4441.49,5813.08,7152.77,11794.62,15149.7
Receivables,26,8.12,0.73,0.99,8.63,0.91,1.51,9.33,32.23,136.69
Inventory,23.54,,,,,,,,,
Cash & Bank,34.69,18.13,11.41,48.33,169.11,74.2,224.25,353.12,1510.28,674.62
No. of Equity Shares,35026961,35026961,175134805,175134805,175134805,175134805,175285355,175654055,206152844,
New Bonus Shares,,,,,,,,,,
Face value,10,10,2,2,2,2,2,2,2,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,58.61,-72.76,-511.4,-856.6,-1115.23,209.96,-318.59,-1340.14,-2993.85,
Cash from Investing Activity,-87.86,2.34,45.56,40.13,40.55,-351.69,-465.35,316.55,52.09,
Cash from Financing Activity,43.88,69.42,459.95,834.77,1196.23,53.63,892.19,1175.51,4096.02,
Net Cash Flow,14.63,-1,-5.88,18.3,121.55,-88.1,108.25,151.92,1154.27,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,7.9,6.19,13.17,20.86,41.26,40.39,89.76,145.48,165.29,204.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,82.15,82.15,82.1,82.1,82.1,82.1,82.17,82.34,82.46,82.49
