COMPANY NAME,PG ELECTROPLAST LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1966.7,,,,,,,,,
Market Capitalization,5145.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,424.07,221.83,302.64,703.21,1111.64,2159.95
Raw Material Cost,,,,,370.16,193.61,265.24,553.33,913.12,1792.77
Change in Inventory,,,,,0.46,1.21,2.33,-3.19,29.08,28.26
Power and Fuel,,,,,4.08,5.23,,16.13,20.62,28.68
Other Mfr. Exp,,,,,10.44,5.73,,11.45,15.51,33.7
Employee Cost,,,,,8.77,11.64,15.87,55.08,77.94,122.94
Selling and admin,,,,,2.88,3.53,,11.1,17.78,24.67
Other Expenses,,,,,0.3,0.7,18.88,3.1,6.69,8.91
Other Income,,,,,2.97,3.97,6.58,1.74,5.22,3.88
Depreciation,,,,,2.07,4.51,9.23,18.01,22.11,34.95
Interest,,,,,5.66,10.64,11.12,18.44,23.13,47.93
Profit before tax,,,,,23.14,-8.58,-8.79,15.12,49.04,97.54
Tax,,,,,5.28,0.04,-3.8,3.5,11.63,20.07
Net profit,,,,,17.86,-8.62,-5,11.61,36.94,77.5
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,198.41,262,513.76,536.73,335.55,459.43,828.23,677.62,460.42,531.88
Expenses,185.56,245.46,463.78,500.35,308.7,422.36,752.5,611.82,422.86,489.92
Other Income,0.64,1.27,2.95,1.26,0.86,1.1,1.17,1.3,3.29,5.04
Depreciation,4.71,5.69,7.17,7.73,8.11,8.65,10.46,10.71,11.05,11.28
Interest,4.36,5.26,8.9,9.36,8.86,12.12,17.59,14.04,12.2,9.73
Profit before tax,4.42,6.86,36.86,20.55,10.74,17.4,48.85,42.35,17.6,25.99
Tax,0.78,1.31,9.22,4.14,3.56,3.67,8.69,8.55,5.21,6.75
Net profit,3.65,5.54,27.63,16.4,7.18,13.74,40.17,33.81,12.37,19.18
Operating Profit,12.85,16.54,49.98,36.38,26.85,37.07,75.73,65.8,37.56,41.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,10.67,16.41,16.41,19.69,21.22,22.74
Reserves,,,,,34.75,131.02,126.09,171.14,290.7,373.19
Borrowings,,,,,68.21,77.65,80.1,184.83,398.63,576.99
Other Liabilities,,,,,46.17,62.5,65.43,204.4,358.83,536.17
Total,,,,,159.8,287.58,288.03,580.06,1069.38,1509.09
Net Block,,,,,61.98,121.88,122.55,273.13,440.96,577.79
Capital Work in Progress,,,,,17.47,20.91,22.14,6.01,4.89,1.98
Investments,,,,,0.35,29.5,26.16,0.15,0.69,2.18
Other Assets,,,,,80,115.29,117.18,300.77,622.84,927.14
Total,,,,,159.8,287.58,288.03,580.06,1069.38,1509.09
Receivables,,,,,32.91,17.73,35.36,147.26,213.33,437.87
Inventory,,,,,16.66,23.88,27.86,93.29,286.89,354.31
Cash & Bank,,,,,6.03,11.86,4.57,17.41,39.18,39.63
No. of Equity Shares,,,,,10469332,16414332,16414332,19693916,21224866,22742617
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,23.13,-23.31,,57.3,-78.8,45.74
Cash from Investing Activity,,,,,-50.21,-96.55,,-43.74,-161,-172.97
Cash from Financing Activity,,,,,22.24,125.83,,-17.43,256.24,112.05
Net Cash Flow,,,,,-4.84,5.97,,-3.87,16.43,-15.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,207.85,82.2,406.95,731.1,1332.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,1.64,1.64,1.97,2.12,2.27
