COMPANY NAME,STATE BANK OF INDIA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,819.8,,,,,,,,,
Market Capitalization,732000.82,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,189062.44,207974.34,220632.75,230447.1,228970.28,253322.17,269851.66,278115.48,289972.69,350844.58
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,591.76,730.46,797.06,870.96,971.9,1057.77,1121.27,1116.5,1219.04,1305.59
Employee Cost,29874.91,31123.2,32533.31,35700.74,35417.16,43804.72,48861.7,54344.09,61457.96,61934.09
Selling and admin,8441.07,9333.86,9750.12,10596.89,12597.96,12823.59,13665.28,14050.25,15354.12,17241.04
Other Expenses,43289.82,55487.29,66904.29,98497.5,120077.51,108417.44,109260.45,123309.85,119317.73,123822.44
Other Income,37882.13,49315.17,52828.39,68193.17,77557.39,77365.19,98158.99,107222.41,117000.4,122533.56
Depreciation,1942.43,1581.49,2252.21,2914.68,3105.07,3495.89,3661.56,3711.06,3691.27,3695.6
Interest,121479.04,133178.64,143047.36,149114.67,146602.98,155867.46,161123.8,156010.17,156194.34,189980.82
Profit before tax,21325.54,25854.57,18176.79,944.83,-12244.91,5220.49,30316.59,32795.97,49738.63,75398.56
Tax,6836.07,8337.2,5433.5,1335.5,-8057.5,2151.41,12139.76,8516.25,13382.46,18840.13
Net profit,14173.78,16994.3,12224.6,241.23,-4556.29,2299.64,19767.8,22405.46,35373.88,55648.17
Dividend Amount,2239.71,2613,2018.33,2073.11,,,,3569.84,6336.47,10084.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,73029.13,73376.04,74607.57,76780.86,84462.87,91517.66,98083.19,101460.01,107390.78,112868.34
Expenses,42675.56,52015.21,54233.13,42328.03,49207.81,56497.58,59965.34,49080.2,59365.26,62634.87
Other Income,20695.73,31152.18,33427.11,17743.44,30319.61,35701.31,38769.2,30872.77,36865.34,33103.3
Depreciation,,,,,,,,,,
Interest,38638.14,39363.25,39943.86,41931.16,45232.19,49365.99,53451.48,58044.94,62955.15,68091.94
Profit before tax,12411.16,13149.76,13857.69,10265.11,20342.48,21355.4,23435.57,25207.64,21935.71,15244.83
Tax,3279.93,3457.8,3863.93,2736.86,5325.2,5685.75,5092.32,6471.69,5552.53,3962.17
Net profit,8889.84,9555,9549.13,7325.11,14752,15477.22,18093.84,18536.8,16099.58,11064.14
Operating Profit,30353.57,21360.83,20374.44,34452.83,35255.06,35020.08,38117.85,52379.81,48025.52,50233.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,746.57,746.57,776.28,797.35,892.46,892.46,892.46,892.46,892.46,892.46
Reserves,146623.96,160640.97,179816.09,216394.8,229429.49,233603.2,250167.66,274669.1,304695.58,358038.86
Borrowings,2062612.07,2297624.26,2615256.95,2936176.32,3091257.62,3354288.72,3607061.3,4149127.45,4536570.38,4989687.46
Other Liabilities,185573.42,240148.73,276472.16,288391.04,294859.6,299675.65,339364.31,420925.83,518719.42,605795.73
Total,2395556.02,2699160.53,3072321.48,3441759.51,3616439.17,3888460.03,4197485.73,4845614.84,5360877.84,5954414.51
Net Block,10222.51,12924.2,15415.21,51189.24,42034.79,39940.76,39608.41,41600.44,41032.49,45879.72
Capital Work in Progress,337.27,400.32,785.7,694.92,925.07,762.3,469.76,116.35,27.57,66.02
Investments,579401.26,673507.48,807374.58,1027280.87,1183794.24,1119269.82,1228284.28,1595100.27,1776489.9,1913107.86
Other Assets,1805594.98,2012328.53,2248745.99,2362594.48,2389685.07,2728487.15,2929123.28,3208797.78,3543327.88,3995360.91
Total,2395556.02,2699160.53,3072321.48,3441759.51,3616439.17,3888460.03,4197485.73,4845614.84,5360877.84,5954414.51
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,167161.34,188481.05,204559.47,273197.16,195289.11,225512.26,254315.26,347707.04,398905.12,318311.91
No. of Equity Shares,746573092,7465730920,7762777042,7973504442,8924587534,8924611534,8924611534,8924611534,8924611534,8924611534
New Bonus Shares,,,,,,,,,,
Face value,10,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,19141.68,26297.37,14476.68,77406,-96507.91,29556.01,23928.53,89918.93,57694.85,-86013.68
Cash from Investing Activity,-791.12,-3424.4,-2746.71,-4571.83,13052.7,219.51,-555.05,-3669.83,-2652.25,-965.91
Cash from Financing Activity,3583.06,-1553.27,4348.45,-4196.48,5547.16,447.64,5429.52,7142.67,-3844.51,6386.38
