COMPANY NAME,KESORAM INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,175.75,,,,,,,,,
Market Capitalization,5471.2,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2009-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,3881.53,3841.63,3873.17,2903.91,2645.64,2652.77,3605.88,3778.05,3986.88
Raw Material Cost,,1741.48,1270.1,1290.95,374.92,369.16,325.49,392.54,485.84,519.68
Change in Inventory,,87.96,-125.85,-26.2,-20.56,1.92,-33.38,14.43,55.71,26.78
Power and Fuel,,60.8,642.71,727.98,727.24,694.96,647.62,1138.85,1463.72,1436.3
Other Mfr. Exp,,723.03,141.88,154.26,133.73,122.28,909.64,1186.68,1190.1,
Employee Cost,,186.97,377.74,411.93,206.28,220.26,216.59,184.09,220.61,227.4
Selling and admin,,526.53,1146.37,1132.24,1051.93,939.46,111.95,170.34,167.22,1148.7
Other Expenses,,168.51,139.55,199.12,357.3,72.4,32.83,35.66,35.71,329.86
Other Income,,79.66,172.3,79.1,57.28,39.67,-148.45,14.09,-102.81,-0.56
Depreciation,,111.86,136.22,146.1,107.99,112.61,117.96,111.76,102.52,136.89
Interest,,120.87,283.47,443.05,356.51,343.63,275.8,501.69,450.03,488.5
Profit before tax,,409.1,-249.96,-579.56,-375.27,-187.53,-166.94,-87.21,-384.8,-274.23
Tax,,30.37,-7.87,-2,-11.95,,-307.05,-9.87,-190.53,109.86
Net profit,,378.73,-242.09,-577.56,-363.32,-187.53,140.11,-77.34,-194.27,-384.09
Dividend Amount,,25.16,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,876.01,1031.78,891.23,845.27,986.12,1055.43,998.87,953.8,960.65,1073.56
Expenses,765.64,934,860.75,793.15,906.42,947.17,894.29,884.72,858.9,997.25
Other Income,7.7,-12.34,25.97,15.09,-159.26,15.39,7.17,11.66,9.83,-29.22
Depreciation,28.03,28.15,27.11,24.96,106.74,25.84,31.26,32.49,33.13,40.01
Interest,127.85,123.69,110.68,109.64,24.61,122.97,115.72,119.15,129.75,123.88
Profit before tax,-37.81,-66.4,-81.34,-67.39,-210.91,-25.16,-35.23,-70.9,-51.3,-116.8
Tax,-5.84,-20.26,-20.09,-8.34,-162.93,0.97,-2.79,-12.53,-2.44,127.62
Net profit,-31.97,-46.14,-61.25,-59.05,-47.98,-26.13,-32.44,-58.37,-48.86,-244.42
Operating Profit,110.37,97.78,30.48,52.12,79.7,108.26,104.58,69.08,101.75,76.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2009-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,45.74,117.27,137.34,142.59,142.59,164.81,244.41,310.66,310.66
Reserves,,1299.83,680.39,307.41,-30.33,-239.84,32.67,266.2,162.53,-215.84
Borrowings,,2141.92,3297.24,4098.71,3186.56,2237.05,1961.97,1811.3,1902.48,2270.25
Other Liabilities,,834.55,1238.18,1573.5,1671.28,1071.99,1072.05,1111.07,1059.33,1011.05
Total,,4322.04,5333.08,6116.96,4970.1,3211.79,3231.5,3432.98,3435,3376.12
Net Block,,1873.91,2543.55,2890.07,2772.02,2166.78,2080.74,2004.83,1736.07,1728.34
Capital Work in Progress,,864.85,729.96,789.85,799.94,31.1,32.81,48.95,65.46,34.13
Investments,,49.18,71.22,720.02,81.6,69.51,77.42,73.84,82.23,80.35
Other Assets,,1534.1,1988.35,1717.02,1316.54,944.4,1040.53,1305.36,1551.24,1533.3
Total,,4322.04,5333.08,6116.96,4970.1,3211.79,3231.5,3432.98,3435,3376.12
Receivables,,380.17,526.68,572.92,586.78,196.86,304.93,320.26,372.13,468.1
Inventory,,589.06,466.56,458.01,351.51,162.22,137.21,180.43,232.08,286.59
Cash & Bank,,56.86,177.76,107.64,46.51,16.19,111.94,179.17,109.97,184
No. of Equity Shares,,45743318,117268650,137340079,142590079,142590079,164811341,244809096,310663663,
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2009-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,370.26,79.07,176.87,775.43,786.67,258.85,323.91,130.83,205.61
Cash from Investing Activity,,-1034.69,1694.42,-1136.81,353.98,-876.81,-150.41,-63.3,48.74,-16.4
Cash from Financing Activity,,680.75,-2116.96,662.06,-1822.66,-218.1,200.64,-224.36,-247.84,-148.45
Net Cash Flow,,16.32,-343.47,-297.88,-693.25,-308.24,309.08,36.25,-68.27,40.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,83.37,111.39,84.41,56.78,15.7,60.09,52.3,58.6,171.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,16.3,17.42,20.4,21.18,21.18,24.48,24.34,31.07,31.07
