COMPANY NAME,AARTI INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,665.15,,,,,,,,,
Market Capitalization,24113.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2618.63,2890.14,3006.48,3162.77,3805.63,4167.56,4186.18,4506.04,6085.51,6618.58
Raw Material Cost,1565.39,1624.55,1624.39,1567.25,2006.55,1907.03,1756.29,1854.73,2599.63,3195.54
Change in Inventory,62.05,-17.22,-49.3,31.62,105.89,59.4,-0.75,53.25,210.49,-65.7
Power and Fuel,167.02,186.98,99.77,110.09,119.72,114.66,126.73,145.36,131.89,160.83
Other Mfr. Exp,284.12,318.31,347.64,510.59,642.86,713.56,752.32,850.06,1064.42,1259.37
Employee Cost,78.76,93.65,120.7,152.28,190.14,242.82,305.22,371.38,356.96,385.33
Selling and admin,192,197.3,179.62,191.77,243.24,267.53,254.49,340.75,410.21,445.68
Other Expenses,-8.24,-13.56,12.65,8.91,9.5,16.27,13.05,15.48,12.78,17.16
Other Income,10.82,9.01,5.8,1.96,7.38,2.1,8.84,0.7,0.77,0.86
Depreciation,88.52,81.98,98.5,122.52,146.23,162.68,185.21,231.31,246.4,310.45
Interest,117.84,137.97,116.98,117.34,131.65,182.54,124.78,86.37,102.33,168.28
Profit before tax,206.09,254.75,362.73,415.6,429.01,621.97,676.18,664.55,1372.15,611.1
Tax,54.03,61.03,94.63,88.06,82.88,117.8,129.42,129.33,186.25,65.87
Net profit,162.44,205.88,256.88,315.78,332.96,491.73,536.08,523.47,1185.67,545.23
Dividend Amount,39.87,48.73,70.82,8.21,8.13,95.33,60.98,52.27,126.88,90.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1255.86,2076.17,1755.64,1610,1685,1667.68,1655,1414,1454,1732
Expenses,1000.99,1186.37,1416.53,1326,1418,1379,1403,1214,1221,1472
Other Income,0.51,0.08,0.17,,,0.28,,,,8
Depreciation,57.41,57.24,77.23,72,73,82.1,84,89,93,97
Interest,14.45,23.57,30.62,45,44,46.97,33,40,58,54
Profit before tax,183.52,809.07,231.43,167,150,159.89,135,71,82,117
Tax,33.57,83.72,37.68,31,26,23.36,-14,1,-9,-7
Net profit,150.01,725.3,193.73,136,124,136.53,149,70,91,124
Operating Profit,254.87,889.8,339.11,284,267,288.68,252,200,233,260
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,44.3,44.3,41.66,41.06,40.65,43.33,87.12,87.12,181.25,181.25
Reserves,826.46,972.11,1095.64,1321.41,1537.78,2587.44,2891.65,3415.78,4334.73,4738.83
Borrowings,1038.93,1202.25,1291.61,1563.85,2083.02,2401.08,2097.94,2856.96,2586.95,2907.31
Other Liabilities,760.44,719.16,537.57,572.73,730.01,826.09,1255.79,1281.82,747.76,753.51
Total,2670.13,2937.82,2966.48,3499.05,4391.46,5857.94,6332.5,7641.68,7850.69,8580.9
Net Block,826.23,966.93,1245.96,1697.02,1997.89,2146.67,2468.49,3592.58,3594.65,4860.95
Capital Work in Progress,117.44,192.97,313.01,269.52,436.23,794.57,1417.64,1297.91,1345.99,1096.22
Investments,117.24,139.2,41.26,46.96,47.22,33.16,37.01,63.52,28.29,17.17
Other Assets,1609.22,1638.72,1366.25,1485.55,1910.12,2883.54,2409.36,2687.67,2881.76,2606.56
Total,2670.13,2937.82,2966.48,3499.05,4391.46,5857.94,6332.5,7641.68,7850.69,8580.9
Receivables,443.2,438.98,523.4,524.67,654.75,776.04,753.44,793.73,1091.52,940.49
Inventory,606.12,551.73,495.19,571.41,747.3,771.79,835.68,935.68,934.12,1031.05
Cash & Bank,14.85,33.71,28.99,28.5,32.1,804.2,247.29,412.32,173.56,200.73
No. of Equity Shares,88591687,88591687,83320383,82120383,81300000,86668647,174234474,174234474,362504035,362504035
New Bonus Shares,,,,,,,87117237,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,315.01,339.5,573.58,470.07,334.9,736.2,1102.06,872.71,518.65,1309.8
Cash from Investing Activity,-290.83,-297.68,-451.95,-528.86,-610.38,-797,-1124.06,-1322.14,-1169.43,-1329.78
Cash from Financing Activity,-21.75,-22.96,-128.44,58.3,279.07,832.93,-534.91,614.46,412.02,47.15
Net Cash Flow,2.43,18.86,-6.81,-0.49,3.59,772.13,-556.91,165.03,-238.76,27.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,27.14,77.47,113.83,169.07,253.26,348.42,348.08,598.09,868.58,518.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
