COMPANY NAME,GMR AIRPORTS INFRASTRUCTURE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,78.55,,,,,,,,,
Market Capitalization,47424.12,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,10653.22,11087.68,8260.96,9556.82,8556.49,7410.8,8394.93,3566.01,4600.72,6693.4
Raw Material Cost,1105.71,1090.99,1000.25,1414.55,1918.53,1110.35,1265.3,93.72,144.94,234.76
Change in Inventory,14.42,20,2.59,6.86,0.07,-1.82,15.63,-16.55,-4.61,47.45
Power and Fuel,1966.76,2298.43,172.62,139.53,167.48,155.23,94.77,,,
Other Mfr. Exp,1287.93,3563.81,3350.78,3631.75,3083.25,2763.59,2901.73,460.41,812.64,2579.97
Employee Cost,575.82,621.61,508.34,597.33,691.76,761.55,834.79,692.2,756.11,970.63
Selling and admin,1045.77,717.96,215.95,230.9,410.82,458.85,564.88,410.05,541.38,923.57
Other Expenses,2129.19,260.24,2558.79,386.54,726.84,706.75,571.27,987.61,235.52,287.25
Other Income,2145.07,23.34,368.56,380.96,717.76,-1228.26,144.39,-1930.44,-341.15,915.02
Depreciation,1454.99,1812.53,1196.66,1018.65,1028.4,983.96,1064.25,886.12,889.4,1042.44
Interest,2971.88,3571.86,2196.49,2128,2316.34,2684.15,3545.07,1803,2018.66,2343.11
Profit before tax,274.66,-2806.41,-2567.77,397.39,-1069.1,-3443.71,-2287.11,-3714.09,-1143.69,-725.86
Tax,166.25,152.81,181.51,744.85,45.49,-87.42,-84.92,-286.32,-12.3,114.07
Net profit,10.01,-2733.29,-2712.5,-564.38,-1363.86,-3580.58,-2429.38,-2797.28,-1023.29,-179.26
Dividend Amount,38.92,4.36,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1126.1,1364.13,1283.6,1439.07,1583.55,1761.46,1889.72,2017.63,2063.5,2226.65
Expenses,629.56,648.66,749.45,1015.11,1115.41,1235.95,1635.26,1265.11,1337.39,1558.07
Other Income,130.58,-483.45,82.2,222.92,179.99,457.11,117.55,250.74,184.07,116.32
Depreciation,210.69,214.43,259.84,217.97,253.65,265.99,300.53,295.6,373,392.51
Interest,519.47,524.01,527.8,515.87,560.16,589.98,672.14,593.83,672.67,857.2
Profit before tax,-103.04,-506.42,-171.29,-86.96,-165.68,126.65,-600.66,113.83,-135.49,-464.81
Tax,66.17,8.92,-42.34,26.03,29.34,21.83,36.08,96.99,54.86,21.59
Net profit,-3.61,-626.3,-141.28,-136.98,-195.02,191.36,-441.47,16.84,-91.03,-317.46
Operating Profit,496.54,715.47,534.15,423.96,468.14,525.51,254.46,752.52,726.11,668.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,389.24,436.13,603.59,603.59,603.59,603.59,603.59,603.59,603.59,603.59
Reserves,6095.18,5195.43,4387.26,4738.69,2841.6,-1056.72,-3062.28,-2321.72,-1421.41,-1396.37
Borrowings,45040.73,47807.93,39444.3,21483.96,23062.69,27574.66,34435.79,36858.02,26632.71,32157.06
Other Liabilities,13572.13,13354.03,14707.68,10025.97,11390.18,12953.95,14324.66,14703.25,11272.44,12556.72
Total,65097.28,66793.52,59142.83,36852.21,37898.06,40075.48,46301.76,49843.14,37087.33,43921
Net Block,33639.26,34182.75,34513.4,15773.45,15643.47,16079.82,16177.5,12772.3,10325.21,15157.31
Capital Work in Progress,15733.84,17247.44,2154.73,239.2,589.05,858.28,3811.47,6621.92,10176.18,11174.58
Investments,879.57,1412.68,6545.17,12422.23,12870.88,10115.41,10119.26,9673.86,3798.41,4478.09
Other Assets,14844.61,13950.65,15929.53,8417.33,8794.66,13021.97,16193.53,20775.06,12787.53,13111.02
Total,65097.28,66793.52,59142.83,36852.21,37898.06,40075.48,46301.76,49843.14,37087.33,43921
Receivables,1600.14,1624.27,1530.6,1736.74,1769.65,1447.37,1423.84,1145.58,375.53,368.93
Inventory,358.92,304.85,224.37,129.16,104.19,112.57,190.53,174.56,92.39,134.73
Cash & Bank,3321.19,3904.04,2544.26,1771.08,1979.07,1629.65,4448.77,6413.27,3115.83,4020.67
No. of Equity Shares,3892430300,4361251879,6035945275,6035945275,6035945275,6035945275,6035945275,6035945275,6035945275,6035945275
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,2590.06,2914.82,3497.85,4504.31,2347.21,2052.27,1375.85,3.43,3256.11,2299.23
Cash from Investing Activity,-5512.42,-3159.33,-1660.26,1485.46,-962.04,-3604.63,-987.31,2434.28,-2042.84,-2410.25
