COMPANY NAME,OPTIEMUS INFRACOM LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,259.1,,,,,,,,,
Market Capitalization,2222.88,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4105.92,2569.75,1921.82,1537.7,714.01,1172.93,333.26,181.5,471.63,1173.88
Raw Material Cost,3852.53,2255.14,1730.1,1467.58,463.64,1020.29,268.81,169.07,447.02,1130.11
Change in Inventory,54.8,-81.21,-33.07,57.66,-74,-44.66,-45.76,1.89,-1.1,87.14
Power and Fuel,1.57,2.79,2.4,4.69,4.57,5.76,0.74,0.46,1.32,3.54
Other Mfr. Exp,128.31,66.99,25.38,22.04,43.75,30.02,7.49,1.39,2.3,2.64
Employee Cost,20.87,24.47,23.49,34,34.27,57.74,14.39,5.95,8.78,41.02
Selling and admin,23.6,29.69,25.27,16.63,33.55,43.24,14.18,15.92,12.06,13.06
Other Expenses,13.64,0.9,2.17,5.21,5.95,31.85,73.14,88.6,18.87,52.77
Other Income,6.55,7.54,9.24,29.03,14.67,63.12,16.63,205.97,35.91,54.05
Depreciation,12.51,32.85,23.49,19.11,15.86,17.2,10.07,4.57,6.31,12.97
Interest,38.98,40.25,42.82,44.12,33.1,42.37,8.04,6.39,5.09,5.83
Profit before tax,75.26,43,22.87,11.01,19.99,-57.08,-92.73,97.01,4.69,53.13
Tax,26.59,15.54,9.93,4.27,6.13,2.32,-7.88,2.44,5.61,11.26
Net profit,48.67,27.46,12.94,6.74,13.86,-59.4,-84.85,94.57,-0.92,41.88
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,95.98,132.87,194.5,205.83,300.87,326.68,340.5,281.58,274.34,481.7
Expenses,95.52,135.87,211.45,206.3,292.52,311.83,345.6,268.16,261.78,459.71
Other Income,2.57,1.46,29.44,9.27,8.01,2.89,34.11,3.71,2.83,2.85
Depreciation,0.82,1.1,4.38,1.54,5.01,2.69,3.73,3.89,4.08,4.03
Interest,1.09,0.86,2.22,1.07,1.19,1.98,1.57,1.27,2.06,1.71
Profit before tax,1.12,-3.5,5.89,6.19,10.16,13.07,23.71,11.97,9.25,19.1
Tax,-0.95,-0.99,3.06,1.22,3.06,0.5,6.49,2.57,3.85,1.17
Net profit,2.07,-2.49,2.83,4.98,7.1,12.57,17.22,9.39,5.4,17.93
Operating Profit,0.46,-3,-16.95,-0.47,8.35,14.85,-5.1,13.42,12.56,21.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,85.81,85.81,85.81,85.81,85.81,85.81,85.81,85.81,85.81,85.86
Reserves,134.01,160.66,161.51,206.84,224.82,235.43,149.88,245.08,244.29,296.61
Borrowings,400.59,335.5,255.43,336.77,397.39,263.2,238.52,102.37,43.2,117.77
Other Liabilities,255.14,339.08,171.51,425.41,298.11,270.65,101.06,59.92,192.88,410.73
Total,875.55,921.05,674.26,1054.83,1006.13,855.09,575.27,493.18,566.18,910.97
Net Block,228.09,205.2,181.43,180.91,226.04,159.17,146.88,17.44,112.53,210.33
Capital Work in Progress,,,3.82,,,1,2.03,3.47,2.25,2.61
Investments,5.87,4.11,5.09,16.72,9.3,56.18,35.16,43.25,42.38,44.6
Other Assets,641.59,711.74,483.92,857.2,770.79,638.74,391.2,429.02,409.02,653.43
Total,875.55,921.05,674.26,1054.83,1006.13,855.09,575.27,493.18,566.18,910.97
Receivables,280.58,421.32,224.11,283.7,204.32,348.15,192.09,149.66,255.77,372.7
Inventory,123.86,42.65,9.58,120.51,156.55,61.18,8.17,6.65,6.6,114.89
Cash & Bank,119.32,118.18,120.43,122.85,101.56,32.8,25.89,42.22,31.26,17.81
No. of Equity Shares,85814191,85814191,85814191,85814191,85814191,85814191,85814191,85814191,85814191,85857191
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-0.65,106.57,123.67,90.51,-26.42,73.31,43.57,-55.64,27.68,1.16
Cash from Investing Activity,-68.49,-2.38,26.23,-61.59,105.68,56.63,-7.13,222.58,23.9,-82.07
Cash from Financing Activity,116.5,-105.33,-120.13,-7.9,-102.49,-176.72,-46.81,-135.72,-64.26,69.91
Net Cash Flow,47.36,-1.14,29.77,21.02,-23.23,-46.78,-10.37,31.22,-12.68,-11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,16.3,27.7,48.35,61.3,241.35,92,15.95,121.05,319.45,205.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
