COMPANY NAME,GARWARE HI TECH FILMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1570.25,,,,,,,,,
Market Capitalization,3640.7,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,843.2,896,857.35,874.11,833.34,947.89,924.83,989.03,1302.63,1438.01
Raw Material Cost,535.42,537.02,455.7,437.61,395.97,441.63,395.75,366.46,597.71,648.36
Change in Inventory,28.71,-3.48,6.53,-20.83,-26.72,-2.97,13.81,12.68,67.92,-16.43
Power and Fuel,87.07,88.97,83.33,78.41,69.77,84.2,86.15,81.72,106.24,127.16
Other Mfr. Exp,58.14,67.89,86.61,105.74,105.38,114.06,117.46,128.13,165.34,163.9
Employee Cost,59.34,67.65,79.12,76.36,75.75,80.25,93.74,107.71,122.97,121.98
Selling and admin,44.1,52.78,59.03,61.88,59.67,61.96,61.19,76.81,116.72,112.47
Other Expenses,18.95,18.54,19.03,20.5,16.74,18.75,22.7,22.11,23.51,20.52
Other Income,15.94,26.89,6.07,7.73,5.16,9,11.82,14.88,39.43,42.16
Depreciation,33.53,15.2,16.96,13.82,13.63,13.85,20.29,23.97,28.19,32.41
Interest,37.42,44.13,43.52,33.12,25.03,19.34,18.46,19.59,18.24,16.99
Profit before tax,13.88,27.23,26.65,33.57,49.84,119.88,134.72,190.09,231.06,219.95
Tax,3.59,9.41,10.15,11.14,16.71,38.24,48.7,64.13,63.89,53.81
Net profit,10.29,17.81,16.5,22.44,33.12,81.65,86.02,125.95,167.18,166.14
Dividend Amount,,,,2.32,4.65,23.23,23.23,23.23,23.23,23.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,339.62,333.9,323.51,369.87,394.77,324.36,349.01,379.71,397.11,453.62
Expenses,280.45,269.23,268.34,307.68,327.98,279.38,295.78,315.88,332.24,378.52
Other Income,9.72,7.5,15.4,8.5,9.04,7.49,17.13,8.9,9.16,9.49
Depreciation,7.07,7.25,7.2,7.27,7.63,7.95,9.56,9.84,9.72,9.75
Interest,4.65,4.63,4.57,4.26,4.05,4.03,4.65,4.33,3.65,1.88
Profit before tax,57.17,60.29,58.8,59.16,64.15,40.49,56.15,58.56,60.66,72.96
Tax,13.83,17.4,13.68,14.62,16.02,10.09,13.08,14.87,14.75,17.08
Net profit,43.34,42.89,45.12,44.54,48.13,30.4,43.07,43.69,45.91,55.88
Operating Profit,59.17,64.67,55.17,62.19,66.79,44.98,53.23,63.83,64.87,75.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,23.25,23.25,23.25,23.23,23.23,23.23,23.23,23.23,23.23,23.23
Reserves,530.21,545.46,562.22,1230.58,1268.64,1348.94,1380.49,1540.32,1687.65,1832.59
Borrowings,385.33,367.91,315.04,311.71,171.47,149.39,147.12,137.53,182.45,140.79
Other Liabilities,150.57,105.27,119.46,87.47,106.69,124.77,128.19,167.27,239.85,217.73
Total,1089.36,1041.89,1019.97,1652.99,1570.03,1646.33,1679.03,1868.35,2133.18,2214.34
Net Block,561.85,649.11,647.68,1230.66,1226.09,1238.14,1279.28,1329.2,1340.64,1467.24
Capital Work in Progress,86.19,10.7,5.18,8.16,9.73,10.59,20.08,10.98,95.92,10.4
Investments,0.73,0.73,0.73,28.57,35.84,120.19,115.79,225.95,274.07,392.7
Other Assets,440.59,381.35,366.38,385.6,298.37,277.41,263.88,302.22,422.55,344
Total,1089.36,1041.89,1019.97,1652.99,1570.03,1646.33,1679.03,1868.35,2133.18,2214.34
Receivables,57.91,48.44,40.36,61.99,38.62,56.28,52.35,42.02,33.26,29.95
Inventory,148.89,137.18,136.07,112.56,94.98,85.43,104.51,124.11,210.33,198.85
Cash & Bank,95.71,60.01,60.21,85.9,45.8,42.73,32.01,69.79,108.22,70.45
No. of Equity Shares,23315150,23315150,23315150,23232394,23232394,23232394,23232394,23232394,23232394,23232394
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,21.84,90.7,101.18,77.47,134.28,141.35,99.04,199.28,172.25,217.96
Cash from Investing Activity,-77.95,-19.84,-4.77,-12.36,-5.29,-100.55,-43.8,-125.79,-141.28,-167.9
Cash from Financing Activity,49.65,-106.57,-96.2,-40.09,-171.71,-48.71,-64.1,-35.8,5.81,-89.39
Net Cash Flow,-6.46,-35.71,0.21,25.02,-42.72,-7.9,-8.86,37.69,36.78,-39.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,63.1,102.1,93.55,123.4,153.4,217.7,165.4,699.5,698.3,526.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
