COMPANY NAME,JSW ENERGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,530.95,,,,,,,,,
Market Capitalization,92814.42,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,9347.09,9824.49,8263.43,8048.96,9137.59,8272.71,6922.2,8167.15,10331.81,11485.91
Raw Material Cost,,,,,,,,,,124.79
Change in Inventory,,,,,,,,,,-0.63
Power and Fuel,4968.75,4993.91,4122.73,4472.39,5496.18,4550.13,3349.96,3571.5,5644.05,4581.6
Other Mfr. Exp,451.33,384.32,334.03,257.06,229.12,232.69,196.9,399.61,737.09,
Employee Cost,146.92,183.81,211.77,215.09,243.58,242.96,236.63,264.15,307.6,364.47
Selling and admin,128.35,131.71,95.17,109.89,114.16,151.77,133.39,165.01,235.15,
Other Expenses,28.1,101.97,175.25,281.13,199.56,-431.91,92.46,195.25,125.93,1032.64
Other Income,195.65,340.12,220.94,46.73,398.03,376.48,248.32,574.6,674.38,471.94
Depreciation,789.76,854.25,969.15,966.08,1163.69,1738.26,1166.94,1131.05,1169.23,1633.41
Interest,1137.46,1498.11,1684.75,1455.91,1192.4,1051.07,895.65,776.91,844.3,2053.4
Profit before tax,1892.07,2016.53,891.52,338.14,896.93,1114.22,1098.59,2238.27,1942.84,2166.91
Tax,514.99,556.26,269.01,253.23,212.44,33.04,275.91,494.79,462.72,442.26
Net profit,1349.51,1447.36,629.03,77.97,695.13,1099.92,795.48,1728.62,1477.76,1722.71
Dividend Amount,328.01,325.36,81.4,,164.09,164.19,328.47,327.93,328.11,328.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1905.16,2440.68,3026.27,2387.48,2248.09,2669.97,2927.85,3259.42,2542.77,2755.87
Expenses,1102.32,1308.95,2004.26,1497.9,1623.16,1930.68,1705.77,1379.04,1431.98,1587.34
Other Income,81.29,214.88,212.4,213.73,118.68,135.75,87.49,133.86,120.26,130.33
Depreciation,281.21,277.15,288.53,294.18,295.18,291.34,397.94,408.68,400.06,426.73
Interest,195.43,100.48,193.1,204.45,213.7,233.05,485.67,513.7,520.82,533.21
Profit before tax,407.49,968.98,752.78,604.68,234.73,350.65,425.96,1091.86,310.17,338.92
Tax,86.67,91.54,198,148.11,47.99,68.62,135.61,235.07,77.93,-6.35
Net profit,323.93,864.35,560.43,465.67,179.61,272.05,289.88,850.16,231.33,351.34
Operating Profit,802.84,1131.73,1022.01,889.58,624.93,739.29,1222.08,1880.38,1110.79,1168.53
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1640.05,1626.79,1627.95,1640.05,1640.87,1641.9,1642.33,1639.67,1640.54,1641.22
Reserves,5877.97,8077.34,8740.51,9469.65,10181.37,10003.72,12864.67,15775.23,16988.27,19190.52
Borrowings,9294.1,14862.24,14349.27,11883.26,10554.88,9840.48,8371.24,8942.57,25051.07,31572.97
Other Liabilities,2607.88,3972.51,3671.61,3727.97,3548.96,3445.21,3328.33,4156.79,4737.38,5864.39
Total,19420,28538.88,28389.34,26720.93,25926.08,24931.31,26206.57,30514.26,48417.26,58269.1
Net Block,13190.68,20297.83,19490.59,18877.39,17824.54,16712.75,15636.76,14830.64,25029.18,28948.99
Capital Work in Progress,453.58,320.61,530.74,293.53,399.97,391.32,472.77,2090.6,4779.5,10282.3
Investments,1618.84,1012.27,1578.82,2415,2450.53,1853.55,4052.15,6623.17,6032.77,7034.86
Other Assets,4156.9,6908.17,6789.19,5135.01,5251.04,5973.69,6044.89,6969.85,12575.81,12002.95
Total,19420,28538.88,28389.34,26720.93,25926.08,24931.31,26206.57,30514.26,48417.26,58269.1
Receivables,1172.29,2906.34,2182.75,1151.22,1427.75,1565.2,964.46,670.22,1531.92,844.2
Inventory,548.26,635.83,592.9,535.54,454.73,639.58,395.08,901.02,987.08,830.67
Cash & Bank,351.45,357.43,784.3,311.03,203.57,200.73,479.18,1134.11,4013.88,4206.6
No. of Equity Shares,1640054795,1640054795,1627953191,1640054795,1640867512,1641902316,1642329255,1639670910,1640536238,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,3394.29,3537.62,3852.64,3933.81,2491.34,2085.54,3699.86,2952.03,2084.27,6233.63
Cash from Investing Activity,-422.2,-3271.9,-762.05,-214.73,-54.83,300.38,-1029.8,-1386.67,-6778.13,-8317.73
Cash from Financing Activity,-2327.22,-1622.42,-2594.92,-3967.59,-2523.18,-1964.59,-2514.75,-781.31,7327.48,1674.83
Net Cash Flow,644.87,-1356.7,495.67,-248.51,-86.67,421.33,155.31,784.05,2633.62,-409.27
,,,,,,,,,,
