COMPANY NAME,DIXON TECHNOLOGIES (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,8268.6,,,,,,,,,
Market Capitalization,49475.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1093.72,1201.34,1389.42,2457.03,2841.63,2984.45,4400.12,6448.17,10697.08,12192.01
Raw Material Cost,995.45,1095.29,1228.44,2205.61,2545.36,2594.61,3913.34,5753.41,9889.66,11015.17
Change in Inventory,-0.7,10.88,16.13,25.53,34.98,-14.66,53.14,-16.31,110.42,-5.57
Power and Fuel,6.18,6.83,8.68,10.97,14.47,18.38,22.2,26.39,40.41,47.33
Other Mfr. Exp,22.5,28.24,35.95,76.38,96.65,90.4,119.35,149.64,207.65,246.31
Employee Cost,32.27,36.86,54.96,63.91,72.75,83.87,117.96,137.2,198.07,251.94
Selling and admin,4.26,4.27,7.67,20.27,18.72,24.82,22.98,36.89,45.57,50.32
Other Expenses,5.96,8.72,20.53,13.64,15.78,21.55,29.6,36.13,41.84,55.92
Other Income,8.39,1.99,22.83,0.86,3.98,5.63,4.9,1.25,3.76,4.03
Depreciation,5.34,6.9,8.44,10.71,15.18,21.65,36.53,43.72,83.95,114.63
Interest,11.23,9.85,13.11,15.54,13.45,26.32,39.44,32.72,49.4,64.07
Profit before tax,18.22,17.25,50.6,66.39,88.23,93.82,156.76,217.01,254.71,344.78
Tax,3.51,4.22,8.03,18.82,27.33,30.46,36.27,57.21,64.38,89.7
Net profit,13.51,11.86,42.57,47.57,60.9,63.36,120.5,159.8,190.17,255.52
Dividend Amount,0.31,0.31,3.88,6.59,2.27,2.27,4.63,5.86,11.87,17.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2803.78,3073.25,2952.75,2855.07,3866.77,2404.72,3065.45,3271.5,4943.18,4818.25
Expenses,2693.77,2970.25,2834.61,2755.03,3722.18,2293.57,2909.16,3139.63,4744.27,4633.86
Other Income,0.95,0.67,1.82,0.42,0.55,3.51,3.4,5.88,3.19,4.25
Depreciation,21.6,28.19,19.13,24.06,29.11,29.01,32.46,33.71,36.44,40.7
Interest,9.13,11.99,13.94,14.43,15.83,15.17,15.14,14,17.12,22.2
Profit before tax,80.23,63.49,86.89,61.97,100.2,70.48,112.09,90.04,148.54,125.74
Tax,17.59,17.11,23.76,16.54,23.08,18.59,31.48,22.85,35.18,28.67
Net profit,62.64,46.38,62.97,45.7,77.25,51.91,80.63,68.82,107.32,96.44
Operating Profit,110.01,103,118.14,100.04,144.59,111.15,156.29,131.87,198.91,184.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,3.1,3.1,3.1,10.99,11.33,11.33,11.57,11.71,11.87,11.91
Reserves,70.51,81.75,119.71,186.08,303.65,366.89,529.76,725.59,984.91,1273
Borrowings,93.59,82.28,79.6,42.95,44.63,141.24,86.67,294.53,666.9,444.27
Other Liabilities,124.05,157.22,214.81,548.65,605.93,971.39,1068.96,1813.83,2613.49,2950.25
Total,291.25,324.35,417.22,788.67,965.54,1490.85,1696.96,2845.66,4277.17,4679.43
Net Block,84.22,97.01,123.59,136.56,179.05,240.94,414.08,550.23,1003.29,1243.64
Capital Work in Progress,,,0.01,1.96,15.94,18.77,9.55,72.39,22.39,119.7
Investments,6.32,6.03,0.1,,11.12,7.61,,95.25,140.96,44.15
Other Assets,200.71,221.31,293.52,650.15,759.43,1223.53,1273.33,2127.79,3110.53,3271.94
Total,291.25,324.35,417.22,788.67,965.54,1490.85,1696.96,2845.66,4277.17,4679.43
Receivables,46.39,54.39,87.61,280.21,298.5,516.74,515.12,1089.06,1356.35,1715.45
Inventory,93.33,113.03,136.28,282.2,322.34,408.36,497.84,743.25,1155.69,957.87
Cash & Bank,4.63,6.89,7.46,15.33,44.12,36.72,100.16,68.88,182.34,229.18
No. of Equity Shares,3103157,3103157,3103157,10985341,11325091,11325091,11570141,58569355,59341935,59560165
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,10.4,44.5,42.25,52.88,67.88,-3.06,237.34,170.11,272.76,725.75
Cash from Investing Activity,1.24,-22.27,-21.61,-43.42,-99.72,-63.79,-98.75,-265.4,-464.46,-355.55
Cash from Financing Activity,-12.76,-22.27,-20.06,-8.42,41.79,68.62,-57.36,63.47,304.32,-329.62
Net Cash Flow,-1.12,-0.04,0.59,1.04,9.95,1.76,81.23,-31.82,112.62,40.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,658.21,470.2,715.97,3672.15,4308.8,2861.3
,,,,,,,,,,
