COMPANY NAME,INDIABULLS REAL ESTATE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,118.3,,,,,,,,,
Market Capitalization,6408.02,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2641.13,2959.45,2320.34,4502.67,4943.89,3270.78,1521.42,1444.78,586.77,413.8
Raw Material Cost,,,,,,,,,,
Change in Inventory,1329.64,100.27,-261.52,117.06,-1512.32,-509.88,-870.22,,,
Power and Fuel,0.9,6.49,6.86,4.94,2.51,1.03,0.37,0.07,0.02,
Other Mfr. Exp,3103.03,1821.43,1014.48,582.3,2036.87,1348.83,246.2,1199.63,643.58,
Employee Cost,60.53,114.69,116.35,128.35,138.71,114.22,52.54,77.49,105.12,73.19
Selling and admin,190.82,180.43,175.22,275.43,145.29,100.79,75.72,53.02,59.22,
Other Expenses,4.14,38.97,92.68,322.76,61.05,396.84,96.3,115.62,134.51,768.72
Other Income,95.37,137.18,518.3,229.18,278.4,90.4,140.26,96.15,-167.22,-574.12
Depreciation,19.68,69.48,71.43,96.51,17.45,30.76,17.25,12.15,12.13,11.32
Interest,336.05,501.1,560.81,744.23,464.32,481.16,227.89,109.94,27.64,9.24
Profit before tax,350.99,464.31,539.29,2694.39,843.77,377.67,75.19,-26.99,-562.67,-1022.79
Tax,79.53,141.84,182.62,334.83,339.46,256.57,70.47,110.29,44.92,15.56
Net profit,248.08,296.06,396.89,2372.85,504.15,120.69,4.3,-136.72,-608.38,-1038.65
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,322.82,252.93,151.54,194.09,133,108.14,195.87,96.36,100.55,21.02
Expenses,379.29,261,188.01,103.04,378.45,463.1,253.51,119.35,133.65,335.4
Other Income,32.77,19.57,12.65,8.81,15.47,-14.02,-615.84,11.9,11.3,18.52
Depreciation,2.86,3.47,3.15,3.07,3.02,2.9,2.74,2.78,2.9,2.9
Interest,28.87,24.42,17.16,6.33,3.47,0.68,0.82,2.51,3.63,2.28
Profit before tax,-55.43,-16.39,-44.13,90.46,-236.47,-372.56,-677.04,-16.38,-28.33,-301.04
Tax,31.62,44.36,7.64,33.73,0.31,3.22,2.3,1.85,10.17,1.24
Net profit,-87.22,-59.81,-51.96,56.55,-236.99,-375.99,-679.55,-18.43,-38.65,-302.02
Operating Profit,-56.47,-8.07,-36.47,91.05,-245.45,-354.96,-57.64,-22.99,-33.1,-314.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,85,92.34,87.18,94.93,90.14,90.93,90.31,90.6,108.22,108.22
Reserves,7085.29,3608.8,3955.81,2850.12,2859.98,3467.02,3391.94,3324.25,3547.45,2645.19
Borrowings,6543.8,8902.61,9409.56,6599.69,5984.36,2737.1,1223.21,1328.91,267.99,306.57
Other Liabilities,3129.74,5518.18,5115.06,10535.2,7257.34,4991.6,4051.27,3007.02,2583.77,2787.42
Total,16843.83,18121.93,18567.61,20079.94,16191.82,11286.65,8756.73,7750.78,6507.43,5847.4
Net Block,112.22,111.67,3787.02,951.88,189.19,135.26,85.97,96.46,82.83,72.21
Capital Work in Progress,126.71,0.03,0.96,,,,,,,
Investments,5828.82,2989.42,875.22,3858.67,2568.15,131.87,145.1,269.31,157.27,157.73
Other Assets,10776.08,15020.81,13904.41,15269.39,13434.48,11019.52,8525.66,7385.01,6267.33,5617.46
Total,16843.83,18121.93,18567.61,20079.94,16191.82,11286.65,8756.73,7750.78,6507.43,5847.4
Receivables,159.4,3306.72,3824.23,14.33,269.68,80.15,300.19,273.42,76.02,62.93
Inventory,6014.1,8090.15,7828.62,11361.18,9848.86,7056.35,6186.13,5521.06,4821.83,4783.25
Cash & Bank,669.43,1343.5,550.02,1793.95,737.8,375.24,197.16,120.66,137.47,128.76
No. of Equity Shares,424977739,461677500,478414500,474674139,450680289,454663876,451538712,452990732,541075331,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-2829.81,972.66,639.37,-890.55,-1159.3,-431.89,853.44,-247.72,-342.87,-97.28
Cash from Investing Activity,-81.29,235.25,-540.61,154.72,1784,1767.53,970.82,280.37,660.67,95.59
Cash from Financing Activity,3314.57,-694.76,-833.7,2057.3,-1695.36,-1890.38,-1791.27,-63.81,-331.06,-8.46
Net Cash Flow,403.47,513.15,-734.94,1321.48,-1070.66,-554.74,32.99,-31.16,-13.26,-10.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,65.4,56.2,87.5,181.45,92.2,40.85,81.1,101.4,48.9,115.95
,,,,,,,,,,
