COMPANY NAME,JUST DIAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1005.9,,,,,,,,,
Market Capitalization,8554.2,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,589.8,667.66,718.61,781.77,891.5,953.11,675.18,646.95,844.76,1042.91
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,10.04,10.64,12.05,10.89,10.8,10.87,7.32,8.1,10.47,
Other Mfr. Exp,18.22,14.85,29.67,15.42,13.31,11.59,10.43,17.44,13.05,
Employee Cost,308.84,379.98,441,441.9,497.5,533.39,443.65,504.57,651.44,719.77
Selling and admin,85.91,111.84,121.85,144.68,135.27,112.3,48.15,106.49,70.57,
Other Expenses,0.79,6.12,4.43,4.42,5.64,12.04,10.78,12.51,13.48,106.58
Other Income,48.55,80.03,87.03,65.84,92.96,139.71,149.52,122.16,141.91,305.46
Depreciation,24.1,31.1,40.14,36.42,33.65,52.07,42.33,29.87,32.16,46.17
Interest,,,,,0.13,8.91,7.4,6.84,7.67,9.28
Profit before tax,190.45,193.16,156.5,193.88,288.16,351.65,254.64,83.29,187.83,466.57
Tax,51.6,50.39,35.14,50.68,81.31,79.34,40.48,12.46,25.11,103.64
Net profit,138.84,142.77,121.36,143.2,206.85,272.31,214.16,70.83,162.72,362.93
Dividend Amount,14.1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,158.89,166.67,185.6,205.26,221.37,232.53,246.98,260.61,265.05,270.27
Expenses,153.68,172.8,177.21,188.27,194.2,199.33,210.29,211.84,204.68,199.54
Other Income,28.55,35.23,-59.99,56.5,71.24,74.16,81.4,57.92,74.85,91.29
Depreciation,7.27,6.93,6.98,7.71,8.47,9,10.04,12.21,12.12,11.8
Interest,2.1,1.67,1.26,1.55,2.25,2.61,1.94,2.39,2.17,2.78
Profit before tax,24.39,20.5,-59.84,64.23,87.69,95.75,106.11,92.09,120.93,147.44
Tax,5,-1.55,-11.48,12.07,12.37,12.15,22.71,20.31,28.92,31.7
Net profit,19.39,22.05,-48.36,52.16,75.32,83.6,83.4,71.78,92.01,115.74
Operating Profit,5.21,-6.13,8.39,16.99,27.17,33.2,36.69,48.77,60.37,70.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,70.49,69.47,69.54,67.39,64.76,64.91,61.88,83.61,84.32,85.04
Reserves,602.86,670.02,835.76,911.95,934.05,1222.82,1202.4,3402.59,3582.76,3938.46
Borrowings,,,,,4.2,76.42,62.97,55.33,68.38,85.31
Other Liabilities,291.17,308.66,360.1,430.8,545.85,468.05,459.21,491.37,601.12,752.16
Total,964.52,1048.15,1265.4,1410.14,1548.86,1832.2,1786.46,4032.9,4336.58,4860.97
Net Block,92.15,138.82,156.07,148.9,126.15,172.42,137.78,133.55,152.14,146.59
Capital Work in Progress,,8.59,8.59,,5.94,,,,30.16,
Investments,772.17,795.29,964.25,1142.64,1290.63,1552.25,1511.3,3797.57,4051.24,4607.68
Other Assets,100.2,105.45,136.49,118.6,126.14,107.53,137.38,101.78,103.04,106.7
Total,964.52,1048.15,1265.4,1410.14,1548.86,1832.2,1786.46,4032.9,4336.58,4860.97
Receivables,0.08,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,42.22,33.67,52.64,57.67,40.62,39.66,61.53,23.3,15.56,17.69
No. of Equity Shares,70492745,69473611,69538452,67385975,64757105,64903692,61871912,83601092,84320602,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,184.43,147.83,136.28,226.22,276.24,152.92,139.13,38.96,178.78,259.08
Cash from Investing Activity,-158.5,24.78,-117.83,-137.03,-76.59,-126.88,173.79,-2186.52,-163.4,-229.75
Cash from Financing Activity,-14.11,-181.16,0.52,-84.2,-216.62,-27,-291.06,2109.33,-23.08,-27.21
Net Cash Flow,11.82,-8.55,18.97,4.99,-16.97,-0.96,21.86,-38.23,-7.7,2.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1323.75,766.4,527.55,443.05,603.45,293.45,862.95,711.4,595.2,803.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,7.05,6.95,6.95,6.74,6.48,6.49,6.19,8.36,8.43,8.5
