COMPANY NAME,LARSEN & TOUBRO LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,3275.45,,,,,,,,,
Market Capitalization,450479,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,91928.8,101122.48,109311.81,119683.16,135220.29,145452.36,135979.03,156521.23,183340.7,221112.91
Raw Material Cost,31969.24,35320.19,36648.54,40876.24,46889.87,46705.87,41333.86,51676.55,63285.32,20506.02
Change in Inventory,712.68,514.86,-84,1315.23,731.11,-647.7,-343.37,2076.6,3156.64,-1021.07
Power and Fuel,1074.48,1243.45,1423.19,1399.62,2205.6,2079.84,1581.33,2267.26,2823.61,
Other Mfr. Exp,25223.66,28604.47,32976.99,35464.04,38772.73,38942.54,35725.84,41993.25,47648.63,
Employee Cost,11933.74,13333.69,13857.57,15277.07,17475.35,23125.64,24758.51,29701.71,37222.87,41171.02
Selling and admin,4772.61,5154.66,4273.19,4576.99,5074.72,5255.1,3039.18,3575.28,4482.37,10419.42
Other Expenses,1984.22,2494.92,3427.92,3293.09,2667.31,4142.57,5736.7,5069.89,4042.98,118786.83
Other Income,1422.44,1219.07,1465.54,1464.93,2700.61,3015.47,8111.25,2364.01,3065.16,4251.64
Depreciation,2622.95,1786.73,2369.93,2223.48,1923.03,2462.27,2904.21,2947.95,3502.25,3682.33
Interest,7265.78,6898.68,6828.66,7713.63,9338.73,11020.78,11749.58,9234.98,9445.44,9260.75
Profit before tax,7217.24,8019.62,8887.36,11639.16,14304.67,14085.52,16917.7,14494.97,17109.03,20517.11
Tax,2253.24,2436.96,2006.59,3198.87,4067.09,3263.2,4010.82,4203.92,4484.16,4947.39
Net profit,4764.82,4280.68,6041.23,7369.86,8905.13,9549.03,11582.93,8669.33,10470.72,13059.11
Dividend Amount,1510.52,1699.99,1306.13,2242.16,2524.95,2527.02,5056.38,3091.11,3373.2,4673.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,39562.92,52850.67,35853.2,42762.61,46389.72,58335.15,47882.37,51024.04,55127.82,67078.68
Expenses,33580.61,44892.16,30443.38,36400.45,39736.25,49980.91,41566.01,43983.67,47929.17,58425.64
Other Income,571.39,515.59,694.72,738.53,891.02,740.91,1145.56,1132.98,837.75,1135.35
Depreciation,732.46,769.36,963.4,860.17,825.18,853.5,830.47,909.89,920.75,1021.2
Interest,2267.32,2146.93,2212.46,2303.97,2382.88,2334.29,2299.08,2272.39,2343.82,2345.35
Profit before tax,3553.92,5557.81,2928.68,3936.55,4336.43,5907.36,4332.37,4991.07,4771.83,6421.84
Tax,1057.06,1551.15,635.67,1117.35,1270.5,1460.62,1216.25,1135.52,1177.32,1418.3
Net profit,2054.74,3620.69,1702.07,2228.97,2552.92,3986.78,2493,3222.63,2947.36,4396.12
Operating Profit,5982.31,7958.51,5409.82,6362.16,6653.47,8354.24,6316.36,7040.37,7198.65,8653.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,185.91,186.3,186.59,280.27,280.55,280.78,280.91,281.01,281.1,274.93
Reserves,40723.16,43994.06,50029.93,54623.23,62094.25,66442.44,75587.62,82126.65,89044.85,86084.31
Borrowings,93629.55,86822.5,92806.93,106618.82,124578.88,141769.64,133505.42,125292.43,120650.44,116322.22
Other Liabilities,58727.45,63087.81,68547.2,81717.21,91082.55,98194.23,100721.1,111327.82,119745.49,136945.78
Total,193266.07,194090.67,211570.65,243239.53,278036.23,306687.09,310095.05,319027.91,329721.88,339627.24
Net Block,34738.06,14175.7,16677.11,18580.19,21193.94,43653.38,44319.32,42945.01,42641,43111.79
Capital Work in Progress,14992.78,10974.45,13297.94,13443.43,13919.49,3311.09,500.39,1249.55,3065.57,2897.04
Investments,9612.12,15465.08,19753.02,15311.31,20907.1,20047.48,39626.63,39395.18,44798.31,45647.82
Other Assets,133923.11,153475.44,161842.58,195904.6,222015.7,239675.14,225648.71,235438.17,239217,247970.59
Total,193266.07,194090.67,211570.65,243239.53,278036.23,306687.09,310095.05,319027.91,329721.88,339627.24
Receivables,30089.37,26024.98,28688.97,33116.98,36845.87,40731.52,42229.78,46139.32,44731.53,48770.95
Inventory,6508.4,4854.21,4139.74,4847.8,6413.93,5746.65,5820.54,5943.32,6828.78,6620.19
Cash & Bank,5756.21,5389.91,5305.96,8032.73,11726.24,15117.78,16241.5,18953.17,22519.6,15358.39
No. of Equity Shares,929562061,931478845,932965803,1401369456,1402729385,1403892022,1404555297,1405029123,1405482190,
New Bonus Shares,,,,466764755,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
