COMPANY NAME,TIME TECHNOPLAST LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,254,,,,,,,,,
Market Capitalization,5762.94,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2155.14,2446.61,2395.58,2754.61,3102.74,3563.73,3578.03,3004.92,3649.84,4289.44
Raw Material Cost,1493.17,1755.8,1686.81,1929.77,2186.96,2561.02,2509.4,2092.45,2594.65,3135.01
Change in Inventory,13.85,40.63,-6.15,10.37,34.14,49.73,5.03,-10.46,17.51,33.48
Power and Fuel,83.12,91.79,90.56,103.03,119.88,132.49,142.46,123.93,137.8,155.14
Other Mfr. Exp,34.7,33.21,35.87,29.63,36.15,38.88,39.36,32.3,34.91,36.15
Employee Cost,107.39,112.04,118.09,133.15,145.09,163.92,170.42,159.38,182.63,206.43
Selling and admin,158.82,171.35,121.79,147.78,157.86,175.39,202.56,181.74,191.51,190.72
Other Expenses,-16.49,-15.51,-11.54,17.39,17.87,18.25,19.97,17.51,20.05,22.34
Other Income,6,3.58,21.64,2.23,2.15,3.22,2.27,3.82,2.96,3.74
Depreciation,86.93,87.47,98.83,115.5,137.25,146.15,156.21,151,157.4,170.91
Interest,98.98,104.3,96.23,90.11,87.54,98.65,108.2,97.75,92,105.18
Profit before tax,128.37,150.37,174.43,200.85,250.43,281.93,236.75,142.22,259.36,304.78
Tax,29.55,37.22,32.55,49.41,65.16,73.42,61.74,36.38,67.16,81.01
Net profit,95.43,109.61,138.13,147.1,180.36,202.74,169.12,103.43,188.02,219.04
Dividend Amount,9.45,10.5,11.56,14.7,18.09,20.35,21.48,15.83,22.61,28.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,914.55,941.97,1038.96,944.47,1023.99,1128.61,1192.38,1079.32,1194.21,1324.65
Expenses,783.76,806.16,900.3,820.87,890.58,977.72,1023.16,932.08,1027.35,1134.08
Other Income,0.44,0.72,1.43,0.56,0.42,2.12,0.64,0.99,0.25,1.9
Depreciation,39.14,39.4,40.36,40.67,41.69,43.19,45.35,45.47,45.76,41.74
Interest,23.04,22.92,22.65,23.09,23.99,25.52,32.59,26.49,25.45,24.9
Profit before tax,69.05,74.21,77.08,60.4,68.15,84.3,91.92,76.27,95.9,125.83
Tax,17.76,19.35,20.26,15.16,17.47,21.67,26.71,19.21,24.44,32.72
Net profit,50.29,53.72,55.5,44.39,49.83,61.25,63.57,56.09,70.4,91.6
Operating Profit,130.79,135.81,138.66,123.6,133.41,150.89,169.22,147.24,166.86,190.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,21.01,21.01,21.01,22.61,22.61,22.61,22.61,22.61,22.61,22.61
Reserves,907.67,1016.32,1147.18,1303.87,1460.52,1646.56,1792.46,1880.23,2050.06,2246.68
Borrowings,860.76,804.37,746.16,722.13,776.95,839.91,890.13,863.14,905.9,891.37
Other Liabilities,460.43,492.65,505.48,522.73,631.86,690.68,659.13,538.5,625.78,668.64
Total,2249.87,2334.35,2419.83,2571.34,2891.94,3199.76,3364.33,3304.48,3604.35,3829.3
Net Block,1144.78,1153.51,1146.86,1100.43,1199.71,1279.07,1349.43,1281.06,1313.62,1382.79
Capital Work in Progress,45.25,43.09,70.71,86.92,94.06,98.3,80.53,40.25,70.23,67.59
Investments,,,,,,,,,,
Other Assets,1059.84,1137.75,1202.26,1383.99,1598.17,1822.39,1934.37,1983.17,2220.5,2378.92
Total,2249.87,2334.35,2419.83,2571.34,2891.94,3199.76,3364.33,3304.48,3604.35,3829.3
Receivables,429.21,464.72,491.67,578.18,670.31,784.24,820.68,798.28,866.87,943.01
Inventory,422.31,479.32,483.47,547.3,640.88,737.27,757.66,759.85,907.69,995.17
Cash & Bank,69.62,69.14,70.23,65.62,74.01,66.64,82.5,86.99,94.13,101.39
No. of Equity Shares,210117750,210117750,210117750,226146750,226146750,226146750,226146750,226146750,226146750,226146750
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,214.07,269.46,288.6,187.98,303.29,281.46,301.18,257.03,290.79,370.24
Cash from Investing Activity,-123.72,-97.72,-120.2,-211.9,-244.15,-230.54,-137.6,-105.24,-179.22,-215.51
Cash from Financing Activity,-74.32,-172.22,-167.31,19.31,-50.75,-58.29,-147.72,-150.7,-103.79,-153.93
Net Cash Flow,16.03,-0.48,1.09,-4.61,8.39,-7.37,15.85,1.09,7.78,0.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,40.35,48.65,47.7,123.8,160.15,102.6,24.95,60.55,63.9,77
,,,,,,,,,,
