COMPANY NAME,UJJIVAN SMALL FINANCE BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,51.8,,,,,,,,,
Market Capitalization,10142.59,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2012-03-31 00:00:00,2013-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,148.24,222.52,216.9,1467.88,1831.61,2703.6,2806.07,2812.8,4164.99
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,0.77,0.96,6.28,50.36,71.37,74.92,74.52,30.54,39.25
Employee Cost,,60.17,65.76,50.94,361.05,519.69,719.95,750.13,814.69,923.2
Selling and admin,,24.61,25.42,14.11,97.34,187.28,236.62,154.09,197.58,278.95
Other Expenses,,7.53,9.44,39.41,413.53,274.22,385.44,965.13,1560.59,488.17
Other Income,,8.03,11.36,9.2,111.48,205.96,322.21,302.31,359.89,589.19
Depreciation,,2.4,2.52,5.1,41.37,60.6,72.63,76.8,80.44,90.28
Interest,,58.59,80.62,109.36,606.86,725.2,1070.01,1077.51,1039.21,1467.09
Profit before tax,,2.2,49.16,0.9,8.85,199.21,466.24,10.2,-550.36,1467.24
Tax,,0.48,15.3,0.85,1.98,,116.32,1.9,-135.77,367.32
Net profit,,1.71,33.85,0.04,6.86,199.22,349.92,8.3,-414.59,1099.92
Dividend Amount,,,16.4,,,,,,,244.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,645.04,707.87,818.24,905.35,993.12,1081.59,1184.8,1286.88,1391.14,1470.63
Expenses,811.92,603.29,497.93,453.59,414.97,446.73,504.57,538.09,575.54,650.3
Other Income,54.7,103.79,127.39,124.57,146.71,138.95,179.09,177.22,188.64,184.76
Depreciation,,,,,,,,,,
Interest,253.68,254.01,274.26,305.66,329.94,384.67,446.82,494.23,567.8,610.7
Profit before tax,-365.86,-45.64,173.44,270.67,394.92,389.14,412.5,431.78,436.44,394.39
Tax,-92.07,-11.81,46.92,67.73,100.63,95.95,103,107.71,108.7,94.33
Net profit,-273.79,-33.83,126.52,202.94,294.29,293.19,309.5,324.07,327.74,300.06
Operating Profit,-166.88,104.58,320.31,451.76,578.15,634.86,680.23,748.79,815.6,820.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2012-03-31 00:00:00,2013-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,57.29,65.58,1440.04,1440.04,1440.04,1728.22,1728.31,1728.31,1954.71
Reserves,,185.45,255.76,0.04,6.9,179.59,1259.5,1290.43,874.32,2054.4
Borrowings,,617.24,997.46,6497.81,7625.37,11545.53,14733.75,16383.09,20055.78,28179.14
Other Liabilities,,37.54,41.44,497.72,400.87,577.05,689.77,978.63,953.77,1128.62
Total,,897.52,1360.24,8435.61,9473.18,13742.21,18411.24,20380.46,23612.18,33316.87
Net Block,,11.16,11.14,136.6,194.14,282.35,279.87,275.94,243.6,265.31
Capital Work in Progress,,,,3.17,4.2,2.1,20.61,4.79,5.79,17.57
Investments,,0.1,0.1,1446.68,1232.48,1526.62,2396.14,2516.45,4152.93,8510.31
Other Assets,,886.26,1349,6849.16,8042.36,11931.14,15714.62,17583.28,19209.86,24523.68
Total,,897.52,1360.24,8435.61,9473.18,13742.21,18411.24,20380.46,23612.18,33316.87
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,161.45,178.62,762.82,494.84,1094.46,1343.29,2577.5,2175.82,2483.59
No. of Equity Shares,,,,1440036800,1440036800,1440036800,1728223169,1728314205,1728314205,1954706625
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2012-03-31 00:00:00,2013-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,-167.59,-408.67,-7084.05,2313.71,477.72,241.72,2656.68,2554.42,1059.79
Cash from Investing Activity,,0.65,2.79,-160.88,-100.59,-147.86,-756.54,-1356.45,-840.98,-2095.71
Cash from Financing Activity,,269.09,426.89,7931.44,-2438.56,286.72,775.96,-705.52,-1483.76,1186.43
Net Cash Flow,,102.15,21.01,686.51,-225.44,616.58,261.14,594.71,229.69,150.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,27.3,30.5,14.8,25.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,144,144,144,172.82,172.83,172.83,195.47
