COMPANY NAME,PATEL ENGINEERING LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,55.05,,,,,,,,,
Market Capitalization,4646.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3701.13,3415.39,4040.87,3883.84,2274.55,2362.21,2617.21,1994.79,3380.31,4201.97
Raw Material Cost,,,9.29,9.83,,2.29,6.6,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,64.07,50.35,31.42,48.49,47.96,59.86,73.32,49.13,59.74,69.33
Other Mfr. Exp,2854.76,2507.99,3086.38,2958.27,1367,1601.82,2031.1,1409.89,2384.31,2992.09
Employee Cost,141.8,135.31,137.87,150.03,151.18,167.76,194.53,201.49,266.68,341.03
Selling and admin,80.13,67.74,88.34,89.02,81.61,79.99,81.17,60.57,91.52,114.38
Other Expenses,93.51,157.61,288.36,207.19,95.59,73.54,45.01,29.33,47.88,60.21
Other Income,98.97,131.25,40.97,165.14,106,247.43,201.69,-114.78,83.27,119.48
Depreciation,81.98,79.78,54.98,78.04,54.27,50.2,66.18,72.03,81.9,93.3
Interest,437.86,516.17,601.61,579.21,489.42,370.27,266.27,401.39,419.53,418.42
Profit before tax,45.99,31.69,-216.41,-71.1,93.52,203.91,54.72,-343.82,112.02,232.69
Tax,21.28,22.02,-20.22,31.79,-11.27,44.49,23.42,-70.88,43.14,53.89
Net profit,16.37,8.47,-196.19,-102.89,104.79,154.15,11.13,-290.75,72.1,183.48
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,724.45,877.93,1111.66,901.11,830.34,954.63,1205.06,1118.61,1021.31,1061.01
Expenses,602,731.56,956.85,767.25,711.73,814.49,1036.1,948.04,881.23,918.91
Other Income,15.64,15.91,24.05,39.49,30.82,26.39,35.3,11.77,24.12,52.02
Depreciation,20.33,20.8,20.84,19.28,20.19,20.71,20.72,22.03,23.44,23.12
Interest,103.8,105.57,104.44,99.23,103.91,105.33,103.76,88.42,91.68,88.92
Profit before tax,13.96,35.91,53.58,54.84,25.33,40.49,79.78,71.89,49.08,82.08
Tax,5.45,6.91,20,17.36,12.25,9.5,-0.25,29.86,11,13.49
Net profit,6.84,27.48,37.98,36.83,23.2,24.34,81.88,43.4,37.66,68.83
Operating Profit,122.45,146.37,154.81,133.86,118.61,140.14,168.96,170.57,140.08,142.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,7.62,7.68,7.68,15.7,15.7,16.42,40.82,46.55,47.92,77.36
Reserves,1785.16,1885.02,1704.9,2123.15,2144.11,2260.29,2506.18,2273.02,2335.78,2810.6
Borrowings,4478.04,5163.36,5395.48,4981.97,2910.24,2698.01,2295.83,2296.19,2291.85,1770.04
Other Liabilities,2337.26,2183.22,2404.4,2555.16,2344.43,3225.86,3485.45,3471.34,3834.65,4091.98
Total,8608.08,9239.28,9512.46,9675.98,7414.48,8200.58,8328.28,8087.1,8510.2,8749.98
Net Block,674.47,658.14,622.06,629.27,556.29,578.49,607.24,682.54,1180.51,1294.27
Capital Work in Progress,786.2,982.09,836.7,868.44,792.13,1062.75,1140.84,678.61,282.64,294.44
Investments,133.9,181.78,164.37,138.19,140.48,116.44,78.98,67.89,81.61,124.23
Other Assets,7013.51,7417.27,7889.33,8040.08,5925.58,6442.9,6501.22,6658.06,6965.44,7037.04
Total,8608.08,9239.28,9512.46,9675.98,7414.48,8200.58,8328.28,8087.1,8510.2,8749.98
Receivables,539.46,567.77,514.04,253.92,241.16,229.6,327.51,433.64,561.93,531.37
Inventory,3314.38,3968.82,4700.78,4855.22,3161.57,3546.34,3566.24,3630.28,3590.6,3743.53
Cash & Bank,187.95,152.09,64.19,60.66,131.68,124.5,113.73,196.01,261.29,212.15
No. of Equity Shares,76244330,76806282,76806282,156994691,156994691,164248506,408178292,465453024,479230494,773617228
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-361.71,-1.01,-47.7,566.72,403.35,835.69,407.32,388.7,514.23,692.57
Cash from Investing Activity,-376.73,-244.4,272.06,-222.23,244.6,-327.44,-47.42,6.88,-120.65,-217.29
Cash from Financing Activity,613.87,229.21,-310.84,-342.59,-577.51,-512.71,-366.7,-310.77,-339.79,-535.51
Net Cash Flow,-124.57,-16.2,-86.48,1.89,70.44,-4.45,-6.81,84.81,53.79,-60.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,41.15,52.9,38.52,54.5,41.78,17.61,8.19,10.65,22.53,14.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
