COMPANY NAME,NIPPON LIFE INDIA ASSET MANAGEMENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,575.05,,,,,,,,,
Market Capitalization,36345.39,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,951.25,1310.83,1434.87,1735.11,1646.78,1192.48,1418.59,1533.34,1511.69,1643.22
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,2.77,3.2,4.29,2.5,,,,,,
Other Mfr. Exp,10.81,16.14,4.73,314.68,5.48,102.87,95.19,88.18,91.03,
Employee Cost,161.56,192.66,196.23,257.89,293.9,302.78,271.97,291.51,302.85,336.02
Selling and admin,311.91,561.78,616.48,297.38,597.95,182.79,120.37,121.17,145.49,
Other Expenses,-3.52,13.33,14.96,209.87,42.28,6.04,17.09,15.06,15.74,313.46
Other Income,3.01,2.99,1.04,13.51,3.14,0.73,0.75,2.28,4.92,394.12
Depreciation,6.87,4.31,17.91,8.53,10.07,33.25,33.27,27.22,29.79,29.14
Interest,,,,2.17,,5.67,4.43,3.82,3.97,6.24
Profit before tax,463.86,522.4,581.31,655.6,700.24,559.81,877.02,988.66,927.74,1352.48
Tax,109.37,125.96,179.35,198.38,213.17,144.05,197.63,245.3,204.81,246.23
Net profit,354.46,396.43,401.96,455.74,486.09,415.25,680.33,744.15,723.33,1107.32
Dividend Amount,140.88,144,,367.2,367.2,306.06,493.2,684.22,716.66,1039.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,338.53,337.97,316.1,331.57,353.81,348.34,354.15,397.48,423.32,468.27
Expenses,126.37,130.06,137.03,138.05,140.53,139.5,151.71,156.09,164.16,177.52
Other Income,30.4,34.47,-16.73,81.9,61.93,39.69,116.87,77.88,107.07,92.3
Depreciation,6.45,6.89,6.81,7.08,7.74,8.16,8.09,7.19,6.52,7.34
Interest,0.65,1.11,0.94,0.79,1.08,1.16,1.29,1.69,1.66,1.6
Profit before tax,235.46,234.38,154.59,267.55,266.39,239.21,309.93,310.39,358.05,374.11
Tax,61.5,59.54,40.25,61.51,61.58,41.47,74.56,66.14,74.05,31.48
Net profit,174.05,174.85,114.08,206.07,205.16,198.02,235.72,244.41,284.27,342.92
Operating Profit,212.16,207.91,179.07,193.52,213.28,208.84,202.44,241.39,259.16,290.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,11.27,11.52,11.52,612,612,612.11,616.5,622.02,623.18,630
Reserves,1494.76,1750.38,1831.06,1753.31,1958.02,1980.94,2484.36,2856.6,2892.45,3352.18
Borrowings,,,,,,,,,,
Other Liabilities,195.62,168.87,208.73,357.14,205.82,287.78,291.37,317.92,345.28,392.86
Total,1701.65,1930.77,2051.31,2722.45,2775.84,2880.83,3392.23,3796.54,3860.91,4375.04
Net Block,7.11,11.92,251.15,257.7,256.11,323.61,300.75,296.04,304.79,331.17
Capital Work in Progress,,,,2.59,0.7,2,1.31,0.05,2.49,1.61
Investments,834.89,910.75,946.52,993.35,1289.98,1884.56,2549.95,2941.7,3023.14,3512.68
Other Assets,859.65,1008.1,853.64,1468.81,1229.05,670.66,540.22,558.75,530.49,529.58
Total,1701.65,1930.77,2051.31,2722.45,2775.84,2880.83,3392.23,3796.54,3860.91,4375.04
Receivables,17.54,59.42,43.16,40.4,102.57,59.3,45.86,75.37,96.88,130.33
Inventory,,,,,,,,,,
Cash & Bank,60.23,79.51,39.72,609.09,542.78,463.34,360.61,338.43,272.74,270.55
No. of Equity Shares,11270000,11520000,11520000,612000000,612000000,612111867,616504767,622017928,623175443,
New Bonus Shares,,,,576000000,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-42.13,218.11,556.04,375.96,386.05,604.95,455.97,579.55,584.12,777.48
Cash from Investing Activity,441.12,-25.14,-316.36,-259.99,-34.75,36.51,-401.61,-124.54,100.87,-103.81
Cash from Financing Activity,-403.99,-173.69,-300.27,-91.65,-358.68,-467.95,-239.12,-425.87,-711.65,-670.7
Net Cash Flow,-4.99,19.28,-60.59,24.32,-7.38,173.51,-184.76,29.14,-26.66,2.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,247.45,209.7,249.2,338.3,347.65,210.05,471.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.15,1.15,1.15,61.2,61.2,61.21,61.65,62.2,62.32,63
