COMPANY NAME,TAMILNAD MERCANTILE BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,471,,,,,,,,,
Market Capitalization,7458.36,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,3250.49,3224.46,3466.11,3609.05,3833.86,4081.04,4847.91
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,14.58,11.11,16.09,10.61,18.07,15.58,
Employee Cost,,,,364.02,376.89,437.31,561.96,617.92,622.64,685.91
Selling and admin,,,,142.51,149.21,153.33,158.15,178.58,198.13,
Other Expenses,,,,845.36,813.15,624.21,624.24,655.13,439.33,716.34
Other Income,,,,506.12,414.34,526.39,644.35,812.26,629.11,644.94
Depreciation,,,,39.67,35.56,30.08,28.56,33.19,53.92,
Interest,,,,2040.76,1994.3,2146.59,2071.52,2018.63,1986.92,2697.02
Profit before tax,,,,309.71,258.58,584.89,798.36,1124.6,1393.63,1393.58
Tax,,,,87.79,,177.2,195.03,302.7,364.38,321.55
Net profit,,,,221.92,258.58,407.69,603.33,821.91,1029.26,1072.03
Dividend Amount,,,,45.6,34.2,54.98,,71.26,79.18,158.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,959.4,986.49,1002.15,996.69,1012.12,1070.08,1155.89,1209.16,1229.15,1253.71
Expenses,418.39,421.95,344.46,298,323.15,363.98,340.17,346.96,327.18,387.94
Other Income,253.96,214.17,139.62,144.8,160.76,183.93,167,156.06,157.98,163.9
Depreciation,,,,,,,,,,
Interest,506.64,498.77,478.13,488.14,477.85,542.8,641.81,676.43,692.12,686.66
Profit before tax,288.33,279.94,319.18,355.35,371.88,347.23,340.91,341.83,367.83,343.01
Tax,85.45,52.99,84.97,93.05,92.18,94.18,79.68,68.32,83.6,89.95
Net profit,202.88,226.95,234.21,262.3,279.7,253.05,261.23,273.51,284.23,253.06
Operating Profit,541.01,564.54,657.69,698.69,688.97,706.1,815.72,862.2,901.97,865.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,142.51,142.51,142.51,142.51,142.51,158.35,
Reserves,,,,3262.28,3475.74,3837.13,4437.47,5193.19,6769.99,
Borrowings,,,,32941.33,35136.25,37149.03,40970.42,44933.11,48291.49,
Other Liabilities,,,,1521.7,1718.84,1604.49,1948.12,2558.73,2645.78,
Total,,,,37867.82,40473.34,42733.16,47498.52,52827.54,57865.61,
Net Block,,,,140.3,138.38,128.45,137.18,210.84,245.65,
Capital Work in Progress,,,,,,,,,,
Investments,,,,10363.61,9106.59,9467.33,11703.21,13242.37,14156.04,
Other Assets,,,,27363.91,31228.37,33137.38,35658.13,39374.33,43463.92,
Total,,,,37867.82,40473.34,42733.16,47498.52,52827.54,57865.61,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,,,2003.5,2920.36,3736.55,2705.08,3852,3581.99,
No. of Equity Shares,,,,142511454,142511454,142511454,142511454,142511454,158351454,
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,-388.52,,,-670.36,1325.01,-1269.8,-610.53
Cash from Investing Activity,,,,-25.57,,,-37.11,-106.83,-88.6,-100.3
Cash from Financing Activity,,,,471.83,,,-324,-71.26,1088.38,696.97
Net Cash Flow,,,,57.74,,,-1031.47,1146.93,-270.02,-13.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,407.6,485.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,14.25,14.25,14.25,14.25,14.25,15.84,15.84
