COMPANY NAME,PNB HOUSING FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,755.95,,,,,,,,,
Market Capitalization,19642.91,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1780.38,2697.92,3907.7,5488.06,7480.86,8478.32,7565.2,6141.09,6490.55,7013.74
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,2.99,4.15,4.9,,,,7.02,7.39,8.71,
Other Mfr. Exp,0.73,1.5,1.98,93.48,95.45,20.84,22.89,26.61,33.42,
Employee Cost,67.19,75.73,101.8,143.99,212.95,196.41,177.81,182.15,217.26,264.13
Selling and admin,71.34,100.18,133.45,159.3,193.16,170.88,115.27,141.38,157.06,
Other Expenses,70.34,138.57,199.43,296.03,206.29,1330.72,911.19,606.2,756.69,474.77
Other Income,-0.22,0.63,0.15,0.46,3.62,6.99,15.07,4.64,1.65,10.24
Depreciation,8.28,15.04,18.63,24.11,31.29,65.64,58.78,53.18,51.23,50.98
Interest,1264.84,1860.29,2643.65,3537.03,5167.29,5875.82,5100.59,4066.05,3901.02,4262.42
Profit before tax,294.45,503.09,804.01,1234.58,1578.05,825,1186.72,1062.77,1366.81,1971.68
Tax,100.38,176.62,280.28,392.44,496.67,142.69,261.5,240.85,310.54,444.26
Net profit,194.07,326.47,523.73,842.14,1081.38,682.31,925.22,821.92,1056.27,1527.42
Dividend Amount,31.16,43.15,99.38,149.93,150.72,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1482.23,1414.16,1404.34,1672.18,1787.22,1626.81,1698.83,1766.14,1748.05,1800.72
Expenses,224.37,246.56,148.74,356.08,409.1,260.85,187.35,189.75,206.21,155.59
Other Income,0.23,0.4,1.28,-0.62,0.18,1,0.13,1.67,3.42,5.02
Depreciation,13.08,13.96,12.97,13.14,12.55,12.57,12.56,11.27,13.02,14.13
Interest,997.5,930.96,930.48,964.13,996.64,1008.33,1047.82,1057.62,1086.99,1069.99
Profit before tax,247.51,223.08,313.43,338.21,369.11,346.06,451.23,509.17,445.25,566.03
Tax,63.82,53.12,75.23,75.3,96.86,63.15,98.55,124.77,98.71,122.23
Net profit,183.69,169.96,238.2,262.91,272.25,282.91,352.68,384.4,346.54,443.8
Operating Profit,1257.86,1167.6,1255.6,1316.1,1378.12,1365.96,1511.48,1576.39,1541.84,1645.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,103.85,126.92,165.64,166.59,167.47,168.19,168.27,168.6,168.86,259.72
Reserves,1474.88,2018.98,5411.67,6401.76,7267.54,7778.97,8698.91,9631.94,10783.71,14672.65
Borrowings,16480.76,26013.68,35497.14,53776.7,71858.85,67735.84,59393.82,52961.12,53621.1,55016.54
Other Liabilities,975.75,1511.37,1885.1,2672.84,4456.38,3191.18,3071.52,2887.64,2231.29,2422.3
Total,19035.24,29670.95,42959.55,63017.89,83750.24,78874.18,71332.52,65649.3,66804.96,72371.21
Net Block,39.58,58.11,58.4,254.66,102.31,250.25,180.65,149.99,145.85,216.26
Capital Work in Progress,18.1,4.05,2.03,9.69,5.17,4.06,2.38,3.54,3.16,5.43
Investments,1585.98,1622.27,3279.56,2413.15,4457.43,2048.32,2032.92,3472.02,3188.02,4345.26
Other Assets,17391.58,27986.52,39619.56,60340.39,79185.33,76571.55,69116.57,62023.75,63467.93,67804.26
Total,19035.24,29670.95,42959.55,63017.89,83750.24,78874.18,71332.52,65649.3,66804.96,72371.21
Receivables,,,,0.33,26.74,5.84,15.03,38.98,,52.07
Inventory,,,,,,,,,,
Cash & Bank,293.14,248.54,151.47,2816.93,4026.08,8512.53,6906.5,5114.84,3692.57,2498.63
No. of Equity Shares,126923000,126923000,165642309,166586482,167469016,168186908,168268123,168598555,168855818,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-6790.98,-9664.47,-12406.47,-15663.79,-16625.74,8911.14,6565.56,6216.35,-1772.04,-4644.14
Cash from Investing Activity,-37.34,-19.64,-16.88,-49.51,-53.25,-62.41,5.33,-1476.23,173.63,-1193.48
Cash from Financing Activity,6850.49,9803.9,12322.49,18464.32,17888.06,-4362.24,-8176.92,-6732.19,301.47,4178.64
Net Cash Flow,22.17,119.79,-100.86,2751.02,1209.07,4486.49,-1606.03,-1992.07,-1296.94,-1658.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,985.95,1070.47,716.23,134.3,310.51,312.13,425.02,629.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
