COMPANY NAME,ANAND RATHI WEALTH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,3897.65,,,,,,,,,
Market Capitalization,16317.71,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,280.33,335.55,273.11,424.16,558.24,724.32
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,0.66,0.79,0.65,0.83,1.17,
Other Mfr. Exp,,,,,5.49,9.04,8.53,8.24,8.58,
Employee Cost,,,,,132.26,166.65,150.85,192.24,241.99,322.22
Selling and admin,,,,,37.82,43.03,28.31,32.38,48.28,
Other Expenses,,,,,2.48,5.59,7.41,6.5,9.87,98.3
Other Income,,,,,3.86,0.86,6.14,1.29,0.45,27.64
Depreciation,,,,,16.27,21.05,17.73,15.65,16.61,19.36
Interest,,,,,6.11,3.3,2.89,2.02,3.93,6.47
Profit before tax,,,,,83.1,86.96,62.88,167.59,228.26,305.61
Tax,,,,,24.67,25.34,18.26,40.79,59.65,79.79
Net profit,,,,,59.21,61.38,44.61,126.5,168.06,224.97
Dividend Amount,,,,,,,13.76,45.78,50.02,58.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,105.69,112.51,131.61,136.06,138,142.96,175.03,182.58,182.43,184.28
Expenses,61.23,66.7,75.9,75.66,76.29,82.14,101.67,105.12,102.6,111.14
Other Income,2.97,2.2,1.93,2.03,2.21,4.11,3.41,6.49,4.83,12.91
Depreciation,4.24,3.31,3.83,4.08,4.39,4.31,4.51,4.61,5.02,5.21
Interest,0.32,0.64,0.89,0.82,1.14,1.08,1.37,1.62,1.64,1.84
Profit before tax,42.87,44.06,52.92,57.53,58.39,59.54,70.89,77.72,78,79
Tax,10.83,9.45,13.2,14.58,15.16,16.83,17.66,20.04,19.96,22.13
Net profit,32.02,34.56,39.7,42.92,43.17,42.61,53.06,57.49,57.82,56.6
Operating Profit,44.46,45.81,55.71,60.4,61.71,60.82,73.36,77.46,79.83,73.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,13.45,13.51,13.76,20.81,20.84,20.91
Reserves,,,,,110.48,172.01,227.82,322.86,447.39,627.94
Borrowings,,,,,0.6,41.73,47.55,39.25,36.72,51.66
Other Liabilities,,,,,106.3,181.82,50.62,97.24,119.16,179.23
Total,,,,,230.83,409.07,339.75,480.16,624.11,879.74
Net Block,,,,,49.56,74.24,55.16,123.95,136.08,152.34
Capital Work in Progress,,,,,31.66,65.39,69.04,,,0.82
Investments,,,,,75.09,103.15,104.49,103.5,105.5,112.29
Other Assets,,,,,74.52,166.29,111.06,252.71,382.53,614.29
Total,,,,,230.83,409.07,339.75,480.16,624.11,879.74
Receivables,,,,,11.01,9.11,10.87,14.9,17.13,28.25
Inventory,,,,,,,,,,
Cash & Bank,,,,,11.45,28.3,65.36,87.11,60.17,33.11
No. of Equity Shares,,,,,26908600,27027440,27513560,41616227,41688247,
New Bonus Shares,,,,,,,,,,
Face value,,,,,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,67.09,140.31,-17.91,145.19,84.19,277.57
Cash from Investing Activity,,,,,-42.33,-151.66,73.56,-77.17,-42.66,-237.21
Cash from Financing Activity,,,,,-13.92,28.2,-18.58,-46.5,-64.16,-72.01
Net Cash Flow,,,,,10.84,16.84,37.06,21.52,-22.63,-31.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,606.3,807.7,3694.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,2.69,2.7,2.75,4.16,4.17,4.18
