COMPANY NAME,KNR CONSTRUCTIONS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,247.4,,,,,,,,,
Market Capitalization,6954.92,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,895.03,904.4,1191.68,1642.13,2069.6,2291.5,2451.68,2903.63,3605.82,4062.36
Raw Material Cost,290.67,338.1,317.86,361.85,506.86,643.78,753.28,926.45,1180.72,1494.74
Change in Inventory,1.94,1.61,6.33,-2.41,-5.98,1.31,,,,
Power and Fuel,2.92,3,1.85,5.19,7.42,10.33,15.47,17.23,20.65,20.23
Other Mfr. Exp,390.1,358.07,633.23,881.9,971.48,964.67,876.36,1055.62,1256.4,1362.41
Employee Cost,35.27,38.38,46.47,58.82,74.29,95.14,127.35,133.65,146.48,174.79
Selling and admin,44.24,43.3,22.46,95.34,41.9,32.58,38.7,32.47,36.59,47.26
Other Expenses,2.23,-1.66,3.82,-27.84,12.28,8.74,17.53,39.3,163.27,45.25
Other Income,17.55,13.62,45.75,29.57,54.94,74.76,66.39,143.99,77.73,97.67
Depreciation,58.58,55.17,70.86,115.63,193.6,230.13,254.13,189.9,164.92,180.7
Interest,18.42,13.8,57,72.67,82.5,89.84,110.78,133.21,151.14,153.4
Profit before tax,72.09,71.47,90.21,105.73,228.23,292.36,324.47,519.79,563.38,681.25
Tax,6.54,-0.28,-21.89,6.99,-0.73,27.47,68.53,136.96,196.99,241.84
Net profit,60.48,69.76,112.13,114.9,243.48,270.51,265.51,407.38,381.84,458.01
Dividend Amount,2.81,2.81,5.62,7.03,5.62,5.62,7.03,7.03,7.03,7.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,842.01,854.64,1102.09,980.45,961.65,874.93,1245.33,981.02,1038.45,996.01
Expenses,664.49,715.09,823.22,769.19,698.36,678.14,999.36,765.28,806.86,770.1
Other Income,11.23,30.22,19.83,10.12,9.93,68.38,10.1,7.58,5.34,6.52
Depreciation,39.45,43.31,47.82,40.97,45.01,46.48,48.24,36.4,39.21,40.68
Interest,35.35,39.15,43.31,54.53,44.61,33.38,20.56,20.34,20.61,27.66
Profit before tax,113.95,87.31,207.57,125.88,183.6,185.31,187.27,166.58,177.11,164.09
Tax,43.67,45.19,67.86,33.61,85.09,77.89,45.24,38.7,34.56,28.26
Net profit,80.45,49.81,139.16,89.61,115.37,105.76,147.27,137.11,147.38,139.61
Operating Profit,177.52,139.55,278.87,211.26,263.29,196.79,245.97,215.74,231.59,225.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,28.12,28.12,28.12,28.12,28.12,28.12,28.12,56.25,56.25,56.25
Reserves,582.85,760.35,670.5,777.3,1011.14,1274.2,1524.04,1903.07,2262.96,2714.45
Borrowings,425.99,733.64,735.41,721.14,770.4,758.21,874.54,764.37,1463.54,652.06
Other Liabilities,417.49,489.54,551.59,715.63,798.32,668.53,1076.64,1283.49,1487.58,919.25
Total,1454.45,2011.65,1985.62,2242.19,2607.98,2729.06,3503.34,4007.18,5270.33,4342.01
Net Block,272.21,234.94,737.79,1228.44,1341.35,1320.52,1274.82,776,889.9,890.49
Capital Work in Progress,585.33,1108.26,428.71,91.26,1.15,0.01,10.15,2.38,20.62,2.51
Investments,25.62,23.64,105.87,73.59,52.67,51.93,65.84,61.67,73.26,72.35
Other Assets,571.29,644.81,713.25,848.9,1212.81,1356.6,2152.53,3167.13,4286.55,3376.66
Total,1454.45,2011.65,1985.62,2242.19,2607.98,2729.06,3503.34,4007.18,5270.33,4342.01
Receivables,75.46,110.13,134.6,181.69,269.14,96.8,174.65,332.87,598.41,622.9
Inventory,53.02,55.73,61.83,80.54,75.05,101.19,123.16,147.99,227.41,234.23
Cash & Bank,57.29,43.55,45.21,33.81,51.98,27.47,82.87,147.84,259.2,220.2
No. of Equity Shares,28123460,28123460,28123460,140617300,140617300,140617300,140617300,281234600,281234600,281234600
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,239.39,78.4,245.85,365.67,220.57,255.91,230.62,-75.59,-336.44,1194.13
Cash from Investing Activity,-484.9,-548.95,-243.99,-249.63,-163.28,-183.5,-202.09,260.19,-408.48,66.81
Cash from Financing Activity,276.33,449.83,1.47,-123.61,-37.53,-107.5,2.22,-97.83,764.87,-1217.35
Net Cash Flow,30.82,-20.72,3.33,-7.57,19.76,-35.09,30.75,86.77,19.94,43.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,8.5,42.48,50.94,96.38,142,130.68,98.25,213.4,284.15,253.7
,,,,,,,,,,
