COMPANY NAME,GRASIM INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,2353.7,,,,,,,,,
Market Capitalization,157358.82,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,28330.85,31734.32,34487.47,36068.4,55893.5,77200.25,68252.47,76404.29,95701.13,117627.08
Raw Material Cost,7388.72,8586.9,9034.05,9313.26,12695.6,16768.13,14444.37,11905.19,18294.16,23446.61
Change in Inventory,-45.35,159.61,31.84,-161.75,84.95,79.89,504.21,-724.03,921.74,834.66
Power and Fuel,5674.79,6452.71,6013.7,5795.41,8631.29,12423.45,11080.71,10363.78,15520.7,23168.73
Other Mfr. Exp,2293.31,2445.45,2495.4,2635.21,7160.42,10143.46,10461.07,12749.36,16198.35,19172.52
Employee Cost,1877.49,2167.3,2157.44,2265.59,3992.47,5428.21,5760.39,5534.74,6327.71,7193.86
Selling and admin,6423.61,7453.85,7517.96,7504.55,9517.31,13525.14,13295.49,13489.93,16478.43,19560.94
Other Expenses,-287.19,-356.74,1389.57,1006.03,2369.11,2351.36,3341.79,3001.92,3372.15,4330.03
Other Income,576.25,529.5,1320.03,1075.7,410.02,-1845.52,7075.94,1130.43,1648.3,3732.98
Depreciation,1457.48,1563.22,1833.79,1807.59,2724.36,3571.38,4004.23,4033.4,4161.07,4551.59
Interest,447.32,667.39,718.09,702.4,3663.17,6060.03,6890.31,5723.48,4776,6043.73
Profit before tax,3586.22,3443.35,4679.34,5952.31,5634.74,5163.46,6554.26,10008.89,13142.6,14726.71
Tax,734.79,1015.92,1224.6,1706.7,1947.12,2418.72,-84.32,3022.19,1936.31,3648.51
Net profit,2071.54,1743.8,2468.14,3167.3,2678.58,1692.99,4411.74,4304.82,7549.78,6827.26
Dividend Amount,192.84,165.35,210.06,256.77,407.59,460.36,263.14,592.29,658.35,658.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,22567.48,24402.24,28811.39,28041.54,27485.54,28637.86,33462.14,31065.19,30220.68,31965.48
Expenses,17671.5,19531.29,23470.25,22058.7,22894.26,23775.17,27331.51,24708.44,24172.73,25072.84
Other Income,393.88,230.92,581.41,221.41,254,2971.59,307.59,296.06,284.59,256.49
Depreciation,1016.81,1025.57,1128.09,1088.78,1116.05,1139.42,1207.34,1182.53,1245.15,1244.43
Interest,1175.63,1145.75,1188.2,1246.47,1373.21,1608.2,1815.85,2032.41,2225.67,2432.96
Profit before tax,3097.42,2930.55,3606.26,3869,2356.02,5086.66,3415.03,3437.87,2861.72,3471.74
Tax,1065.02,275.1,-464.2,1110.25,846.83,632.07,1059.36,861.52,837.67,868.31
Net profit,1359.18,1746.14,2777.15,1933.39,1009.17,2515.78,1368.92,1576.47,1163.75,1514.44
Operating Profit,4895.98,4870.95,5341.14,5982.84,4591.28,4862.69,6130.63,6356.75,6047.95,6892.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,91.83,91.86,93.36,93.37,131.48,131.53,131.57,131.62,131.67,131.69
Reserves,21522.56,23047.88,27335.95,31293.71,57230.37,57887.99,56500.72,65362.44,75566.56,78610.3
Borrowings,9681.16,11930.19,12504.83,9213.03,67013.59,84418.31,84765.74,79066.58,74733,103027.37
Other Liabilities,16440.56,18962.88,19642.3,22147.29,83523.22,98689.15,102783.41,122788.13,138717.56,155053.41
Total,47736.11,54032.81,59576.44,62747.4,207898.66,241126.98,244181.44,267348.77,289148.79,336822.77
Net Block,25208.57,31828.16,34270.78,34786.19,69257.2,87129.19,87736.09,85022.8,88996.12,94896.37
Capital Work in Progress,4044.85,2754.95,1788.38,1296.97,2290.02,2765.97,3904.13,5768.69,6615.12,7777.68
Investments,7610.81,7255.29,10601.2,14200.38,65995.01,62747.32,66337.17,88016.78,96766.12,105355.29
Other Assets,10871.88,12194.41,12916.08,12463.86,70356.43,88484.5,86204.05,88540.5,96771.43,128793.43
Total,47736.11,54032.81,59576.44,62747.4,207898.66,241126.98,244181.44,267348.77,289148.79,336822.77
Receivables,2509.15,2647.37,3002.01,3009.56,5202.63,6690.07,5793.06,4341.78,5429.36,5915.1
Inventory,4256.5,4788.45,4148.75,4231.42,5860.36,7059.13,6840.62,6196.96,9536.42,11159.15
Cash & Bank,396.69,439.71,2307.15,2307.01,1316.1,1908.23,3803.66,5337.37,3252.55,3713.38
No. of Equity Shares,91827000,91852185,93346106,466837110,657399730,657598363,657827233,658044844,658295426,658432126
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
