COMPANY NAME,NCC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,236.1,,,,,,,,,
Market Capitalization,14841.54,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,7271.98,9512.89,9527.25,9000.57,8390.64,12895.64,8901.07,7949.42,11137.96,15553.41
Raw Material Cost,3206.83,4836.32,4149.99,3280.12,3162.22,4875.1,3032.17,2426.56,3484.62,4855.11
Change in Inventory,313.49,228.34,201.77,-145.79,107.02,-155.23,-30.42,-48.9,-105.49,-69.35
Power and Fuel,22.89,7.66,10.33,14.68,11.13,9.18,9.19,9.28,8.75,10.79
Other Mfr. Exp,2947.52,3231.79,3810.34,4129.49,3745.12,5498.53,4009.55,3988.53,5850.12,8337.5
Employee Cost,381.05,396.59,470.77,459.54,453.67,495.46,484.21,381.04,453.07,546.1
Selling and admin,384.63,171.35,176.51,176.61,158.5,161.12,151.71,119.41,153.59,191.33
Other Expenses,-115.41,97.82,124.17,119.35,94.34,108.71,107.19,56.62,54.55,84.24
Other Income,104.57,126.7,71.26,87.23,-22.72,16.51,63.35,104.6,271.72,143.69
Depreciation,235.45,276.59,248.25,202.55,171.51,192.53,199.22,181.25,186.74,202.61
Interest,654.12,737.12,642.58,513.34,459.56,521.95,553.85,479.91,478.07,515.22
Profit before tax,-27.04,112.69,167.34,46.33,218.89,894.34,386.91,362.52,634.68,884.85
Tax,-37.39,51.2,85.73,37.93,80.16,326.77,72.8,79.48,140.65,238.64
Net profit,3.28,53.87,120.43,31.68,168.63,578.69,336.53,268.31,482.41,609.2
Dividend Amount,5.13,22.24,33.36,22.24,60.06,90.1,12.2,48.79,121.97,138.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2581.37,3014.94,3477.35,3321.35,3373.43,3909.6,4949.03,4380.39,4719.61,5260.08
Expenses,2314.92,2738.56,3208.2,3013.48,3063.32,3533.2,4484.42,3971.18,4415.87,4754.67
Other Income,51.4,18.33,186.84,32.15,32.24,55.51,23.79,28.31,28.22,29.08
Depreciation,47.25,47.08,46.5,48.23,49.68,51.62,53.08,52.81,53.21,53.48
Interest,120.4,121.3,126.65,110.97,123.43,138.16,142.66,132.29,153.49,155.87
Profit before tax,150.2,126.33,282.84,180.82,169.24,242.13,292.66,252.42,125.26,325.14
Tax,28.15,42.13,48.99,43.42,31.7,73.83,89.69,68.2,38.77,94.18
Net profit,113.91,76.42,242.13,129.64,131,157.7,190.86,173.54,77.34,220.65
Operating Profit,266.45,276.38,269.15,307.87,310.11,376.4,464.61,409.21,303.74,505.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,51.32,111.19,111.19,111.19,120.13,120.13,121.97,121.97,121.97,125.57
Reserves,2714.64,3290.68,3280.83,3336.48,3962.39,4447.79,4784.48,5022.78,5454.22,6041.26
Borrowings,3914.47,3389.67,3208,2571.93,2060.89,2691.4,2181.47,2062.04,1302.43,973.82
Other Liabilities,5434.65,5753.03,5720.99,5089.88,6264.96,7401.05,6723.97,6333.09,7579.37,9409.47
Total,12115.08,12544.57,12321.01,11109.48,12408.37,14660.37,13811.89,13539.88,14457.99,16550.12
Net Block,2608.04,2445.79,1674.2,1098.58,1158.04,1550.74,1413.29,1416.99,1442.55,1502.87
Capital Work in Progress,23.75,10.61,8.12,1.46,23.26,13.49,15.16,21.86,7.35,21.98
Investments,1108.01,1132.96,1128.35,728.75,619.46,475.49,448.24,439.63,345.82,352.04
Other Assets,8375.28,8955.21,9510.34,9280.69,10607.61,12620.65,11935.2,11661.4,12662.27,14673.23
Total,12115.08,12544.57,12321.01,11109.48,12408.37,14660.37,13811.89,13539.88,14457.99,16550.12
Receivables,1760.91,1657.36,3678.05,4117.92,4969.44,3428.68,2728.28,2739.62,2545.16,3175.51
Inventory,2470.23,2756.99,2862.71,2718.1,2830.44,1425.41,1391.29,1222.21,1153.34,1374.03
Cash & Bank,162.91,357.61,346.87,177,117.69,361.71,388.74,504.58,600.53,709.27
No. of Equity Shares,256583810,555931588,555931588,555931588,600646588,600646588,609846588,609846588,609846588,627846588
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,634.39,866.91,395.46,313.57,585.81,673.13,931.39,841.84,1415.55,1100.11
Cash from Investing Activity,-66.64,-95.25,192.51,375.57,-188.33,-618.91,10.55,-206.56,-66.04,-191.56
Cash from Financing Activity,-642.88,-642.54,-551.13,-817.83,-453.45,89.15,-1046.93,-558.08,-1274.61,-892.7
Net Cash Flow,-75.12,129.12,36.85,-128.69,-55.97,143.37,-104.99,77.2,74.9,15.85
,,,,,,,,,,
