COMPANY NAME,METRO BRANDS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1028.75,,,,,,,,,
Market Capitalization,28008.28,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,668.03,732.32,803.1,910.31,1074.86,1217.07,1285.06,800.03,1342.93,2127.1
Raw Material Cost,366.35,389.77,400.58,470.5,512.03,633.94,582.18,274.1,680.56,1028.49
Change in Inventory,37.05,30.95,10.36,31.35,36.15,85.21,11.52,-86.38,134.44,173.74
Power and Fuel,12.42,14.31,16.25,16.75,16.93,18.55,20.17,14.68,19.61,26.88
Other Mfr. Exp,2.51,2.85,3.84,5.3,21.72,27.79,31.9,23.09,49.17,87.92
Employee Cost,55.8,62.84,69.49,82.98,97.47,112.14,126.76,102.71,121.46,184.76
Selling and admin,222.99,248.5,270.49,309.8,222,161.47,167.15,111.3,180.02,270.62
Other Expenses,-76.95,-86.93,-87.55,-95.67,13.59,10.92,13.05,12.51,14.09,21.99
Other Income,2.53,5.92,6.51,8.95,7.56,18.55,23.38,75.9,55.35,52.98
Depreciation,11.07,11.99,13.01,16.06,19.52,93.65,120.61,121.84,134.24,181.01
Interest,0.84,1.12,0.68,0.45,0.41,34.25,39.73,44.81,50.43,63.06
Profit before tax,112.58,124.74,133.18,144.44,214.9,228.12,218.41,84.51,283.14,489.09
Tax,38.05,42.54,45.78,49.86,73.05,76.92,58.69,19.29,70.18,125.74
Net profit,74.53,82.19,84.93,91.02,139.01,147.82,156.73,68.2,211.59,361.45
Dividend Amount,16.19,17.66,18.41,19.89,29.46,31.86,39.83,39.83,61.09,108.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,324.61,483.77,403.16,507.95,476.31,598.71,544.13,582.52,555.7,635.5
Expenses,227.77,315.88,273.32,325.08,329.16,393.54,400.57,395.93,400.33,436.52
Other Income,17.37,12.01,13.36,9.28,11.76,14.63,18.74,14.37,16.15,15.95
Depreciation,33.64,34.39,34.7,38.99,41.4,50.42,50.2,54.25,57.16,58.64
Interest,12.29,12.32,14.53,13.44,14.84,17.27,17.51,18.5,19.71,20.37
Profit before tax,68.28,133.19,93.97,139.72,102.67,152.11,94.59,128.21,94.65,135.92
Tax,13.22,32.34,24.95,34.48,25.25,39.35,26.65,35.32,27.54,37.87
Net profit,52.81,101.27,68.79,104.76,76.25,111.95,68.49,92.83,66.69,97.81
Operating Profit,96.84,167.89,129.84,182.87,147.15,205.17,143.56,186.59,155.37,198.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,14.72,14.72,14.73,14.73,14.73,132.77,132.77,132.77,135.75,135.87
Reserves,259.69,318.37,381.31,448.68,562.41,517.1,674.52,694.81,1128.94,1411.86
Borrowings,6.85,8.29,3.04,2.96,6.02,424.46,549.15,566.9,692.22,942.96
Other Liabilities,117.89,113.93,117.66,170.12,188.81,247.18,260.98,264.86,347.93,436.54
Total,399.15,455.31,516.74,636.49,771.97,1321.51,1617.42,1659.34,2304.84,2927.23
Net Block,67.55,122.36,134.52,172,184.61,593.01,708.04,723.58,847.77,1302.1
Capital Work in Progress,1.64,0.39,0.6,4.32,6.01,4.07,13.03,4.54,6.19,17.84
Investments,78.5,36.84,76.4,83.2,184.51,209.86,348.35,399.67,401.04,477.62
Other Assets,251.46,295.72,305.22,376.97,396.84,514.57,548,531.55,1049.84,1129.67
Total,399.15,455.31,516.74,636.49,771.97,1321.51,1617.42,1659.34,2304.84,2927.23
Receivables,19.04,21.52,23.03,32.73,39.36,51.93,70.13,50.55,48.39,126.14
Inventory,188.32,225.66,232.65,266.42,279.41,364.62,376.13,289.75,424.19,645.76
Cash & Bank,7.83,7.2,6.5,25.15,15.45,12.09,10.88,87.92,396.46,198.51
No. of Equity Shares,14720455,14720455,14727530,14727530,14727530,132767145,132767145,265534290,271507426,271733221
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,82.25,154.58,195.66,273.08,265.28,219.7,380.68
Cash from Investing Activity,,,,-83.17,-93.73,-67.35,-162.62,-122.38,-300.93,-51.55
Cash from Financing Activity,,,,-0.56,-50.49,-131.96,-111.5,-127.08,116.46,-358.84
Net Cash Flow,,,,-1.48,10.36,-3.66,-1.03,15.82,35.22,-29.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,612.2,794.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.47,1.47,1.47,1.47,1.47,13.28,13.28,26.55,27.15,27.17
