COMPANY NAME,GODREJ PROPERTIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,2757.4,,,,,,,,,
Market Capitalization,76660.35,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1843.09,2122.61,1582.93,1603.72,2817.4,2441.42,764.92,1824.88,2252.26,3035.62
Raw Material Cost,,,,,,,,,,6965.06
Change in Inventory,1050.69,135.97,43.04,-249.73,-1628.75,-73.77,2539.83,888.23,5211.88,5157.03
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,2537.1,1870.13,1123.94,1111.23,565.11,1553.24,3086.8,2155.78,6533.87,
Employee Cost,38.61,44.98,92.84,138.42,173.04,184.68,299.56,110.25,218.41,331.32
Selling and admin,19,84.23,75.17,111.86,114.09,162.47,108.67,153.4,288.75,
Other Expenses,41.83,122.6,81.33,207.98,158.37,206.95,259.15,349.25,216.21,1025.95
Other Income,83.47,145.79,150.13,498.64,418.53,473.17,568.17,760.81,786.74,1326.34
Depreciation,10.01,14.19,14.5,16.13,14.34,20.52,19.54,21.43,24.14,44.56
Interest,4.73,40.57,103.82,150.13,234.03,220.07,184.86,167.48,174.23,152.11
Profit before tax,325.97,227.67,284.5,116.88,348.2,492.89,-85.66,516.33,795.27,999.99
Tax,90.39,67.91,77.7,29.97,95.05,218.95,103.64,165.78,174.67,252.93
Net profit,190.91,158.56,206.8,86.91,253.15,270.52,-189.3,352.37,571.39,725.27
Dividend Amount,39.87,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,278.76,1330.64,244.67,165.09,196.23,1646.27,936.09,343,330.44,1426.09
Expenses,351.82,1119.51,310.49,274.75,251.13,1300.26,1085.29,438.29,396.52,1303.34
Other Income,188.15,191.93,181.73,204.11,208.35,283.83,378.72,262.11,217.87,525.78
Depreciation,5.46,5.65,5.47,5.61,6.48,6.58,6.93,7.39,14.16,16.08
Interest,41.66,43.01,34.48,40.57,45.65,53.53,29.67,48.01,42.97,31.46
Profit before tax,67.97,354.4,75.96,48.27,101.32,569.73,192.92,111.42,94.66,600.99
Tax,28.95,95.75,32.65,-18.76,44.92,115.86,59.23,38.78,31.94,122.98
Net profit,39.02,260.47,45.55,54.96,58.74,412.14,124.94,66.8,62.27,471.26
Operating Profit,-73.06,211.13,-65.82,-109.66,-54.9,346.01,-149.2,-95.29,-66.08,122.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,99.68,108.13,108.18,108.24,114.66,126.01,138.97,138.99,139.01,139.02
Reserves,1747.19,1656.69,1895.55,1102.16,2354.35,4681.78,8180.65,8536.4,9125.19,9853.49
Borrowings,3486.47,3122.95,3980.41,3702.86,3515.84,3714.76,4592.54,5196.23,6430.76,10679.29
Other Liabilities,2029.71,1690.69,1196.52,3358.02,2107.16,1567.2,3332.92,3931.94,7410.34,15063.06
Total,7363.05,6578.46,7180.66,8271.28,8092.01,10089.75,16245.08,17803.56,23105.3,35734.86
Net Block,117.25,106.69,102.06,112.63,96.69,112.96,174.49,182.96,217.68,998.45
Capital Work in Progress,72.51,0.53,0.03,71.49,99.54,162.91,229.35,340.28,653.29,248.96
Investments,,663.94,760.01,1454.12,2637.15,3571,5242.56,4882.96,2534.46,3150.08
Other Assets,7173.29,5807.3,6318.56,6633.04,5258.63,6242.88,10598.68,12397.36,19699.87,31337.37
Total,7363.05,6578.46,7180.66,8271.28,8092.01,10089.75,16245.08,17803.56,23105.3,35734.86
Receivables,169.68,171.88,230.84,156.16,159.91,432.75,250.73,191.69,359.38,309.6
Inventory,4727.11,3923.08,3966.12,3733.4,2210.8,2125.31,4801.41,5668.31,12073.4,22564.62
Cash & Bank,695.41,105.64,110.42,332.7,342.6,506.98,673.25,1338.51,2015.94,2920.37
No. of Equity Shares,199357800,216260366,216364692,216480128,229323713,252023911,277943051,277988057,278021444,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-940.75,489.79,-566.29,1154.82,478.06,-231.69,-671.21,-451.68,-2860.64,-692.57
Cash from Investing Activity,-96.06,190.64,14.11,-973.43,-971.37,-1720.94,-3317.09,126.75,2564.15,-2079.76
Cash from Financing Activity,852.38,-554.36,334.74,-492.87,969.78,1974.18,4258.98,235.3,832.22,3257.95
Net Cash Flow,-184.43,126.07,-217.44,-311.48,476.47,21.55,270.68,-89.63,535.73,485.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,251.15,295.85,385.05,722.9,813.15,603.25,1406.75,1672.2,1031.05,2300.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
