COMPANY NAME,ELECTROSTEEL CASTINGS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,171.5,,,,,,,,,
Market Capitalization,10220.19,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2459.16,2401.82,2204.23,2079.12,2263.13,2699.44,2711.04,3474.2,5280.95,7275.51
Raw Material Cost,1225.23,1185.65,980.74,887.9,1028.51,1257.55,1275.04,1529.19,2865.03,4148.79
Change in Inventory,29.66,1.28,18.07,-35.9,11.02,52.1,97.95,-78.98,386.79,160.02
Power and Fuel,160.38,173.38,153,148.26,151.81,165.53,169.68,202.44,299.24,334.64
Other Mfr. Exp,181.45,200.13,237.23,252.58,168.06,186.43,203.89,373.62,486.76,637.76
Employee Cost,203.11,216.26,230,238.47,230.92,209.08,227.77,299.1,400.38,431.57
Selling and admin,221.49,207.5,183.26,89.97,273.26,291.25,310.99,384.85,699.45,864.97
Other Expenses,198.63,108.93,145.04,137.86,164.66,237.33,230.28,169.73,221.97,271.93
Other Income,27.87,59.44,6.98,100.49,80.28,-136.75,7.88,-193.96,58.74,76.62
Depreciation,56.36,70.61,67.25,66.9,62.4,58.51,57.15,89.99,114.68,121.2
Interest,150.46,156.57,180.33,210.35,210.28,234.65,227.58,208.36,194.68,285.89
Profit before tax,119.58,143.51,52.43,111.42,64.53,-25.54,114.49,-56.02,444.29,415.4
Tax,38.07,27.23,16.92,33.79,-1.09,-18,28.2,40.21,96.72,99.17
Net profit,-15.93,-116.09,-27.42,144.09,124.03,38.17,161.07,-91.2,347.28,315.8
Dividend Amount,22.35,23.2,17.85,17.85,10.71,,12.99,10.82,47.57,53.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1165.38,1438.18,1576.95,1767.13,1784.15,1851.86,1872.37,1685.04,1919.34,1869.38
Expenses,1034.06,1248.59,1359.62,1563.95,1629.82,1664.5,1679.67,1524.7,1618.97,1462.96
Other Income,21.28,12.49,8.57,16.34,16.95,15.34,36.29,26.99,18.18,22.78
Depreciation,29.27,27.32,30.58,30.17,30.14,30.2,30.68,30.24,30.44,29.6
Interest,40.38,44.86,52.74,62.15,69.29,77.21,77.24,56.92,57.28,53.12
Profit before tax,82.95,129.9,142.58,127.2,71.85,95.29,121.07,100.17,230.83,346.48
Tax,16.69,33.2,29.59,32.01,18.81,16.77,31.58,25.25,56.18,83.06
Net profit,66.22,96.63,112.93,95.09,52.85,78.43,89.43,74.86,174.57,263.37
Operating Profit,131.32,189.59,217.33,203.18,154.33,187.36,192.7,160.34,300.37,406.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,34.38,35.7,35.7,35.7,35.7,40.55,43.3,43.3,59.46,59.46
Reserves,2167.71,2034.5,2454.88,2349.22,2443.02,2595.13,2836.85,3666.57,4043.62,4323.18
Borrowings,2570.87,2572.08,2185.21,2056.95,1697.25,1761.14,1736.03,2137.53,2966.97,2667.39
Other Liabilities,683.33,575.42,1032.09,1077.5,1224.57,1024.59,976.61,1304.73,1553.77,1468.57
Total,5456.29,5217.7,5707.88,5519.37,5400.54,5421.41,5592.79,7152.13,8623.82,8518.6
Net Block,1181.66,1153.66,1779.95,1706.78,1677.67,1633.11,1703,2632.57,2763.22,2730.84
Capital Work in Progress,1217.95,1285.55,1278.42,1209.76,1201.78,1236.62,1165.62,1336.78,1207.77,1302.45
Investments,839.29,766.46,786.46,590.01,636.94,684.04,746.68,202.33,456.8,161.37
Other Assets,2217.39,2012.03,1863.05,2012.82,1884.15,1867.64,1977.49,2980.45,4196.03,4323.94
Total,5456.29,5217.7,5707.88,5519.37,5400.54,5421.41,5592.79,7152.13,8623.82,8518.6
Receivables,570.19,516.22,538.52,458.78,524.92,608.78,617.94,768.75,941.86,1056.43
Inventory,759.17,688.96,592.39,629.53,610.02,754.21,897.03,1228.88,2245.46,2269.21
Cash & Bank,267.22,245.28,140.3,356.57,228.59,150.06,99.88,510.47,518.77,412.02
No. of Equity Shares,343817322,356955322,356955322,356955322,356955322,405482183,432954709,432954709,594605247,594605247
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,109.18,443.31,532.88,421.31,450.49,-46.17,224.75,444.02,-279.09,452.2
Cash from Investing Activity,-176.68,-215.89,71.15,71.91,-69.16,33.28,-20.4,128.89,-328.79,168.3
Cash from Financing Activity,-87.52,-235.52,-592.32,-331.53,-574.47,-5.16,-219.9,-419.38,608.63,-603.73
Net Cash Flow,-155.02,-8.11,11.71,161.69,-193.14,-18.05,-15.56,153.53,0.74,16.76
,,,,,,,,,,
,,,,,,,,,,
