COMPANY NAME,ANUPAM RASAYAN INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,794.7,,,,,,,,,
Market Capitalization,8757.92,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,501.5,528.88,810.89,1073.77,1601.91
Raw Material Cost,,,,,,263.48,296.16,469.36,691.7,767.59
Change in Inventory,,,,,,6.4,85.62,130.4,321.8,64.04
Power and Fuel,,,,,,,,,,0.77
Other Mfr. Exp,,,,,,105.28,131.69,204.72,290.49,307.91
Employee Cost,,,,,,21.23,23.72,35.49,51.64,73.96
Selling and admin,,,,,,24.28,26.24,34.06,53.06,75.52
Other Expenses,,,,,,0.49,1.93,3.89,3.61,8.83
Other Income,,,,,,19.46,10.88,26.43,7.73,10.03
Depreciation,,,,,,22.53,28.71,51.65,60.12,71.08
Interest,,,,,,24.35,45.26,68.54,30.83,62.66
Profit before tax,,,,,,65.72,71.67,100.01,221.85,307.66
Tax,,,,,,15.51,18.47,29.71,69.68,90.82
Net profit,,,,,,49.25,53.21,70.3,152.18,180.85
Dividend Amount,,,,,,,,5,10.02,26.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,248.92,266.16,324.93,343.65,392.79,392.06,479.96,386.39,392.15,295.52
Expenses,184.96,191.1,219.93,245.08,281.98,280.81,362.66,284.97,284.67,216.44
Other Income,6.24,4.96,-7.37,-7.88,-9.65,-3.25,24.26,12.37,3.46,2.38
Depreciation,14.82,15.5,15.43,16.35,17.72,18.48,18.53,18.68,19.85,20.43
Interest,5.22,5.23,13.77,12.22,16.02,14.16,20.26,17.81,20.43,25.13
Profit before tax,50.16,59.29,68.43,62.12,67.42,75.36,102.77,77.3,70.66,35.9
Tax,14.11,21.39,22.33,20.16,19.61,20.93,30.13,25.05,21.97,9.88
Net profit,36.05,37.9,46.1,39.69,41.57,42.91,56.68,38.6,40.69,18.41
Operating Profit,63.96,75.06,105,98.57,110.81,111.25,117.3,101.42,107.48,79.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,50,50,99.92,100.25,107.47
Reserves,,,,,,432.48,515.41,1473.48,1626.6,2265.12
Borrowings,,,,,,669.76,818.52,423.14,836.21,821.71
Other Liabilities,,,,,,170.27,280.36,301.47,327.49,583.62
Total,,,,,,1322.51,1664.29,2298.01,2890.55,3777.92
Net Block,,,,,,680.89,977.34,1115.07,1202.23,1417.24
Capital Work in Progress,,,,,,190.62,100.95,43.22,43.7,120.34
Investments,,,,,,0.4,0.4,0.02,148.82,67.04
Other Assets,,,,,,450.6,585.6,1139.7,1495.8,2173.3
Total,,,,,,1322.51,1664.29,2298.01,2890.55,3777.92
Receivables,,,,,,120.59,129.49,205.49,280.1,415.08
Inventory,,,,,,195.37,297.04,492.22,863.19,931.47
Cash & Bank,,,,,,7.06,26.83,295.71,209.71,564.3
No. of Equity Shares,,,,,,50000000,50000000,99922391,100246885,107464617
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,38.92,94.94,1.46,-171.23,292.07
Cash from Investing Activity,,,,,,-250.22,-178.2,-193.08,-412.04,-522.66
Cash from Financing Activity,,,,,,205.74,101.87,415.77,384.36,370.65
Net Cash Flow,,,,,,-5.55,18.62,224.15,-198.91,140.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,489.15,824.45,865.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,5,5,9.99,10.02,10.74
