COMPANY NAME,CENTURY PLYBOARDS (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,646.85,,,,,,,,,
Market Capitalization,14379.05,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1347.66,1588.44,1640.94,1818.31,2023.94,2280.39,2317.03,2130.36,3027.02,3646.57
Raw Material Cost,789.52,889.02,829.57,908.12,1042.21,1176.14,1129.76,1002.31,1606.36,1868.26
Change in Inventory,6.7,46.33,10.43,13.03,56.23,25.2,-30.77,-38.23,104.28,-47.94
Power and Fuel,31.17,35.27,34.49,42.68,71,89.48,88.62,75.26,106.19,119.25
Other Mfr. Exp,31.87,39.64,34.29,35.81,50.08,57.2,52.96,48.18,66.7,78.19
Employee Cost,161.28,201.07,236.43,273.31,314.46,346.17,359.04,332.13,418.13,475.46
Selling and admin,119.05,161,166.63,192.39,202.93,242.75,243.54,243.69,335.17,378.3
Other Expenses,62.22,52.9,60.32,66.49,67.98,88.58,132.6,55.05,66.31,96.21
Other Income,2.66,17.73,5.83,21.99,7.41,3.48,12.69,5.51,21.48,23.4
Depreciation,38.71,48.47,47.46,59.34,90.66,59.48,76.31,68.65,74.28,77.51
Interest,60.34,45.57,47.88,30.21,35.83,46.94,38.9,12.79,11.43,16.98
Profit before tax,62.86,179.56,200.13,244.98,212.43,202.33,177.22,259.58,468.21,511.87
Tax,-0.47,29.6,30.38,51.5,46.29,53.46,51.94,68.36,155.04,127.81
Net profit,60.26,148.97,168.94,190.46,163.06,148.45,150.58,191.47,313.06,383.3
Dividend Amount,22.25,44.5,22.25,22.25,22.25,22.25,22.25,22.25,33.38,22.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,813.64,854.79,901.05,888.78,908.6,883.74,965.45,891,996.84,937.4
Expenses,653.88,704.65,740.32,745.64,785.57,755.06,801.63,757.82,852.54,831.32
Other Income,6.54,5.93,5.37,6.01,20.37,5.27,16.04,12.16,14.58,9.31
Depreciation,18.61,18.74,18.87,19.07,19.09,19.33,20.02,23.08,23.36,22.91
Interest,2.06,2.6,3.65,4.27,3.84,4.39,4.48,6.15,6.15,8.32
Profit before tax,145.63,134.73,143.58,125.81,120.47,110.23,155.36,116.11,129.37,84.16
Tax,46.21,40.84,54.82,33.19,25.98,27.87,40.77,28.99,32.25,21.49
Net profit,99.05,94.09,88.55,92.32,94.08,82.24,114.66,86.93,96.86,63.06
Operating Profit,159.76,150.14,160.73,143.14,123.03,128.68,163.82,133.18,144.3,106.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25
Reserves,270.83,367.13,506.58,692.65,829.3,952.67,1068.36,1245.15,1534.59,1892.07
Borrowings,580.09,513.79,474.24,611.43,575.43,531.92,295.07,164.7,236.43,326.75
Other Liabilities,150.34,163.58,171.45,257.18,296.16,303.85,273.87,379.32,437.15,474.96
Total,1023.51,1066.75,1174.52,1583.51,1723.14,1810.69,1659.55,1811.42,2230.42,2716.03
Net Block,316.41,245.59,250.25,312.06,655.04,842.54,784.67,761.93,776.48,1068.8
Capital Work in Progress,23.97,32.86,102.18,299.08,126.43,26.84,16,28.49,176.6,236.21
Investments,3.11,0.39,6.26,,0.02,0.34,0.22,110.8,0.31,0.13
Other Assets,680.02,787.91,815.83,972.37,941.65,940.97,858.66,910.2,1277.03,1410.89
Total,1023.51,1066.75,1174.52,1583.51,1723.14,1810.69,1659.55,1811.42,2230.42,2716.03
Receivables,208.87,268.35,284.24,342.18,357.2,295.68,256.84,302.68,352.44,390.34
Inventory,302.9,332.21,297.5,300.62,382.76,461.31,397.98,369.17,526.39,528.97
Cash & Bank,38.69,37.42,38.86,67.22,21.12,26.24,24.75,90.84,261.03,278.21
No. of Equity Shares,223552990,223552990,223552990,223552990,223552990,223552990,223552990,223552990,223552990,223552990
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,33.85,148.79,292.85,220.5,304.6,265.82,400.13,370.52,276.18,437.87
Cash from Investing Activity,-70.59,12.85,-138.89,-304.35,-250.37,-146.99,-24.55,-225.98,-319.85,-479.6
Cash from Financing Activity,-28.15,-157.67,-152.51,112.21,-100.31,-115.92,-377.4,-140.11,34.87,38.84
Net Cash Flow,-64.89,3.97,1.44,28.36,-46.08,2.91,-1.82,4.44,-8.8,-2.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,27.3,233.65,170.85,259.5,326.6,208.3,110.95,318.25,716.3,466.2
,,,,,,,,,,
