COMPANY NAME,ULTRATECH CEMENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,9463,,,,,,,,,
Market Capitalization,273235.88,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,23306.19,25153.24,25374.94,30978.62,41462.26,42429.89,44725.8,52598.83,63239.98,70908.14
Raw Material Cost,4151.05,4436.12,4416.9,5399.98,6936.74,6875.89,6635.66,8348.15,10233.17,11986.27
Change in Inventory,100.88,18.61,-75.69,111.2,-46.35,357.83,-450.15,383.16,518.21,83.35
Power and Fuel,5115.68,4579.25,4271.98,6334.07,9436.14,8516.87,8331.18,12137.26,18491.32,18283.32
Other Mfr. Exp,1908.68,1933.88,1991.28,2289.53,3001.06,3043.3,3067.38,3889.67,4344.34,
Employee Cost,1329.76,1466.49,1547.77,1831.81,2309.43,2522.64,2363.33,2545,2751.31,3037.58
Selling and admin,6944.03,7200.47,7149.12,8320.28,11563.8,11237.32,11266.02,13282.22,15859.6,
Other Expenses,-467.61,654.67,709.76,769.12,821.8,1345.73,1044.17,1265.34,1458.6,24715.76
Other Income,350.08,463.81,648.12,241.97,350.1,651.06,618.52,669.43,507.11,566.96
Depreciation,1203.42,1377.17,1348.41,1847.93,2450.73,2722.66,2700.23,2714.75,2887.99,3145.3
Interest,586.51,566.3,640.1,1237.6,1777.86,1991.65,1485.65,944.71,822.72,968
Profit before tax,2985.63,3421.31,3872.05,3301.47,3468.45,5182.72,8000.55,8524.32,7416.25,9422.22
Tax,883.52,941.69,1158.54,1077.01,1068.07,-568.16,2538.7,1190.06,2342.85,2418.26
Net profit,2098.34,2478.04,2714.92,2222.17,2403.51,5755.26,5463.1,7344.31,5063.96,7005
Dividend Amount,246.96,260.71,274.51,288.34,315.84,375.22,1068,1096.95,1097.02,2020.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,12984.93,15767.28,15163.98,13892.69,15520.93,18662.38,17737.1,16012.13,16739.97,20418.94
Expenses,10565.55,12694.53,12069.11,12027.54,13185.08,15339.89,14687.92,13461.24,13485.4,16305.02
Other Income,71.26,252.68,109.5,146.26,129.87,122.97,177.43,170.62,146.24,72.67
Depreciation,674.19,703.36,695.19,707.91,723.23,761.66,749.07,797.83,783.48,814.92
Interest,182.31,206.31,215.76,200.31,215.25,191.4,210.75,233.94,262.16,261.15
Profit before tax,1634.14,2415.76,2293.42,1103.19,1527.24,2492.4,2266.79,1689.74,2355.17,3110.52
Tax,-76,-197.99,711.4,344.49,464.66,822.3,576.57,409.36,580.39,851.94
Net profit,1707.72,2620.43,1584.08,755.73,1058.2,1665.95,1688.45,1281.45,1776.98,2258.12
Operating Profit,2419.38,3072.75,3094.87,1865.15,2335.85,3322.49,3049.18,2550.89,3254.57,4113.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,274.4,274.43,274.51,274.61,274.64,288.63,288.65,288.67,288.69,288.69
Reserves,18766.78,21671.2,24117.38,26106.55,33476.01,38755.13,43886.03,50146.6,54035.85,59938.79
Borrowings,9829.14,10615.99,8474.49,19480.22,25337,23018.96,21719.39,11298.8,11057.74,11402.95
Other Liabilities,9183.09,8631.49,9342.73,11279.71,17437.72,17151.09,20282.28,22077.37,25998.12,29171.58
Total,38053.41,41193.11,42209.11,57141.09,76525.37,79213.81,86176.35,83811.44,91380.4,100802.01
Net Block,23342.85,25309.42,25903.75,39715.3,56644.62,57150.96,55411.61,55487.57,59579,62906.02
Capital Work in Progress,2250.01,1469.09,921.48,1511.21,1153.32,919.59,1686.68,4784.67,4040.39,6782.77
Investments,4500.02,5095.18,6690.51,5446.9,2921.33,5928.69,12178.11,6335.77,7296.95,8248.95
Other Assets,7960.53,9319.42,8693.37,10467.68,15806.1,15214.57,16899.95,17203.43,20464.06,22864.27
Total,38053.41,41193.11,42209.11,57141.09,76525.37,79213.81,86176.35,83811.44,91380.4,100802.01
Receivables,1658.82,1928.21,1757.09,2220.63,2787.03,2383.22,2571.73,3071.61,3867.02,4278.16
Inventory,2949.12,2454.58,2400.64,3267.59,4098.96,4183.35,4017.97,5595.58,6611.83,8329.74
Cash & Bank,370.6,2266.96,2248.78,219.07,739.68,539.91,2007.55,359.18,1149.59,783.21
No. of Equity Shares,274404627,274431377,274507906,274613985,274642720,288625105,288653398,288670847,288686345,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,4190.18,4525.51,5005.02,3887.72,5956.11,8972.43,12500.43,9283.24,9068.51,10897.54
