COMPANY NAME,AU SMALL FINANCE BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,627.95,,,,,,,,,
Market Capitalization,46628.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,703.92,1010.46,1280,1767.19,2949.13,4285.88,4950.05,5921.73,8205.41,10554.71
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,1.36,1.33,9.57,39.47,76.05,81.08,92.31,125.35,168.92,
Employee Cost,94.68,158.13,192.94,425.68,601.97,760.99,981.99,1381.59,1796.44,2103.68
Selling and admin,42.1,76.71,53.93,160.67,190.03,250.48,260.11,440.25,724.68,
Other Expenses,71.31,52.89,509.45,206.1,294.58,519.89,889.09,686.38,719.64,2723.06
Other Income,2.39,5.02,809.96,388.06,461.91,706.09,1420.93,993.69,1034.46,1669.09
Depreciation,6.52,8.52,5.78,53.25,61.75,88.62,104.37,140.17,185.42,
Interest,281.97,395.25,496.31,826.73,1606.53,2376.94,2584.61,2687.61,3780.13,5397.63
Profit before tax,208.37,322.65,821.98,443.35,580.13,913.97,1458.5,1454.07,1864.64,1999.43
Tax,68.14,111.03,,151.31,198.32,239.19,287.82,324.24,436.72,464.71
Net profit,140.23,211.62,821.98,292.04,381.81,674.78,1170.68,1129.83,1427.93,1534.72
Dividend Amount,,,,14.28,21.93,,,15.74,66.68,66.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1496.45,1667.03,1820.2,1992.29,2118.07,2274.85,2458.34,2531.05,2735.82,2829.5
Expenses,693.6,858.82,779.45,874.88,924.55,1016.22,1048.27,1141.04,1276.41,1361.01
Other Income,275.64,311.37,159.15,247.36,294.89,333.06,315.12,425.46,449.69,478.82
Depreciation,,,,,,,,,,
Interest,676.03,730.47,844.2,908.94,965.34,1061.65,1212.13,1282.09,1410.95,1492.47
Profit before tax,402.46,389.11,355.7,455.83,523.07,530.04,513.06,533.38,498.15,454.84
Tax,100.42,43.03,87.83,113.23,130.24,105.41,126.16,131.55,122.9,84.1
Net profit,302.05,346.07,267.87,342.6,392.83,424.63,386.9,401.83,375.25,370.74
Operating Profit,802.85,808.21,1040.75,1117.41,1193.52,1258.63,1410.07,1390.01,1459.41,1468.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,44.08,44.08,284.25,285.7,292.36,304.12,312.21,314.9,666.75,
Reserves,766.68,965.35,1703.34,1995.48,2695.53,4072.68,5963.01,7199.11,10310.6,
Borrowings,2878.31,4782.62,7119.89,15562.18,28035.8,36499.25,43009.01,58575.4,75663.64,
Other Liabilities,346.28,502.17,673.75,989.42,1599.11,1267.02,2307.08,2988.39,3575.13,
Total,4035.35,6294.22,9781.23,18832.78,32622.8,42143.07,51591.31,69077.8,90216.12,
Net Block,18.51,24.21,35.98,380.38,439.68,438.26,477.37,608.67,707.29,
Capital Work in Progress,0.47,0.39,239.87,5.71,7.35,9.74,5,13.9,32.85,
Investments,139.84,231.57,2150.31,3050.59,7161.67,10668.22,10815.41,15306.5,20072.01,
Other Assets,3876.53,6038.05,7355.07,15396.1,25014.1,31026.85,40293.53,53148.73,69403.97,
Total,4035.35,6294.22,9781.23,18832.78,32622.8,42143.07,51591.31,69077.8,90216.12,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,202.92,123.43,624.96,1761.22,1740.19,3369.68,4781.34,5928.52,9425.17,
No. of Equity Shares,44080752,44080752,284250906,285703620,292357486,304123327,312213390,314900031,666745000,
New Bonus Shares,,,228625755,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-747.14,-1938.04,-2404.86,2504.77,847.78,659.57,5056.1,6848.98,5493.64,2608.07
Cash from Investing Activity,-22.84,-33.37,552.44,-1889.55,-2304.59,-1267.45,-989.74,-4753.37,-4319.5,-4854.76
Cash from Financing Activity,782.42,1963.93,2447.97,521.04,1435.79,2237.36,-2654.7,-948.44,2322.52,-802.15
Net Cash Flow,12.43,-7.48,595.55,1136.26,-21.03,1629.49,1411.66,1147.18,3496.66,-3048.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,309.03,297.8,252.68,613.93,623.13,579.2,565
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,8.82,8.82,56.85,57.14,58.47,60.82,62.44,62.98,66.67,66.92
