COMPANY NAME,HERITAGE FOODS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,339.8,,,,,,,,,
Market Capitalization,3156.72,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1722.04,2072.97,2380.58,1894.13,2373.09,2514.75,2725.9,2473.11,2681.28,3240.65
Raw Material Cost,1352.69,1679.56,1906.75,1403.68,1891.43,1860.82,2238.31,1798.89,1988.32,2674.96
Change in Inventory,8.88,50.79,28.08,-33.18,43.39,-33.27,13.75,31.3,-6.01,174.58
Power and Fuel,37.64,36.38,41.01,26.97,29.36,32.19,37.83,35.55,36.78,49.97
Other Mfr. Exp,21.74,71.31,23.13,81.72,103.86,113.42,34.61,100.99,124.61,160.32
Employee Cost,100.17,110.84,140.13,99.79,124.18,141.83,156.39,177.89,184.29,211.49
Selling and admin,118.87,135.5,162.21,91.87,123.44,131.26,131.93,110.51,132.47,167.52
Other Expenses,2.74,6.49,3.09,23.31,398.98,145.37,523.02,19.24,22.37,19.4
Other Income,4.45,7.18,5.18,250.97,402.25,138.32,302.65,7.28,1.7,12.06
Depreciation,25,33.99,34.51,24.97,37.83,44.66,50.13,46.23,52.18,56.15
Interest,15.31,17.58,17.03,49.44,19.8,22.98,24.13,20.62,5.64,5.74
Profit before tax,61.21,39.29,85.98,310.17,89.85,127.27,-154.05,201.77,130.31,81.74
Tax,15.9,10.93,30.55,32.4,27.13,44.68,15.34,53.47,34.22,23.76
Net profit,45.3,28.36,55.43,275.09,62.77,81.43,-160.31,149.95,96.57,57.98
Dividend Amount,6.96,6.96,6.96,9.28,9.28,9.28,11.6,23.2,23.2,23.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,670.3,667.03,695.89,820.92,816.15,785.99,817.6,923.68,978.55,941.1
Expenses,606.61,627.82,666.06,798.88,778.56,755.41,778.1,885.09,933.1,890.74
Other Income,-6.24,2.95,2.23,2.65,2.9,3.16,3.37,2.65,1.8,3
Depreciation,13.04,12.93,13.45,13.44,13.83,14.25,14.62,14.6,15.03,15.52
Interest,0.92,0.61,1.06,0.69,0.33,0.47,2.42,3.11,1.54,1.79
Profit before tax,43.49,28.62,17.55,10.56,26.33,19.02,25.83,23.53,30.68,36.05
Tax,10.78,7.92,5.15,3.29,7.29,5.3,7.9,6.79,8.27,9.15
Net profit,32.77,20.82,12.69,7.28,19.05,13.73,17.93,16.74,22.41,26.9
Operating Profit,63.69,39.21,29.83,22.04,37.59,30.58,39.5,38.59,45.45,50.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,46.4
Reserves,155.56,169.73,216.7,564.42,751.28,776.17,433.2,569.44,631.16,676.28
Borrowings,141.54,157.4,126.03,157.71,279.98,299.36,305.85,68.64,19.47,168.18
Other Liabilities,171.53,175.43,208.94,250.49,652.15,535.79,225.96,217.23,228.75,234.16
Total,491.83,525.76,574.87,995.82,1706.61,1634.52,988.21,878.51,902.58,1125.02
Net Block,271.48,280.65,312.03,296.29,433.06,475.56,481.09,579.83,579.31,621.62
Capital Work in Progress,11.12,9,9.59,7.56,8.73,41.79,77.3,18.32,8.04,20.04
Investments,0.66,0.81,0.82,478.02,1001.73,835.02,152.32,13.2,17.68,14.72
Other Assets,208.57,235.3,252.43,213.95,263.09,282.15,277.5,267.16,297.55,468.64
Total,491.83,525.76,574.87,995.82,1706.61,1634.52,988.21,878.51,902.58,1125.02
Receivables,16.61,24.24,28.79,15.48,12.89,42.35,21.89,15.22,18.48,28.01
Inventory,108.55,139.37,144.91,122.69,154.75,138.36,144.68,198.27,205.84,378.95
Cash & Bank,44.54,40.78,45.32,54.94,68.82,74.75,58.25,23.56,35.61,19.16
No. of Equity Shares,23199000,23199000,23199000,23199000,46398000,46398000,46398000,46398000,46398000,92796000
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,74.75,51.59,124.92,114.67,121.19,147.95,116.71,173.92,147.92,-60.51
Cash from Investing Activity,-61.67,-47.48,-65.88,-125.82,-200.04,-133.12,-97.06,68.83,-42.45,-82.62
Cash from Financing Activity,-1.01,-7.88,-54.57,-12.62,55.47,-3.29,-21.7,-191.31,-92.66,126.35
Net Cash Flow,12.07,-3.76,4.46,-23.78,-23.38,11.55,-2.04,51.44,12.82,-16.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,50.89,82.67,129.99,272.13,353.96,275.64,107.76,149.24,162.4,144.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
