COMPANY NAME,INFIBEAM AVENUES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,31.3,,,,,,,,,
Market Capitalization,8713.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,207.34,288.2,336.95,441.34,839.32,1159.07,632.72,676.04,1293.93,1962.34
Raw Material Cost,171.73,226.28,243.69,258.55,290.07,212.02,,,,
Change in Inventory,3.39,3.65,11.5,-14.36,2.19,9.44,,,,
Power and Fuel,0.72,1.05,1.17,1.03,1.68,2.24,1.11,1,1.1,1.5
Other Mfr. Exp,1.78,4.35,6.4,5.13,186.31,398.88,401.11,446.45,1039.73,1641.9
Employee Cost,22.34,21.08,54.13,56.95,69.85,81.46,54.34,61.65,81.9,107.93
Selling and admin,28.76,33.91,45.54,60.69,131.7,293.15,22.01,17.61,17.73,24.27
Other Expenses,5.8,7.49,-24.41,-22.03,5.87,4.58,5.6,7.09,8.05,11.5
Other Income,1.72,6.64,5.48,16.36,31.33,65.95,72.7,18.63,17.86,70.73
Depreciation,7.42,13.1,17.54,22.48,66.43,82.21,87.33,75.06,62.64,61.6
Interest,0.79,1.37,1.15,4.26,5.73,6.45,4.24,4.05,2.29,2.15
Profit before tax,-26.89,-10.14,8.72,56.28,115.2,153.47,129.68,81.76,98.35,182.22
Tax,0.01,-0.02,-0.06,12.75,27.06,27.15,21.63,11.52,14.7,45.95
Net profit,-25.95,-10.11,9.37,44.11,88.22,127.02,107.99,72.33,86.52,139.6
Dividend Amount,,,,,2.64,,6.65,6.66,13.38,13.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,310.99,397.03,369.49,418.31,476.66,414.7,652.67,742.36,789.93,911.96
Expenses,276.51,359.17,327.1,377.07,437.7,367.16,605.53,693.53,719.8,845.37
Other Income,5.46,6.26,2.57,3.7,32.76,13.48,20.95,3.43,2.67,6.37
Depreciation,16.43,13.23,16.34,14.67,14.88,16.08,15.98,16.47,17.11,17.35
Interest,0.41,0.49,0.3,0.38,0.52,0.36,0.69,0.63,0.53,0.43
Profit before tax,23.1,30.4,28.32,29.89,56.32,44.58,51.42,35.16,55.16,55.18
Tax,5.24,6.23,0.08,7.3,16.46,9.2,12.99,9.7,14.7,14.38
Net profit,18.58,25.02,28.86,23.74,40.74,35.81,39.3,26.06,40.98,41.44
Operating Profit,34.48,37.86,42.39,41.24,38.96,47.54,47.14,48.83,70.13,66.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,39.57,42.56,53.09,53.89,54.28,66.34,66.47,133.11,267.63,267.78
Reserves,42.93,170.11,609.95,728.83,2561.59,2661.3,2736.86,2755.09,2690.27,2897.71
Borrowings,8.6,4.95,5.69,136.23,67.02,40.3,26.37,19.83,7.43,8.03
Other Liabilities,43.53,50.39,81.29,124.46,285.4,405.6,299.91,641.57,888.95,930.5
Total,134.63,268.01,750.02,1043.41,2968.29,3173.54,3129.61,3549.6,3854.28,4104.02
Net Block,44.7,50.8,67.04,90.34,2114.54,2101.71,2125.93,2100.77,2080.5,2143.32
Capital Work in Progress,8.26,26.21,19.25,120.58,59.51,32.47,,15.84,146.26,74.32
Investments,,,,60,26.58,101.66,392.1,456.69,393.97,461.12
Other Assets,81.67,191,663.73,772.49,767.66,937.7,611.58,976.3,1233.55,1425.26
Total,134.63,268.01,750.02,1043.41,2968.29,3173.54,3129.61,3549.6,3854.28,4104.02
Receivables,17.05,33.11,47.97,55.5,110.7,24.45,53.35,72.91,80.92,65.03
Inventory,8.63,12.28,23.78,9.42,11.61,,,,,
Cash & Bank,4.34,60.17,516.59,306.7,182.96,132.79,98.87,178.16,209.52,272.43
No. of Equity Shares,39571000,42560480,53091321,53893920,542783390,663392240,664720260,1331053580,2676310462,2677781182
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-10.74,-20.95,23.92,59.32,97.32,308.11,22.4,154.95,122.01,113.02
Cash from Investing Activity,-16.98,-90.98,-2.98,-558.4,19.89,-280.38,-41.68,-54.52,-54.81,-88.48
Cash from Financing Activity,29.75,123.24,440.46,161.53,-96.77,-54.32,-26.08,-9.36,-35.81,36.68
Net Cash Flow,2.03,11.32,461.4,-337.55,20.44,-26.59,-45.36,91.06,31.39,61.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,22.82,35.77,10.35,8.21,23.73,19.35,14.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,158.2,170.2,212.4,215.6,217.12,265.36,265.88,266.21,267.63,267.78
