COMPANY NAME,YES BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,22.6,,,,,,,,,
Market Capitalization,64930.54,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,11572.01,13533.44,16425,20268.59,29623.8,26052.02,20039.28,19018.77,22702.16,27605.87
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,15.96,16.19,20.49,34.8,42.33,35.79,32.68,37.14,54.32,
Employee Cost,987.87,1321.09,1843.16,2236.8,2542.77,2697.11,2520.53,2963.35,3480,3887.32
Selling and admin,457.16,544.91,683.89,812.01,816.89,824.77,720.57,751.55,904.62,
Other Expenses,1087.27,1547.3,2242.65,3511.81,8431.54,35688.65,11663.39,4306.02,6173.31,8008.63
Other Income,2047.91,2729.42,4217.8,5293.15,4675.48,11956.1,3107.08,3404.75,4124.6,5355.02
Depreciation,86.07,111.84,172.61,232.36,305.45,341.93,360.03,403.33,433.42,
Interest,8083.38,8965.41,10626.53,12529.43,19811.29,19258.06,12610.93,12528.44,14799.76,19527.25
Profit before tax,2902.21,3756.12,5053.47,6204.53,2349.01,-20838.19,-4761.77,1433.69,981.33,1537.69
Tax,904.78,1226.43,1713.58,1971.32,639.74,-4405.62,-1272.85,369.64,245.51,252.49
Net profit,1997.42,2529.69,3339.89,4233.22,1709.27,-16432.58,-3488.93,1064.05,735.82,1285.2
Dividend Amount,375.97,420.53,547.79,621.8,463.01,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,4896.61,4946.74,5134.95,5475,5873.75,6218.45,6445.36,6713.96,6988.73,7457.81
Expenses,2173.81,2234.88,2213.9,2703.09,3006.15,2880.93,2725.67,2882.62,2947.96,3339.7
Other Income,767.72,925.86,784.63,930.72,1112.95,1054.72,1191.86,1266.65,1254.73,1641.79
Depreciation,,,,,,,,,,
Interest,3135.15,3130.1,3287.06,3487.46,3908.12,4117.12,4449.28,4793.61,4975.06,5309.3
Profit before tax,355.37,507.62,418.62,215.17,72.43,275.12,462.27,304.38,320.44,450.6
Tax,89.61,135.74,104.48,54.76,17.36,68.91,115.59,75.74,77.85,-16.69
Net profit,265.76,371.88,314.14,160.41,55.07,206.21,346.68,228.64,242.59,467.29
Operating Profit,2722.8,2711.86,2921.05,2771.91,2867.6,3337.52,3719.69,3831.34,4040.77,4118.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,417.74,420.53,456.49,460.59,463.01,2510.09,5010.98,5010.99,5750.96,
Reserves,11247.79,13341.85,21583.14,25291.91,26424.4,19184.87,28127.31,28687.98,34018.83,
Borrowings,117379.18,143363.16,181464.11,275582.18,335982.01,219101.67,226795.01,269402.76,295136.17,
Other Liabilities,7098.26,8117.08,11555.95,11114.97,17990.19,17035.53,13660.14,15476.01,20298.17,
Total,136142.97,165242.62,215059.69,312449.65,380859.61,257832.16,273593.44,318577.74,355204.13,
Net Block,296.09,414.22,611.55,765.14,778.45,729.52,2095.6,2015.82,2155.71,
Capital Work in Progress,25.73,60.36,75.24,72.15,51.44,293.86,62.78,125.19,295.77,
Investments,43193.49,48788.47,49981.8,68293.44,89328.53,43747.8,43114.65,51753.99,76749.3,
Other Assets,92627.66,115979.57,164391.1,243318.92,290701.19,213060.98,228320.41,264682.74,276003.35,
Total,136142.97,165242.62,215059.69,312449.65,380859.61,257832.16,273593.44,318577.74,355204.13,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,7557.4,8218.9,19554.66,24753.82,26984.93,8430.36,29325.25,46748.2,19356.01,
No. of Equity Shares,417736098,420531641,456485813,2302967245,2315033039,12550472231,25054905981,25054952981,28754775334,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-2317.02,-304.36,4384.14,-21810.44,-24573.3,-57721.22,55395.71,23597.74,-25816.26,9644.55
Cash from Investing Activity,-3591.23,-4022.88,-4477.6,-8738.32,-6234.91,14128.34,441.23,-14565.96,-13026.32,-12430.95
Cash from Financing Activity,7573.96,4988.75,11429.21,35747.92,33039.32,25038.31,-34942.04,8391.16,11450.38,2770.82
Net Cash Flow,1665.71,661.51,11335.75,5199.16,2231.11,-18554.57,20894.89,17422.95,-27392.19,-15.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,163.15,173.01,309.35,304.85,275.1,22.45,15.6,12.3,15.05,23.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
