COMPANY NAME,TATA CONSULTANCY SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,3960.2,,,,,,,,,
Market Capitalization,1434367.87,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,94648.41,108646,117966,123104,146463,156949,164177,191754,225458,240893
Raw Material Cost,,,94,86,40,18,14,29,37,42
Change in Inventory,,,1,,,,,,,
Power and Fuel,573.87,,,,,,,,,
Other Mfr. Exp,24485.93,2571,2715,2614,2230,1887,1448,1134,1844,3660
Employee Cost,38701.15,55348,61621,66396,78246,85952,91814,107554,127522,140131
Selling and admin,4842.25,15589,16392,16808,20387,20527,18322,23187,28913,24151
Other Expenses,1563.5,4461,4834,4684,6054,6456,6033,6793,7883,8613
Other Income,3719.66,3084,4221,3642,4311,4592,1916,4018,3449,3464
Depreciation,1798.69,1888,1987,2014,2056,3529,4065,4604,5022,4985
Interest,104.19,33,32,52,198,924,637,784,779,778
Profit before tax,26298.49,31840,34513,34092,41563,42248,43760,51687,56907,61997
Tax,6238.79,7502,8156,8212,10001,9801,11198,13238,14604,15898
Net profit,19852.18,24270,26289,25826,31472,32340,32430,38327,42147,45908
Dividend Amount,15473.73,8569.5,9259,9550,11250,27375,14060,15738,42090,26426
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,48885,50591,52758,55309,58229,59162,59381,59692,60583,61237
Expenses,35452,36746,39342,40793,42676,43388,44383,43946,44195,44073
Other Income,1205,981,789,965,520,1175,1397,1006,-96,1157
Depreciation,1196,1217,1230,1237,1269,1286,1243,1263,1233,1246
Interest,251,245,199,148,160,272,163,159,230,226
Profit before tax,13191,13364,12776,14096,14644,15391,14989,15330,14829,16849
Tax,3385,3405,3257,3631,3761,3955,3869,3950,3732,4347
Net profit,9769,9926,9478,10431,10846,11392,11074,11342,11058,12434
Operating Profit,13433,13845,13416,14516,15553,15774,14998,15746,16388,17164
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,195.87,197,197,191,375,375,370,366,366,362
Reserves,50438.89,70875,86017,84937,89071,83751,86063,88773,90058,90127
Borrowings,357.7,245,289,247,62,8174,7795,7818,7688,8021
Other Liabilities,22325.46,16974,15830,19751,24393,27820,35764,43967,44747,46962
Total,73317.92,88291,102333,105126,113901,120120,129992,140924,142859,145472
Net Block,11638.17,11774,11701,11973,12290,20928,21021,21298,20515,19604
Capital Work in Progress,2766.37,1670,1541,1278,963,906,926,1205,1234,1564
Investments,1661.78,22822,41980,36008,29330,26356,29373,30485,37163,31762
Other Assets,57251.6,52025,47111,55867,71318,71930,78672,87936,83947,92542
Total,73317.92,88291,102333,105126,113901,120120,129992,140924,142859,145472
Receivables,20437.94,24073,22617,24943,27346,30532,30079,41810,49954,53577
Inventory,16.07,16,21,26,10,5,8,20,28,28
Cash & Bank,18556.04,6788,4149,7161,12848,9666,9329,18221,11032,13286
No. of Equity Shares,1958727979,1970427941,1970427941,1914287591,3752384706,3752384706,3699051373,3659051373,3659051373,3618087518
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,19368.78,19109,25223,25067,28593,32369,38802,39949,41965,44338
Cash from Investing Activity,-1807.14,-5010,-16895,3104,1645,8968,-7956,-738,548,6091
Cash from Financing Activity,-17167.61,-9666,-11026,-26885,-27897,-39915,-32634,-33581,-47878,-48536
Net Cash Flow,394.03,4433,-2698,1286,2341,1422,-1788,5630,-5365,1893
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1276.98,1260.15,1215.9,1424.58,2001.65,1826.1,3177.85,3739.95,3205.9,3876.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,391.75,394.09,394.09,382.86,375.24,375.24,369.91,365.91,365.91,361.81
