COMPANY NAME,DR REDDY'S LABORATORIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,5877.35,,,,,,,,,
Market Capitalization,98040.89,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,15023.3,15568.3,14196.1,14281,15448.2,17517,19047.5,21545.2,24669.7,28011.1
Raw Material Cost,3842.2,3854.2,3819.8,4081,4770.2,5530.7,6869.4,7796.1,7586.8,8889.2
Change in Inventory,55.8,95.7,123.3,41.5,275.4,-23.7,790.5,353.9,-70.9,680.5
Power and Fuel,339.1,315.2,330.1,329.3,329.1,314.8,320.5,390.5,477.4,
Other Mfr. Exp,1038.6,1027.7,852.1,1746.5,1434.8,1445.4,1574.4,1602.2,1738.6,
Employee Cost,2952.6,3125.2,3114.2,3221,3364.2,3391,3639,3897.9,4658,5030.1
Selling and admin,3100.3,2999.2,3279.7,2100,2227.3,2173.4,2389.2,2964,3120.9,6838.9
Other Expenses,298.3,757.2,451.3,493.5,419.8,2160.9,1171.4,1480.7,547,0.3
Other Income,259.7,295,171.5,155.2,381.3,670,335.2,554.7,971.4,909
Depreciation,759.9,938.9,1026.6,1077.2,1134.8,1163.1,1228.8,1165.2,1250.2,1470
Interest,108.2,82.6,63.4,78.8,88.9,98.3,97,95.8,142.8,171.1
Profit before tax,2899.6,2858.8,1553.7,1350.4,2335.8,1885.7,2883.5,3061.4,6048.5,7201
Tax,563.2,751.1,296.5,438,385.8,-140.3,931.9,878.9,1541.2,1623.1
Net profit,2336.4,2130.6,1292.1,946.8,1950,2026,1951.6,2182.5,4507.3,5577.9
Dividend Amount,340.8,341.2,331.6,332,332,415.5,416,499.2,666.4,667.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,5338.3,5474.9,5232.9,6331.8,6789.9,6315.2,6757.9,6902.6,7236.8,7113.8
Expenses,4122.6,5023.9,4291.7,4432.9,4851.3,4781.3,4695.8,4894.3,5213.7,5282.6
Other Income,74.3,132.4,863.3,54.8,64.6,146.1,178.3,319.2,218.9,201
Depreciation,294.2,293,301.8,309.2,323.7,315.5,353.3,375.5,373.5,367.7
Interest,21.6,31.5,34.7,30.9,41.8,35.4,37.1,35.3,39.4,59.3
Profit before tax,974.2,258.9,1468,1613.6,1637.7,1329.1,1850,1916.7,1829.1,1605.2
Tax,264.9,161.9,279,499.4,393.8,369,445,434.5,448.2,295.4
Net profit,709.3,97,1189,1114.2,1243.9,960.1,1405,1482.2,1380.9,1309.8
Operating Profit,1215.7,451,941.2,1898.9,1938.6,1533.9,2062.1,2008.3,2023.1,1831.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,85.2,85.3,82.9,83,83,83.1,83.2,83.2,83.3,83.4
Reserves,9767.9,12484.5,12179.2,12488.6,13940.6,15515.7,17558.5,19129.2,23202.8,28171.4
Borrowings,4314.1,3352.1,4918.5,5071.4,3838.1,2210.2,3030.8,3384.5,1347.2,2002
Other Liabilities,4289.9,4408.5,4473.9,4706.3,4556.6,5414.3,5915.4,7148.6,7575.8,8607
Total,18457.1,20330.4,21654.5,22349.3,22418.3,23223.3,26587.9,29745.5,32209.1,38863.8
Net Block,5377,6563,6930.7,6968,7191,6850.3,8205.7,8121.5,9219.1,10493.9
Capital Work in Progress,529,772.2,3324.5,3470.5,2933.5,1535.1,1565.1,1293.4,1030.1,1351
Investments,2247.8,3833.1,2109.7,2298.3,2587.1,2677.8,2211.8,2615.9,4985.8,4930.5
Other Assets,10303.3,9162.1,9289.6,9612.5,9706.7,12160.1,14605.3,17714.7,16974.1,22088.4
Total,18457.1,20330.4,21654.5,22349.3,22418.3,23223.3,26587.9,29745.5,32209.1,38863.8
Receivables,4101.2,4125,3798.6,4052.7,3986.9,5027.8,4964.1,6676.4,7248.5,8029.8
Inventory,2569.9,2557.9,2852.8,2908.9,3357.9,3506.7,4541.2,5088.4,4867,6355.2
Cash & Bank,1872.4,492.1,386.5,263.8,222.8,205.3,2078.8,2419.2,1730.2,1727.7
No. of Equity Shares,170381170,170607853,165741913,165910907,166065948,166172082,166301231,166425849,166527876,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,2523.5,3262.6,2144.4,1803,2870.4,2984.1,3570.3,2810.8,5887.5,4543.3
Cash from Investing Activity,-2369.8,-1609.9,-1889.6,-1482.6,-769.2,-494.8,-2254.7,-2565.4,-4108.7,-4028.3
Cash from Financing Activity,-433.2,-1700.1,-369.1,-444,-2132.6,-2515.9,-29.8,-242.2,-2686.1,-376.3
