COMPANY NAME,RBL BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,239.9,,,,,,,,,
Market Capitalization,14518.53,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1953.09,2744.31,3713.16,4507.57,6300.71,8514.38,8329.02,8175.79,9129.85,12394.3
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,6.83,6.5,3.74,6.3,36.99,35.73,165.04,215.22,227.99,
Employee Cost,301.17,370.48,446.96,551.55,637.34,770.23,847.76,1004.86,1343.73,1492.23
Selling and admin,106.6,131.83,173.07,221.72,279.15,342.24,361.45,441.08,523.39,
Other Expenses,212.03,324.57,610.05,1001.41,1607.31,3500.61,3450,4657.2,3468.87,6341.27
Other Income,403.41,490.54,755.46,1068.19,1442.37,1910.25,1884.04,2340.53,2489.43,3042.89
Depreciation,33.21,48.36,61.5,86.96,121.91,138.3,158.28,163.99,196.41,
Interest,1396.72,1925.1,2491.82,2741.28,3761.23,4884.74,4541.45,4149.05,4678.39,6351.41
Profit before tax,299.94,428.01,681.48,966.54,1299.15,752.78,689.08,-115.08,1180.5,1252.28
Tax,92.77,135.53,235.43,331.46,432.2,247.11,181.3,-40.35,297.78,84.36
Net profit,207.18,292.48,446.05,635.09,866.95,505.67,507.78,-74.74,882.72,1167.92
Dividend Amount,35.21,48.71,67.54,88.13,115.21,76.3,,,89.94,90.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2044.2,2130.96,2089.34,2285.57,2497.76,2642.32,2855.88,3007.95,3191.38,3339.09
Expenses,1386.5,1385.94,1365.18,1486.79,1621.24,1672.31,1726.31,2088.79,2016.32,2002.08
Other Income,582.97,511.35,613.57,583.32,618.43,674.11,685.41,704.44,777.57,875.47
Depreciation,,,,,,,,,,
Interest,1033.78,999.62,1061.61,1111.25,1220.49,1285.04,1433.68,1532.97,1645.52,1739.24
Profit before tax,206.89,256.75,276.12,270.85,274.46,359.08,381.3,90.63,307.11,473.24
Tax,50.79,58.92,74.96,69.3,65.49,88.03,93.19,-203.45,74.02,120.6
Net profit,156.1,197.83,201.16,201.55,208.97,271.05,288.11,294.08,233.09,352.64
Operating Profit,657.7,745.02,724.16,798.78,876.52,970.01,1129.57,919.16,1175.06,1337.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,293.45,324.73,375.2,419.67,426.71,508.7,598.02,599.51,599.57,
Reserves,1935.95,2664.5,3960.37,6264.3,7120.61,10074.25,12064.56,12018.73,12977.02,
Borrowings,24061.95,34884.87,42567.85,53163.7,70226.49,74818.95,84347.16,90099.57,98217.8,
Other Liabilities,812.3,1286.99,1771.35,2003.09,2585.01,3575.87,3640.87,3490.77,4081.79,
Total,27103.65,39161.09,48674.77,61850.76,80358.82,88977.77,100650.61,106208.58,115876.18,
Net Block,153.33,158.24,224.16,302.71,362.54,407.67,442.36,466.56,528.68,
Capital Work in Progress,10.09,19.05,34.55,31.29,39.94,62.09,24.12,81.55,45.3,
Investments,9792.3,14436.03,13481.71,15447.5,16840.36,18149.74,23230.42,22274.35,28875.45,
Other Assets,17147.93,24547.77,34934.35,46069.26,63115.98,70358.27,76953.71,83386.12,86426.75,
Total,27103.65,39161.09,48674.77,61850.76,80358.82,88977.77,100650.61,106208.58,115876.18,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,2170.33,2449.92,4193.65,4284.44,6602.11,8857.18,13424.22,17547.7,8520.03,
No. of Equity Shares,293449630,324728130,375203136,419667547,426709728,508698564,598020398,599513763,599568063,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-2260.51,-4384.2,3433.65,-2527.81,-30.89,-5084.09,7596.9,6449.46,-11044.09,4934.95
Cash from Investing Activity,-58.37,-60.43,-142.18,-162.19,-190.41,-205.57,-156.78,-245.97,-222.56,-172.45
Cash from Financing Activity,3075.68,4039.88,-1656.14,2994.79,2566.64,7697.67,-4206.74,-113.77,2238.94,842.1
Net Cash Flow,756.8,-404.75,1635.33,304.8,2345.34,2408.01,3233.38,6089.72,-9027.7,5604.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,494.55,479.85,680.35,135.5,207.55,130.2,141.1,240.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,29.34,32.47,37.52,41.97,42.67,50.87,59.8,59.95,59.96,60.51
