COMPANY NAME,SHARDA MOTOR INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1454.25,,,,,,,,,
Market Capitalization,4318.04,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,821.16,874.54,926.84,1041.89,1155.45,1139.87,862.99,1736.54,2255.31,2699.94
Raw Material Cost,590.27,626.23,645.67,714.22,791.86,779.61,582.59,1426.91,1818.57,2164.26
Change in Inventory,0.84,5.26,-3.31,-1.95,2.31,3.26,-3.29,7.46,12.48,0.42
Power and Fuel,10.97,12.48,12.93,13.24,12.71,11.48,6.76,7.37,8.61,11.31
Other Mfr. Exp,53.79,53.05,57.78,64.14,71.92,61.14,35.53,48.52,61.18,79.93
Employee Cost,48.77,57.78,69.66,72.97,82.16,85.96,85.15,81.77,92.55,98.69
Selling and admin,30.44,27.35,29.79,36.36,43.08,50.57,45.03,38.28,47.2,47.89
Other Expenses,13.22,11.41,7.81,9.18,10.58,9.04,8.75,11.91,11.55,16.53
Other Income,9.35,9.8,10.47,4.7,17.21,21.98,23.73,21.45,29.2,41.74
Depreciation,45.55,52,47.79,49.79,43.78,40.97,40.21,43.98,40.65,46.27
Interest,16.25,14.86,12.13,7.6,2.13,0.05,0.93,1.43,1.48,1.91
Profit before tax,22.09,34.44,50.44,77.14,116.75,126.29,78.48,105.28,215.2,275.31
Tax,7.08,-1.69,16.22,20.38,38.14,38.44,20.72,26.69,53.7,69.89
Net profit,15.01,36.13,34.22,56.75,78.61,87.86,57.75,78.59,161.49,205.43
Dividend Amount,5.95,5.95,7.44,7.44,7.44,,,1.56,24.25,51.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,587.13,578.6,617.85,627.81,697.96,686,688.16,654.1,762.65,689.12
Expenses,525.85,516.52,553.57,567.04,622.26,621.82,607.04,585.86,663.21,594.78
Other Income,10.05,5.57,7.62,8.17,8.63,11.23,13.7,18.4,18.8,21.74
Depreciation,9.94,9.91,11.07,8.95,10.7,12.55,14.08,12.18,12.87,13.55
Interest,0.41,0.42,0.35,0.31,0.69,0.76,0.16,0.51,0.56,0.94
Profit before tax,60.98,57.32,60.48,59.68,72.94,62.1,80.58,73.95,104.81,101.59
Tax,15.28,14.56,14.32,14.98,18.85,16.02,20.04,18.86,25.8,26.51
Net profit,45.7,42.75,46.15,44.71,54.09,46.08,60.55,55.09,79.01,75.08
Operating Profit,61.28,62.08,64.28,60.77,75.7,64.18,81.12,68.24,99.44,94.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
Reserves,171.84,199.44,224.72,279.37,349.08,432.34,361.28,439.5,593.82,775.88
Borrowings,225.22,144.22,121.14,58.98,,,10.72,11.9,12.46,24.64
Other Liabilities,164.04,168.4,177.81,207.32,231.77,246.35,246.9,529.98,480.38,606.42
Total,567.05,518.01,529.62,551.62,586.8,684.64,624.85,987.33,1092.61,1412.89
Net Block,298.62,271.54,242.65,204.16,179.12,194.15,186.22,179.33,156.31,220.93
Capital Work in Progress,7.13,7.55,3.86,0.71,0.36,0.27,0.87,0.11,0.05,0.03
Investments,1.39,2.15,31.09,80.12,106.23,84.53,42.29,55.17,104.49,53.73
Other Assets,259.91,236.77,252.02,266.63,301.09,405.69,395.47,752.72,831.76,1138.2
Total,567.05,518.01,529.62,551.62,586.8,684.64,624.85,987.33,1092.61,1412.89
Receivables,105.14,99.33,102,108.07,122.41,132.11,117.05,324.33,276.05,331.48
Inventory,71.04,86.7,82.74,71.84,85.62,103.1,106.93,138.57,131.41,204.07
Cash & Bank,36.4,15.15,36.99,59.86,73.71,141.13,146.31,263.03,397.56,161.71
No. of Equity Shares,5946300,5946300,5946326,5946326,5946326,5946326,5946326,5946326,29731630,29731630
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,49.47,99.6,92.77,164.32,115.78,94.55,-30.06,148.11,191.78,-200.34
Cash from Investing Activity,-64.45,-17.94,-61.66,-84.1,-30.07,-41.58,39.24,-152.25,-62.09,190.77
Cash from Financing Activity,45.05,-102.91,-43.28,-76.91,-69.53,-4.55,-1,-1.46,-9.29,-26.57
Net Cash Flow,30.07,-21.25,-12.17,3.31,16.18,48.42,8.18,-5.6,120.4,-36.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,53.05,178.62,151.62,401.64,372.38,290.58,111.86,392.81,748.7,561.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
