COMPANY NAME,WOCKHARDT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,530.9,,,,,,,,,
Market Capitalization,8133.6,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4830.36,4481.54,4453.22,4014.61,3936.9,3565.84,2843.99,2708,3230,2651
Raw Material Cost,1733.55,1538.49,1678.09,1687.94,1619,1605.85,1129.42,1262,1180,1027
Change in Inventory,-72.7,51.01,64.41,25.87,-178.53,-30.46,-74.03,125,-87,-84
Power and Fuel,92.17,101.4,113.99,110.1,77.8,93.3,85.41,82,98,103
Other Mfr. Exp,222.73,216.61,214.18,179.4,135.27,153.76,120.9,145,169,126
Employee Cost,768.74,869.5,951.48,967.24,937.89,801.24,744.24,764,750,638
Selling and admin,662.11,600.2,660.14,709,683.3,553.91,326.82,382,403,325
Other Expenses,252.65,496.95,405.51,374,303.28,365.8,244.14,261,245,247
Other Income,88.23,66.55,66.1,114.25,-237.96,116.15,133.37,975,-163,-172
Depreciation,139.92,145.4,141.91,148.93,149.53,163.95,224.14,246,247,251
Interest,83.35,55.21,128.96,225.27,255.49,265.14,275.74,249,299,302
Profit before tax,890.67,575.34,289.47,-247.15,-641.15,-351.42,-247.48,417,-411,-624
Tax,47.88,162.65,37.88,-21.11,25.7,-134.76,-204.09,-271,-132,-3
Net profit,840.71,404.91,250.72,-195.72,-608.3,-194.53,-69.22,686,-244,-559
Dividend Amount,109.76,220.16,,110.54,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,862,854,655,595,679,699,678,644,753,701
Expenses,765,742,688,611,636,654,675,628,681,664
Other Income,4,2,-169,57,-138,-1,-64,,24,8
Depreciation,61,62,59,64,65,66,56,55,55,55
Interest,69,80,86,73,70,83,76,79,76,77
Profit before tax,-29,-28,-347,-96,-230,-105,-193,-118,-35,-87
Tax,-66,-30,-36,-21,-23,-3,44,18,38,-1
Net profit,34,-7,-258,-67,-189,-96,-208,-134,-77,-83
Operating Profit,97,112,-33,-16,43,45,3,16,72,37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,54.88,55.04,55.25,55.27,55.32,55.34,55.37,55,72,72
Reserves,3228.04,3361.76,3719.87,3281.44,2796.83,2619.46,2616.3,3321,3777,3282
Borrowings,1906.08,2010.07,2676.6,4159.75,3747.82,3140.65,3582.26,2674,2198,2184
Other Liabilities,1433.02,1512.01,1621.92,1485.5,1527.62,1997.79,1893.73,1696,2168,2113
Total,6622.02,6938.88,8073.64,8981.96,8127.59,7813.24,8147.66,7746,8215,7651
Net Block,2294.63,2122.74,2808.7,2772.55,2887.96,3057.93,3502.29,3343,3462,3042
Capital Work in Progress,707.53,1007.3,1036.05,1243.95,1432.57,1445.48,1584.53,1379,1342,1539
Investments,576.6,341.34,0.45,562.72,213.7,0.45,0.45,,,
Other Assets,3043.26,3467.5,4228.44,4402.74,3593.36,3309.38,3060.39,3024,3411,3070
Total,6622.02,6938.88,8073.64,8981.96,8127.59,7813.24,8147.66,7746,8215,7651
Receivables,481.04,741.43,1111.42,1034.45,962.45,1273.9,1242.69,918,918,797
Inventory,992.89,1020.78,1102.16,1107.95,855.71,819.36,689.83,799,769,658
Cash & Bank,1125.8,1234.55,1478.11,1603.61,1082.25,448.65,268.46,292,406,124
No. of Equity Shares,109751200,110072903,110508903,110548028,110630453,110686203,110735003,110781153,144060153,144060153
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1476.29,354.96,-41.53,-269.47,68.44,183.32,648.96,-287,413,153
Cash from Investing Activity,-823.33,-222.27,-105.46,-684.36,634.63,93.23,-147.38,1471,-204,-118
Cash from Financing Activity,-601.32,-75.65,193.38,1254.49,-769.47,-776.45,-679.58,-1171,-71,-315
Net Cash Flow,51.64,57.04,46.39,300.66,-66.4,-499.9,-178,13,138,-280
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,421.92,1720.86,897.81,663.02,669.7,408.37,159.15,381.68,263.6,153.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,14.27,14.31,14.37,14.37,14.38,14.39,14.4,14.4,14.41,14.41
